"","logFC","AveExpr","t","P.Value","adj.P.Val","B","genes","group","Pos_neg"
"ENSG00000100234",-5.27178469761488,8.7943522246608,-126.701622380456,4.76536400099066e-30,5.53868116927053e-26,58.5944555390688,"TIMP3","Significant&FoldChange","Differentially_low"
"ENSG00000135919",-3.67165168128188,10.9356073305257,-121.9986908309,9.99761943911649e-30,5.53868116927053e-26,58.3509695312302,"SERPINE2","Significant&FoldChange","Differentially_low"
"ENSG00000019582",-4.04479973989437,9.26908654403773,-122.490121203433,9.24052034779251e-30,5.53868116927053e-26,58.2133566047842,"CD74","Significant&FoldChange","Differentially_low"
"ENSG00000041982",-4.24613695933077,8.97630354089335,-102.917632932148,2.79566501834003e-28,1.16159881512028e-24,54.963838191802,"TNC","Significant&FoldChange","Differentially_low"
"ENSG00000167767",3.15145512324582,8.66144646622774,87.4510879212809,6.77247746130463e-27,2.25117150813766e-23,51.890199206294,"KRT80","Significant&FoldChange","Differentially_high"
"ENSG00000100994",-2.76317519479313,8.97225666313721,-81.6993694622358,2.5629605363423e-26,7.09940068566817e-23,50.5979215933611,"PYGB","Significant&FoldChange","Differentially_low"
"ENSG00000205426",5.36741691401475,6.55526328420005,80.3801001271647,3.52385672464716e-26,8.3666426805194e-23,49.5754200448357,"KRT81","Significant&FoldChange","Differentially_high"
"ENSG00000187678",-3.01871743499672,7.08656095689383,-67.7290859525689,1.00165070975787e-24,2.08092934952197e-21,46.9081039455552,"SPRY4","Significant&FoldChange","Differentially_low"
"ENSG00000113739",3.84594736488654,6.48542652648217,65.7304371311125,1.79801760851433e-24,2.98830526535081e-21,46.2203951206109,"STC2","Significant&FoldChange","Differentially_high"
"ENSG00000123496",-2.42441954598133,7.98796948333814,-64.7699193971641,2.39683093569309e-24,3.62139365011084e-21,46.0691935008508,"IL13RA2","Significant",NA
"ENSG00000128567",2.85537926758452,7.0393860710459,63.8923040579766,3.12838646712548e-24,3.99952177566349e-21,45.7885587916169,"PODXL","Significant&FoldChange","Differentially_high"
"ENSG00000214049",6.22177795804616,6.10331479188174,66.1595979688914,1.58342372260701e-24,2.92405580774762e-21,45.6221642104401,"UCA1","Significant&FoldChange","Differentially_high"
"ENSG00000231389",-3.44918526527277,6.55999750304128,-63.1851463453035,3.88763812509885e-24,4.61518183136735e-21,45.5198999631035,"HLA-DPA1","Significant&FoldChange","Differentially_low"
"ENSG00000135048",-2.67025108318388,8.31768562952695,-62.291971755388,5.13311008556167e-24,5.33086407772361e-21,45.299283497502,"CEMIP2","Significant&FoldChange","Differentially_low"
"ENSG00000137962",3.51124116713979,6.84616127133227,62.260867789312,5.18339710275104e-24,5.33086407772361e-21,45.26590503716,"ARHGAP29","Significant&FoldChange","Differentially_high"
"ENSG00000065361",-5.5427128493555,5.66788209598497,-64.1697434210414,2.87461937552555e-24,3.98134783510289e-21,45.0264778243449,"ERBB3","Significant&FoldChange","Differentially_low"
"ENSG00000109099",-2.58630337306364,7.23578235742204,-61.2924532228566,7.03873726222024e-24,6.49910073878335e-21,44.9922209111066,"PMP22","Significant&FoldChange","Differentially_low"
"ENSG00000136111",-2.98910715991196,6.85273265574173,-61.0803508395121,7.53139880414384e-24,6.58799200657214e-21,44.9114940688125,"TBC1D4","Significant&FoldChange","Differentially_low"
"ENSG00000106366",5.96820236471743,5.40356637895742,62.0994867963274,5.45274905663666e-24,5.33086407772361e-21,44.0023596176421,"SERPINE1","Significant&FoldChange","Differentially_high"
"ENSG00000125730",3.99745982205233,6.05430506319713,57.9840297834234,2.07814510716982e-23,1.72693858405812e-20,43.7739010367488,"C3","Significant&FoldChange","Differentially_high"
"ENSG00000166396",3.8128750601723,5.96575392551571,57.8272806883199,2.1908165585668e-23,1.73387481920858e-20,43.720895373986,"SERPINB7","Significant&FoldChange","Differentially_high"
"ENSG00000125827",-2.56010371873793,7.03745507102691,-57.0581604626185,2.84456208605082e-23,2.14893735773476e-20,43.5973067701339,"TMX4","Significant&FoldChange","Differentially_low"
"ENSG00000131711",2.65780791774098,7.00011432305118,56.1231588870261,3.92588494856363e-23,2.83687860196207e-20,43.2752531474851,"MAP1B","Significant&FoldChange","Differentially_high"
"ENSG00000151388",2.99839145034588,6.14220382136015,55.7143826355745,4.52726383417125e-23,3.13513020516359e-20,43.0986119102882,"ADAMTS12","Significant&FoldChange","Differentially_high"
"ENSG00000170421",2.94524721682549,6.49520611178418,54.8206266702534,6.20510369695888e-23,4.12515293773826e-20,42.8113944127818,"KRT8","Significant&FoldChange","Differentially_high"
"ENSG00000163235",-2.30632591428933,7.65597327461043,-54.3301569784933,7.39304465874266e-23,4.7258616241655e-20,42.6199739671155,"TGFA","Significant",NA
"ENSG00000198825",-2.60438574017568,6.39465237689612,-54.0568991985951,8.15645906646608e-23,5.02075369202468e-20,42.5409292156283,"INPP5F","Significant&FoldChange","Differentially_low"
"ENSG00000164442",2.98003748851995,6.07910788375178,53.8376046493133,8.8288913301527e-23,5.19249082645576e-20,42.4390790693158,"CITED2","Significant&FoldChange","Differentially_high"
"ENSG00000103888",-2.95755633029214,6.91510052486029,-53.7661732816241,9.06030288611413e-23,5.19249082645576e-20,42.4390541038389,"CEMIP","Significant&FoldChange","Differentially_low"
"ENSG00000146648",2.61029834371397,6.54680356917348,52.6575733947845,1.35970937861981e-22,7.22350857578262e-20,42.0338757375112,"EGFR","Significant&FoldChange","Differentially_high"
"ENSG00000156453",-4.00505881088315,5.26883192824926,-53.4531954995723,1.01519670368006e-22,5.62418973838755e-20,42.0333679340833,"PCDH1","Significant&FoldChange","Differentially_low"
"ENSG00000152952",2.21230399364492,7.39955993933149,52.5134738788416,1.43427065584132e-22,7.22350857578262e-20,41.957879191354,"PLOD2","Significant",NA
"ENSG00000168453",-2.77580088121794,6.33142147920178,-52.238680572276,1.58861519981689e-22,7.54365274884479e-20,41.8757543231588,"HR","Significant&FoldChange","Differentially_low"
"ENSG00000153283",-4.57580436867156,5.2532416314591,-52.5910159852977,1.39362881663159e-22,7.22350857578262e-20,41.6159583325025,"CD96","Significant&FoldChange","Differentially_low"
"ENSG00000130702",2.11124722949673,8.06379773930907,51.5716252868998,2.0404883261799e-22,9.42025443919722e-20,41.567752615808,"LAMA5","Significant",NA
"ENSG00000168672",-2.25907549648889,7.31457537140141,-50.1420738498216,3.52749076288864e-22,1.51792433056846e-19,41.0490696326812,"FAM84B","Significant",NA
"ENSG00000075426",2.17658022271136,7.04229040987573,49.8808798955886,3.90501469741066e-22,1.582959616365e-19,40.9577427226962,"FOSL2","Significant",NA
"ENSG00000198796",3.77657838300786,5.50174674449128,50.1170666967445,3.56191629916787e-22,1.51792433056846e-19,40.9517196582481,"ALPK2","Significant&FoldChange","Differentially_high"
"ENSG00000115318",-2.07173794026464,7.43856126165479,-49.9055349029959,3.86762924613774e-22,1.582959616365e-19,40.9473614376845,"LOXL3","Significant",NA
"ENSG00000087460",-1.37631606256022,10.4615162026027,-50.2990164752744,3.31926881310293e-22,1.49097966685867e-19,40.9181375613244,"GNAS","Significant",NA
"ENSG00000130635",2.26668955679277,7.22577220326388,48.9870803932285,5.55224209339348e-22,2.19710151409999e-19,40.5932446708726,"COL5A1","Significant",NA
"ENSG00000125870",-1.93290676731151,7.87755486734964,-48.8242996361934,5.92379940074514e-22,2.28961734977638e-19,40.4872216659289,"SNRPB2","Significant",NA
"ENSG00000092758",-7.41454895657753,5.21659249403318,-52.4214379571773,1.48413081831549e-22,7.25478064717748e-20,40.2285989617733,"COL9A3","Significant&FoldChange","Differentially_low"
"ENSG00000136068",1.97544567575586,8.91219266908533,48.1983460953829,7.61456843468081e-22,2.81231394187545e-19,40.1672323651806,"FLNB","Significant",NA
"ENSG00000104332",-2.0703697475964,7.39792549305141,-47.868435188679,8.7032197741917e-22,3.07760665206523e-19,40.1236162146742,"SFRP1","Significant",NA
"ENSG00000035403",1.75428365535708,8.23318782331901,47.9081576932351,8.56389941617156e-22,3.07760665206523e-19,40.0873508591951,"VCL","Significant",NA
"ENSG00000177106",2.86975040229047,5.97408673744641,47.4532738120655,1.03103343955327e-21,3.49709709497455e-19,40.0073347814217,"EPS8L2","Significant&FoldChange","Differentially_high"
"ENSG00000105767",-3.62200889059562,5.59893436213293,-46.9446025127647,1.27148000078735e-21,4.06384569482418e-19,39.7540143556124,"CADM4","Significant&FoldChange","Differentially_low"
"ENSG00000279010",-4.43082636582122,5.17496090495002,-47.3685020383244,1.06752362719548e-21,3.54844853679777e-19,39.730388839619,NA,"Significant&FoldChange","Differentially_low"
"ENSG00000139211",2.3113171342595,7.98323321969794,46.6170370596375,1.45696347983213e-21,4.56881755373775e-19,39.5645768309536,"AMIGO2","Significant",NA
"ENSG00000168528",1.81426508178496,7.52272547641084,46.2103411038064,1.72760771743741e-21,5.22051641160176e-19,39.4132067975022,"SERINC2","Significant",NA
"ENSG00000106537",-3.13424646337095,5.6465968469041,-45.9526220907492,1.92605162647463e-21,5.61596105824708e-19,39.3704479507924,"TSPAN13","Significant&FoldChange","Differentially_low"
"ENSG00000198959",2.2863628590883,9.55448000364418,46.411333929428,1.58779987560665e-21,4.88689517270048e-19,39.3688859572379,"TGM2","Significant",NA
"ENSG00000179583",-5.05867431303793,4.68640736187189,-47.5807222752213,9.78619101457391e-22,3.38846863879622e-19,39.364164091841,"CIITA","Significant&FoldChange","Differentially_low"
"ENSG00000123358",-3.04547757588203,5.72216934073277,-45.7071768926824,2.13739242878766e-21,5.7608027572739e-19,39.2737113522167,"NR4A1","Significant&FoldChange","Differentially_low"
"ENSG00000146950",-2.44612505963497,6.32159792303074,-45.6944048652383,2.14903592629953e-21,5.7608027572739e-19,39.2664278847079,"SHROOM2","Significant",NA
"ENSG00000185215",2.29056702501282,6.37445093351607,45.6962255768838,2.14737202759638e-21,5.7608027572739e-19,39.2637391625469,"TNFAIP2","Significant",NA
"ENSG00000073849",-3.78992981162498,4.8904857773515,-45.9719635767441,1.91035857828305e-21,5.61596105824708e-19,39.1851504966171,"ST6GAL1","Significant&FoldChange","Differentially_low"
"ENSG00000134532",-5.51409076334555,4.79029877979177,-47.3095291735725,1.09370713690825e-21,3.56419855204219e-19,39.1759515128643,"SOX5","Significant&FoldChange","Differentially_low"
"ENSG00000057019",1.47321632272578,9.43050833757703,45.8565668169947,2.00601914218639e-21,5.74828243847205e-19,39.1295292135213,"DCBLD2","Significant",NA
"ENSG00000120708",1.48707321362374,9.15570835967744,45.7780900120358,2.07393945541906e-21,5.7608027572739e-19,39.1141414861849,"TGFBI","Significant",NA
"ENSG00000173482",3.36109887375857,5.18415304508304,45.4251430415903,2.41066272699784e-21,6.25607262985394e-19,39.0831837761484,"PTPRM","Significant&FoldChange","Differentially_high"
"ENSG00000110080",-1.90039259137063,7.23149524585574,-45.1482394263529,2.7148700590444e-21,6.73449856437582e-19,38.9705340946221,"ST3GAL4","Significant",NA
"ENSG00000159167",4.71356409143944,5.10838565277172,45.613896500353,2.22398123481869e-21,5.86707430518835e-19,38.9609807432716,"STC1","Significant&FoldChange","Differentially_high"
"ENSG00000204287",-7.23974904021471,5.04563405108359,-48.6024556201774,6.47274794763254e-22,2.44493342931029e-19,38.959577871999,"HLA-DRA","Significant&FoldChange","Differentially_low"
"ENSG00000162512",-4.63893870243371,5.05014353336341,-45.390460114699,2.44671913923289e-21,6.25607262985394e-19,38.8688729748702,"SDC3","Significant&FoldChange","Differentially_low"
"ENSG00000133816",4.13910856008095,4.92348733615404,45.2848380500819,2.56005584702131e-21,6.44668608749911e-19,38.861118318805,"MICAL2","Significant&FoldChange","Differentially_high"
"ENSG00000112769",-1.88319369547743,7.7738029835269,-44.4145805849467,3.73262442126496e-21,8.86231684020338e-19,38.6075844964456,"LAMA4","Significant",NA
"ENSG00000065534",3.5513948623184,5.0528460950984,44.3576730273754,3.82677190851164e-21,8.95788015767091e-19,38.5951899493607,"MYLK","Significant&FoldChange","Differentially_high"
"ENSG00000038427",5.0532100745483,4.68037166370177,44.8734627885406,3.05684443791654e-21,7.47128743502541e-19,38.3472978675059,"VCAN","Significant&FoldChange","Differentially_high"
"ENSG00000122729",2.18559474857395,6.41348944666424,43.3404594566694,6.00536132418799e-21,1.34877169200006e-18,38.2193565466644,"ACO1","Significant",NA
"ENSG00000169213",4.66105934198957,4.74642598465506,43.9484177324186,4.58180486425405e-21,1.05763328949864e-18,38.134297773735,"RAB3B","Significant&FoldChange","Differentially_high"
"ENSG00000166922",5.0379460571964,4.48944286335645,44.5086007807065,3.58237097543106e-21,8.62884139299481e-19,38.0705525468288,"SCG5","Significant&FoldChange","Differentially_high"
