"","Untreated__WT","Untreated__WT.1","Untreated__WT.2","Untreated__ARID1A_KO","Untreated__ARID1A_KO.1","Untreated__ARID1A_KO.2","Untreated__MED12_KO","Untreated__MED12_KO.1","Untreated__MED12_KO.2","Vermurafenib_1uM__WT","Vermurafenib_1uM__WT.1","Vermurafenib_1uM__WT.2","Vermurafenib_1uM__ARID1A_KO","Vermurafenib_1uM__ARID1A_KO.1","Vermurafenib_1uM__ARID1A_KO.2","Vermurafenib_1uM__MED12_KO","Vermurafenib_1uM__MED12_KO.1","Vermurafenib_1uM__MED12_KO.2","Trametinib_10nM__WT","Trametinib_10nM__WT.1","Trametinib_10nM__WT.2","Trametinib_10nM__ARID1A_KO","Trametinib_10nM__ARID1A_KO.1","Trametinib_10nM__ARID1A_KO.2","Trametinib_10nM__MED12_KO","Trametinib_10nM__MED12_KO.1","Trametinib_10nM__MED12_KO.2","vemurafenib_and_trametinib__WT","vemurafenib_and_trametinib__WT.1","vemurafenib_and_trametinib__WT.2","vemurafenib_and_trametinib__ARID1A_KO","vemurafenib_and_trametinib__ARID1A_KO.1","vemurafenib_and_trametinib__ARID1A_KO.2","vemurafenib_and_trametinib__MED12_KO","vemurafenib_and_trametinib__MED12_KO.1","vemurafenib_and_trametinib__MED12_KO.2","vemurafenib_and_trametinib__WT.3","Vermurafenib_1uM__WT.3","Trametinib_10nM__WT.3","vemurafenib_and_trametinib__ARID1A_KO.3","Vermurafenib_1uM__ARID1A_KO.3","Trametinib_10nM__ARID1A_KO.3","vemurafenib_and_trametinib__MED12_KO.3","Vermurafenib_1uM__MED12_KO.3","Trametinib_10nM__MED12_KO.3","Untreated__WT.3","Vermurafenib_1uM__WT.4","Trametinib_10nM__WT.4","Untreated__ARID1A_KO.3","Vermurafenib_1uM__ARID1A_KO.4","Trametinib_10nM__ARID1A_KO.4","Untreated__MED12_KO.3","Vermurafenib_1uM__MED12_KO.4","Trametinib_10nM__MED12_KO.4","Untreated__WT.4","Vermurafenib_1uM__WT.5","Trametinib_10nM__WT.5","Untreated__ARID1A_KO.4","Vermurafenib_1uM__ARID1A_KO.5","Trametinib_10nM__ARID1A_KO.5","Untreated__MED12_KO.4","Vermurafenib_1uM__MED12_KO.5","Trametinib_10nM__MED12_KO.5"
"AKT1",-0.224499509595497,0.0878410262941326,-0.182762688691001,0.0327216793670946,0.116378592966032,-0.342004134564357,0.328390103234773,-0.0134112464325467,-0.0638509970452085,0.441649630314435,0.407458254459128,0.596187700317321,0.0349869808320242,0.343650762338545,0.459506704203721,0.44538654876155,0.0633614746016242,0.578796914396376,0.218483359759453,0.458372406768346,0.407229653994563,0.453582364195861,0.54336852551899,0.0276914931179017,0.304589137421346,0.641170335308966,0.401282122313148,-0.513090226271344,-0.490417686780958,-1.01808413729776,-0.391996107724492,-0.441883171336378,-1.29799836000468,-1.19390567964084,-0.106557127099598,-1.25023592684967,-0.615879146268898,0.313584165470457,0.601008209806158,-1.16048632824038,0.301521469340622,0.106212486378042,-0.650716592485542,0.284572767339586,0.682749104306706,0.0162358210919012,0.457090004003057,0.453791454867044,-0.104045690033779,0.274742100741894,0.680699344959378,-0.218203129088653,0.202022214897186,0.191869838825713,0.059330262094505,0.372273557124087,0.240239237106731,0.194231561910083,0.420080279077753,0.142805249482943,0.122393448566142,0.0549464109773011,0.275146789950621
"AKT2",-0.492130033323923,0.0131703896823283,-0.0206161747233954,0.0142243057009927,0.0589320368864849,-0.149163986356381,-0.00955054239941197,-0.0576628942298173,-0.603420111610502,0.441649630314435,-0.0681480087712797,0.432274603395508,-0.0252314738878012,0.0124003016470373,0.0453909371820626,0.618073732792519,0.26622913141381,0.392933792051658,0.286307127375865,0.199211486935385,0.297426768362479,0.417695963134889,0.152971224530283,0.191411113644621,-0.00362531811684748,0.292524710686047,0.368848988747599,-0.01059133116165,-0.258443168192376,0.101080739562555,0.296309326030031,-0.392951896298469,0.127549481882431,0.375836567646396,0.0354313177641478,0.319170251469761,-0.00105934232020255,0.365943526049813,0.559719322419585,0.191042568902028,-0.548210267411513,0.3211869457067,0.173507275689213,0.0532394903961118,0.756607202695047,0.210020121194025,0.643518414331828,0.128532673104785,-0.0942579800133344,0.596721033333792,0.0552346992825898,0.145199309119286,0.230079527712066,0.242259441027742,0.118674595388647,0.112214723925061,0.298086753418549,-0.0929623673575515,0.330166804114858,0.298784474775238,0.120959471223416,-0.0133858135452421,0.270783800793248
"ATM",-0.867985158309253,-0.850846449598228,-0.0395273585370617,-0.6249657712435,-0.281057570213597,-0.306931007777158,-0.161177729608324,-0.0249353184249585,-0.0921563838861249,0.36353244127377,0.382981616513769,0.215915466627324,0.0588122987297973,0.172271586902746,0.111596406905994,0.45826741310739,-0.0144320267755049,0.279298176833717,0.356366808525131,0.0438681364727391,0.17317169986864,0.146835003796008,0.32056134920774,0.30086094419489,0.51793551004861,0.220025197984256,0.347239720959321,0.179673370216272,0.185069835844049,0.149575310157738,0.246699808482966,0.0903539726068832,0.275975087639592,0.079505898321507,0.0573762256467407,0.213919958180965,-0.305689774068828,0.293343844789281,0.420617021189113,0.425455935516047,0.538681841412436,0.412280272221185,0.221989271093606,0.474072873312572,0.187043180962182,-0.595628795265374,0.239600187862933,0.0319684879129204,-0.639641871650628,-0.177142430181167,0.546997730525531,-0.202895386517449,0.160590563620506,0.424858327159217,-0.290361365957159,0.20868552135685,0.345014331977964,-0.29881677286304,0.0740488786960334,0.0418922431834797,0.00871324629006393,-0.0709454101993911,0.35333478887086
"AURKB",0.249839450069654,0.231417914514507,0.230055415555098,0.150414356511813,0.140577914408196,-0.00200229016428168,0.300113700775166,0.372752082355586,0.196245844467284,0.308096146884463,0.260028612344396,0.199459325078502,-0.10767507377659,0.260656391414673,0.151894632383609,0.0467841473113671,-0.182918794873174,0.303997066321379,0.315304306948711,0.138363020133509,0.318675649897327,0.238288205962969,0.598421851890165,0.348251266588437,-0.00597637363175835,0.477048813437914,0.434016775369053,-0.423744777145204,-0.351095664888138,-0.490634928782591,-0.571779586833843,-0.390398843688804,-0.498755798502163,-0.560116764075169,-0.396844145772018,-0.406721937662596,-0.585553409718394,0.339719979575725,0.20691492461295,-0.721363563126652,0.177176685052172,0.345974825528484,-0.465453335642902,0.215861894411991,0.407943878342948,0.146463913934583,0.297180061879223,0.147066785469119,0.177667519779589,0.252975422229431,0.561134404576295,0.264880357851661,0.194440920142025,0.336718884566649,0.266708606320346,0.323392238083681,0.275527367224096,0.167947998269469,0.118420743624641,0.365626186220107,0.255970197184863,0.167797991180411,0.392438091171188
"CAMK2A",-0.867985158309253,-1.24717504191463,-1.11870336534091,-0.831934733478505,-0.603817808564721,0.159472734390985,0.0473277987166278,-0.00737959603019369,-0.257362321183402,0.575203113744407,0.314688080979559,0.270835405166947,0.263175934312494,0.33635069218596,0.0569170342737277,0.508899102416225,-0.0144320267755049,0.527064320333866,0.501069618569838,0.00706657094364848,0.542684843978545,-0.301517281862747,0.262239837785739,0.325262407879297,0.630599168688897,0.472853990760348,0.321619635389355,0.190842829790321,0.0837246087370657,0.456863577261905,0.492141116539316,-0.084372753542867,0.0542435983692898,-0.560116764075169,0.467706781300314,0.398528806756619,0.446664175618206,0.59196672437268,0.0725110488021703,0.400297638532682,0.333423830942972,0.569670773963212,0.380386864722143,0.146465277646102,0.21158456600159,-0.892374757471223,0.53424200809317,0.338262614792869,-0.837783940946543,0.332177087606996,0.156995542288501,0.17801916086627,0.0531594697411978,0.252963809674728,0.229287638722966,0.367507661950635,0.446496055301591,-0.29881677286304,0.118420743624641,0.258458801041997,-0.0167480192176482,-0.457930524208228,0.402893159297001
"CDK1",0.181781521821863,0.0784301159078074,0.0208340460848383,0.0891223054494232,0.182983096434482,0.0343061653178059,0.226572057849834,0.105572423227696,0.077495176384266,0.32063286166146,0.241903744333152,0.143065759446496,0.172270242129131,0.260656391414673,0.25934195516635,0.227556613237283,0.18505491091981,0.247611353551238,0.219005275515895,0.294249121905931,0.227900017877728,0.238288205962969,0.183991194170034,0.136550858762466,0.290352723735593,0.191489042975606,0.186377037043023,-0.657428202824472,-0.476121425822562,-0.609393594450485,-0.534122537664001,-0.324424213989592,-0.636981956776898,-0.577968994927543,-0.472503671764849,-0.53838292618027,-0.465060756064706,0.325779358782181,0.319956430251299,-0.530480537303069,0.336255175092753,0.19618887323123,-0.63475425715201,0.23848452930222,0.236579936797111,0.0268098542648783,0.235427817703688,0.15248444220632,0.0835086015409534,0.184007366393162,0.188530662519817,0.175447243620908,0.29170640141823,0.174563099780934,0.118875119707326,0.333268273694459,0.341362519388884,0.238732748286732,0.279093976379646,0.337742662161702,0.179559097890257,0.147691456299305,0.24718046985924
"CDK2",0.14608981881615,0.0948918972467525,0.0208340460848383,0.0891223054494232,0.166410726674371,0.10927299474677,0.236140887519723,0.0679584555104288,0.0720778726043148,0.32063286166146,0.306792098218714,0.278327634333237,0.193568382027831,0.260656391414673,0.279957690850711,0.287887679541519,0.245240098374267,0.282561608873841,0.0965728191346375,0.212102232340557,0.129113861003042,0.186099256058688,0.183991194170034,0.136550858762466,0.290352723735593,0.114596025860288,0.120533890053776,-0.774943921184207,-0.510854571403539,-0.609393594450485,-0.573945112689099,-0.390398843688804,-0.723130863875574,-0.647040606428569,-0.261925364727964,-0.737978034422741,-0.635413293492252,0.329372062535904,0.254528484925222,-0.577548485901463,0.333423830942972,0.134527081536328,-0.63475425715201,0.273944114340228,0.0927983317588571,-0.0292805383064783,0.249034749518906,0.10767446760434,0.118205071854373,0.180793574289825,-0.00858257974771772,0.144620611633792,0.337743873431084,0.169551983275378,0.118875119707326,0.345268372700758,0.337146446260966,0.30595786442699,0.322883303324848,0.321797045717993,0.162160020994271,0.20152053518534,0.303704873001286
"CDK4",0.00523040436380579,-0.0969346114274317,-0.105305531901968,-0.00450613199658422,-0.132340175820228,-0.304008234851271,0.0994577917166947,-0.0214225986983463,-0.0735946355324321,0.20448088256356,0.279811657721571,0.118525927739517,0.191573526486098,0.192300346841812,0.419008758744391,0.293128433420183,-0.0138664447834538,0.296304694728321,0.0830262032478106,0.151255577426102,0.212451141463173,0.264941319567227,0.469519762988284,-0.0144353393507466,0.0101298304265336,0.212941636373918,0.426865996229278,-0.636495047329976,-0.204491188882504,-0.546039469283108,-0.227691316798751,-0.085467004492793,-0.215067958571904,-0.278459670904496,0.0855828013464184,-0.207112536046272,-0.333320977872925,0.386044717117577,0.504293361574934,-0.665098903074828,0.312039969128022,0.0805737396207354,-0.162452850522435,0.312234527864327,-0.0571523523720543,-0.369665287243161,0.347934847934172,0.32808407878021,-0.113916602582957,0.103934423415275,-0.0950111091456483,0.0404683717141477,0.193690301878594,0.172057541528156,0.0672392163778729,0.321813982989829,0.357991729085115,0.18132478918979,0.265896624341871,0.20345979257234,0.101949200696614,-0.025929499406274,0.179625082310752
"CDK5",0.12520653065133,-0.0089201702282672,-0.117810927452602,-0.00820939493977564,0.00880489436357846,-0.182435646565032,0.0473277987166278,-0.00737959603019369,-0.0880605491456115,0.342726933605629,0.306792098218714,0.143065759446496,0.285169364971663,0.326632516561648,0.357220081600859,0.367809487334937,0.164349445380755,0.247611353551238,0.188773761493861,0.354069571495176,0.270213331535746,0.418592464038616,0.266780710438125,0.000476690691755535,0.243136894293432,0.176432482576672,0.291222343871276,-0.524985695379217,-0.334894283863666,-0.228078711437518,-0.265634854740203,-0.084372753542867,-0.166666665874589,-0.419743961357629,-0.192334490211956,-0.202819952044807,-0.424507031466076,0.453090787480755,0.328553662187639,-0.239063134002773,0.343827357884092,0.215462079510776,-0.388904539569806,0.273944114340228,0.352832533956886,-0.0951972223228399,0.281703888768761,0.145830988606679,-0.0604910712134353,0.184007366393162,0.208690975045003,-0.0228280524779167,0.299129049575548,0.174563099780934,0.0426127143170372,0.333268273694459,0.352120841848508,0.198752267164958,0.319688870836633,0.3434009759165,0.0882956859833243,0.147691456299305,0.157855488730055
"CHEK1",0.0776319493792101,-0.0089201702282672,0.0650896195576216,-0.0691079776446176,0.170925960250311,-0.187700340458589,-0.00304636964324197,0.0221668389296772,0.0469380252153924,0.42521037130931,0.372214153897403,0.217217473447672,0.271166749596909,0.35095083249113,0.315909228859242,0.355605229777981,0.120044843719299,0.282561608873841,0.125089875991122,0.203543615419569,0.180541789748838,0.181566127737927,0.326855845129116,0.0779456973099875,0.108243144277145,0.202776436357506,0.321619635389355,-0.243483480961002,-0.30281789620699,-0.498154054136346,-0.278875600748266,-0.323753016422067,-0.596314973558935,-0.32043088709432,-0.207251504339421,-0.449789541469358,-0.559285643972806,0.433353206118083,0.142705325576438,-0.365410290023501,0.333423830942972,0.134527081536328,-0.446391909846422,0.159820048387418,0.139149004190166,-0.0111530346773223,0.276241147559438,0.123368883927474,0.00484943229567266,0.223992567661494,0.293777010819806,0.0252211365309755,0.305512799383754,0.174563099780934,0.166190091741044,0.295952630605929,0.250918358815682,0.140897671526855,0.281189214781247,0.353547974054462,0.11938293896298,0.128715346343429,0.24718046985924
