"","Untreated__WT","Untreated__ARID1A_KO","Untreated__MED12_KO","Vermurafenib_1uM__WT","Vermurafenib_1uM__ARID1A_KO","Vermurafenib_1uM__MED12_KO","Trametinib_10nM__WT","Trametinib_10nM__ARID1A_KO","Trametinib_10nM__MED12_KO","vemurafenib_and_trametinib__WT","vemurafenib_and_trametinib__ARID1A_KO","vemurafenib_and_trametinib__MED12_KO","Untreated__WT.1","Untreated__ARID1A_KO.1","Untreated__MED12_KO.1","Vermurafenib_1uM__WT.1","Vermurafenib_1uM__ARID1A_KO.1","Vermurafenib_1uM__MED12_KO.1","Trametinib_10nM__WT.1","Trametinib_10nM__ARID1A_KO.1","Trametinib_10nM__MED12_KO.1","vemurafenib_and_trametinib__WT.1","vemurafenib_and_trametinib__ARID1A_KO.1","vemurafenib_and_trametinib__MED12_KO.1","Untreated__WT.2","Untreated__ARID1A_KO.2","Untreated__MED12_KO.2","Vermurafenib_1uM__WT.2","Vermurafenib_1uM__ARID1A_KO.2","Vermurafenib_1uM__MED12_KO.2","Trametinib_10nM__WT.2","Trametinib_10nM__ARID1A_KO.2","Trametinib_10nM__MED12_KO.2","vemurafenib_and_trametinib__WT.2","vemurafenib_and_trametinib__ARID1A_KO.2","vemurafenib_and_trametinib__MED12_KO.2"
"ADNP",0.0935420661617704,-0.0250368359319429,0.269137457594445,-0.450406791944017,-0.298128505324043,-0.333674452450056,-0.554733619560445,-0.702320567667798,-0.415485218792789,-0.601628188175229,-0.642773776425677,-0.436082780707212,-0.395512325055097,-0.13884616533955,0.309998373829331,-0.534816084254799,-0.62091991789064,-0.368421844780865,-0.336920909796711,-0.709493760091724,-0.296232918533556,-0.669569461271783,-0.755815121347409,-0.318875509347024,0.233852382554918,0.128492516041548,0.542071191698137,-0.478683795069649,-0.417258124856911,-0.287898903260885,-0.284248067238943,-0.670839154078047,-0.353326668279933,-0.502343808574768,-0.594270872274492,-0.55278334165281
"ADNP2",7.71847578372519,7.61723600847077,7.44286322358284,6.62360833785983,6.79929177771832,6.38195393774841,6.34325721306205,6.32141568857731,6.52175746460432,6.60621748412768,6.06685748946777,6.47717775872432,7.3849102544,7.56616832369896,7.39699644526504,6.29619224832259,6.34278439146516,6.4027196911114,6.64342663936341,6.45516809280051,6.46440371646724,6.37309567298313,6.37585559501782,6.30730517053986,7.65880436198727,7.66983479445293,7.39730464857674,6.47806870163573,6.09036991015392,6.53309947053163,6.77054209103752,6.52756223994011,6.48184504092466,6.51658567567858,6.28284961776754,6.4996703934203
"AEBP2",7.99158837005329,7.88801471088107,8.06301848503526,7.25007114594255,7.18245159032705,7.29101084954177,6.69887868742088,6.69137640362773,7.47838300338488,7.01095366360943,6.32679073340891,7.41390109796825,7.38634540095038,7.5563021639799,7.73033269789817,6.69356236133866,7.12252796936115,7.25261680300129,7.34002476731792,7.16469836225392,7.31228657759834,6.977001923934,7.18349679733665,7.21704991681946,7.97204505356542,7.94783061340367,7.97816520058996,6.94620350611465,7.13990591113267,7.56431110603793,7.41794728116045,7.19115928230594,7.30229496625777,7.27171740808674,6.93004390134607,7.34130796130162
"AHR",1.52590840157688,1.16111322319177,1.47961529353497,1.00787471982596,1.16551887094258,0.801085399036607,0.886737354388303,0.737675099199474,0.936963651855485,0.789853098223385,0.545215699953463,0.715535250503438,1.45164764808032,1.19409155724111,1.48584117094917,0.882370875040478,0.651232675951701,0.723845148921312,1.02112333120203,0.769984407807685,0.798797068821366,0.724266578607999,0.585687002535477,0.653477522545344,1.68550824694695,1.38221301397133,1.69340382976784,0.980934264492726,0.693906961923691,0.807425295940513,1.22112852398679,0.72002311163872,0.786695090561159,0.816642748384243,0.488502242244698,0.684371649466495
"AIRE",0.0013390088669315,0.167179495959604,0.0731350577509852,-0.421157650957033,-0.094873581647339,-0.351080749754662,-0.594071738809625,-0.128804788935242,-0.379300556557297,-0.531553253578799,-0.31290693625661,-0.371914632189245,-0.13699959030571,0.235029920994555,-0.0479128726328089,-0.593879212514029,-0.142226444906289,-0.332469711568088,-0.234455314167539,0.0233942620336123,-0.350972105957098,-0.472393618114399,-0.230042420732377,-0.446276335144769,0.00090682898711376,0.16498160565048,0.0201709453200602,-0.406569236031083,-0.0757052562928229,-0.237683280287152,-0.271693919651571,-0.0776184600705729,-0.493807703446339,-0.416065744134581,-0.23577202621387,-0.30687175566385
"ALX1",-1.11542100242088,-1.43954724170736,-1.09125643858717,-0.635038513006135,-1.04402490459729,-0.577556644118078,-0.857086270061209,-1.01133012184405,-0.513372103830907,-0.752274254868996,-1.23548160125234,-0.714616145332489,-1.17796469161787,-1.30683177162589,-1.27527933155165,-0.72274823096667,-1.10002700539445,-0.601239747327249,-0.380919037670979,-0.745569668610691,-0.543387220528597,-0.743990431440427,-0.781597220000907,-0.644741242830555,-1.10783417628788,-1.23112673513093,-1.13164024067867,-0.635334654665779,-0.752491642984773,-0.526253019874777,-0.250474405048413,-0.842693459868293,-0.737196363478049,-0.496265713555153,-0.933237151709657,-0.555089162940993
"ALX3",-0.540805718715175,-0.640609820753686,-0.522420713112389,-0.229710228378364,-0.344420855794317,-0.110502388501526,-0.363424326540122,-0.268845890604156,-0.155174700492437,-0.299811106763776,-0.402994929110297,-0.138626320644776,-0.580443066791539,-0.637578431571514,-0.722873138250239,-0.340117872054575,-0.224202462969176,-0.173808656014146,-0.0665795074057776,-0.166694417869608,-0.221994574931539,-0.208057067014251,-0.196137665468969,-0.304467899413746,-0.554856839567879,-0.590353744429871,-0.637284133619993,-0.146010041338164,-0.10726602852567,0.0332483593344478,-0.01506744358419,-0.109280292040958,-0.242981158288852,-0.100837200544417,-0.255810101318277,-0.01950120339712
"ALX4",-1.2733571448036,-1.46663782914681,-1.28779432217856,-1.09434827052046,-1.17832419844079,-0.878882629469516,-1.17367538372022,-1.28058610831168,-0.837010142398173,-1.0201062938289,-1.20036392712021,-0.943389288847282,-1.35706770443705,-1.49606490687787,-1.23884544557906,-1.01949923369193,-1.11489553230081,-0.924837732000788,-0.94652038812973,-0.979686322699785,-0.730234866559627,-1.09908936142186,-1.01789571037901,-0.927457038919808,-1.1623123997815,-1.41829003582254,-1.16987971091352,-1.00702577467056,-1.03857001757913,-0.754159933388606,-0.879735061165929,-1.05828637491802,-0.895301232936294,-0.919915260574475,-1.056582854286,-0.890890619236588
"AR",3.7131455857806,3.71958462883782,3.77269803540973,3.8234912476878,4.08091883117959,3.67307602894577,3.77341975240586,3.69889404745096,3.65205422741532,3.684880964464,3.61922133321738,3.58614027118674,3.69325555049478,3.61339279558256,3.68246859087267,3.83311064669144,3.74592231966435,3.59692223064726,3.79534577967579,3.66572140211423,3.60670484178091,3.78188297941632,3.64425958190727,3.66927092752537,3.72762315018104,3.64964339807479,3.68147685999192,3.67998624323486,3.84767511133755,3.62824149461306,3.80702752053911,3.66713885611436,3.59912873002876,3.68778239163593,3.63442527889217,3.53326060426262
"ARID2",3.68855860242776,3.68112674800613,3.63595494646772,3.59620294307314,3.56254744441143,3.63293120070272,3.41609883856051,3.60769629706044,3.65322482970851,3.58601298228283,3.49284832345851,3.62757980485844,3.53067739288909,3.62031356155215,3.62337881573858,3.46020184177656,3.63858778854113,3.60866320379671,3.60058513712144,3.66830470717153,3.62121192573893,3.53323055114362,3.68470742780944,3.56761862038102,3.74912750685642,3.78226178570002,3.68766113727331,3.6487665546002,3.54131626691559,3.74758078959324,3.72811698261979,3.68882853766283,3.5741482552052,3.55599633043979,3.63151244959572,3.59060788184266
