"","uniprot","genename"
"1","P51812","RPS6KA3"
"2","P46108","CRK"
"3","P08069","IGF1R"
"4","P08581","MET"
"5","O14543","SOCS3"
"6","P07333","CSF1R"
"7","P06213","INSR"
"8","P36888","FLT3"
"9","Q8IZP0","ABI1"
"10","P21860","ERBB3"
"11","O95999","BCL10"
"12","Q9BT67","NDFIP1"
"13","P27361","MAPK3"
"14","Q9Y2H9","MAST1"
"15","P18031","PTPN1"
"16","Q05655","PRKCD"
"17","Q05397","PTK2"
"18","Q12778","FOXO1"
"19","P37231","PPARG"
"20","P49023","PXN"
"21","P04156","PRNP"
"22","Q16236","NFE2L2"
"23","P14416","DRD2"
"24","P14921","ETS1"
"25","Q02078","MEF2A"
"26","Q8IWU2","LMTK2"
"27","P24385","CCND1"
"28","P61981","YWHAG"
"29","P29317","EPHA2"
"30","P31946","YWHAB"
"31","P17612","PRKACA"
"32","O75581","LRP6"
"33","O00241","SIRPB1"
"34","P43405","SYK"
"35","Q08722","CD47"
"36","Q13115","DUSP4"
"37","O75791","GRAP2"
"38","P49841","GSK3B"
"39","Q15645","TRIP13"
"40","P08138","NGFR"
"41","Q7Z699","SPRED1"
"42","O95817","BAG3"
"43","Q99759","MAP3K3"
"44","Q8IU81","IRF2BP1"
"45","O75815","BCAR3"
"46","Q8NEJ0","DUSP18"
"47","Q8N122","RPTOR"
"48","P78324","SIRPA"
"49","Q99708","RBBP8"
"50","P13612","ITGA4"
"51","P07550","ADRB2"
"52","Q96PU5","NEDD4L"
"53","P11473","VDR"
"54","P28482","MAPK1"
"55","P28562","DUSP1"
"56","P17948","FLT1"
"57","P49765","VEGFB"
"58","P49763","PGF"
"59","Q96BR1","SGK3"
"60","P01100","FOS"
"61","Q92974","ARHGEF2"
"62","Q99836","MYD88"
"63","P29274","ADORA2A"
"64","P15036","ETS2"
"65","Q9H596","DUSP21"
"66","P10912","GHR"
"67","P54764","EPHA4"
"68","P14210","HGF"
"69","P29320","EPHA3"
"70","P17275","JUNB"
"71","Q6UVK1","CSPG4"
"72","Q9NR96","TLR9"
"73","Q96RU8","TRIB1"
"74","Q7L5Y6","DET1"
"75","P15408","FOSL2"
"76","Q92519","TRIB2"
"77","Q12959","DLG1"
"78","O43187","IRAK2"
"79","Q9NWZ3","IRAK4"
"80","Q8TDQ0","HAVCR2"
"81","P15407","FOSL1"
"82","Q9UEW8","STK39"
"83","Q7Z698","SPRED2"
"84","Q9Y297","BTRC"
"85","P50549","ETV1"
"86","Q13094","LCP2"
"87","Q16828","DUSP6"
"88","Q9UJU2","LEF1"
"89","Q96J92","WNK4"
"90","O95147","DUSP14"
"91","P58753","TIRAP"
"92","Q9Y2C9","TLR6"
"93","P51617","IRAK1"
"94","Q9H1B7","IRF2BPL"
"95","Q9H4B4","PLK3"
"96","P13688","CEACAM1"
"97","P04201","MAS1"
"98","Q6Q0C0","TRAF7"
"99","P34947","GRK5"
"100","Q8IU54","IFNL1"
"101","P35568","IRS1"
"102","P43005","SLC1A1"
"103","Q9UH77","KLHL3"
"104","P29466","CASP1"
"105","P43354","NR4A2"
"106","Q05923","DUSP2"
"107","Q8NHY2","RFWD2"
"108","P53539","FOSB"
"109","Q13469","NFATC2"
"110","O00206","TLR4"
"111","P06756","ITGAV"
"112","P16118","PFKFB1"
"113","Q15375","EPHA7"
"114","Q9UDY8","MALT1"
"115","P20827","EFNA1"
"116","Q8WTR2","DUSP19"
"117","Q68J44","DUPD1"
