"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MMP1","MMP1",6.35858469065528,3.35283020748735,38.4472663962633,9.81434552003169e-19,1.41091031195976e-14,31.2677171420851
"PDE5A","PDE5A",2.54986402886318,3.90964309002275,24.487038453029,2.84466332979908e-15,2.04474400145958e-11,24.7982049611938
"FGF1","FGF1",-1.71168824742435,3.85361392365826,-23.5050120459507,5.81839619495544e-15,2.78817545662265e-11,24.1600110315399
"AKR1C2","AKR1C2",2.13672773485555,4.68654971130471,21.7554591396227,2.23854635735432e-14,5.90188250126304e-11,22.9383472232887
"PCDH1","PCDH1",-1.06094800842444,6.90205411523423,-21.5561981690527,2.62649103504688e-14,5.90188250126304e-11,22.7918089862348
"SUCNR1","SUCNR1",7.58945919746694,-2.56512181792233,21.4576035858766,2.84407353663582e-14,5.90188250126304e-11,22.7187123098005
"ELL2","ELL2",1.90723527342514,4.17649513690713,21.4447707955623,2.87376026077082e-14,5.90188250126304e-11,22.70916932471
"KCNS3","KCNS3",-1.58383307580093,3.38133024694586,-21.090367091656,3.83703196179336e-14,6.89514643534266e-11,22.4429548506659
"MME","MME",5.4778049134059,1.79849835236487,20.6657955119263,5.45751291393523e-14,8.17030122831576e-11,22.1171165442403
"MYH15","MYH15",1.43523630568213,4.40099307896908,20.6174512803944,5.68329245152738e-14,8.17030122831576e-11,22.0795259673344
"THSD4","THSD4",1.54534375107139,5.20087868500303,20.2053325936122,8.05830157715065e-14,1.05314675884653e-10,21.7549250235026
"TENT5A","TENT5A",1.29335502754717,5.30081546468236,19.5494781562092,1.42409058783236e-13,1.70606052422317e-10,21.2225432422126
"NCOA7","NCOA7",0.904987272361835,6.26561787191306,18.8452936506631,2.67699741954982e-13,2.96034730026525e-10,20.628235279792
"RGS2","RGS2",1.45495723982213,4.81112010044121,18.6581052734186,3.17746241050192e-13,3.26279997238397e-10,20.4661259597555
"UNC13A","UNC13A",2.16680288331889,3.48016066123752,18.3679088387208,4.15739595711114e-13,3.91480090292258e-10,20.2112644509895
"CAVIN2","CAVIN2",7.34880115433901,-2.45688939428206,18.3176927956748,4.35704051521712e-13,3.91480090292258e-10,20.1667187168245
"IL18","IL18",3.07985069783221,0.340023779989282,17.9789257214355,5.99714760735103e-13,4.98006677531561e-10,19.862713027634
"SOX9","SOX9",3.67014413346591,1.54524866217278,17.9379921836504,6.23547592902622e-13,4.98006677531561e-10,19.8255627137806
