"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TENT5A","TENT5A",-2.09697640311304,5.30081546468236,-31.6964742963814,3.02266570267806e-17,4.34538421416999e-13,29.4524838773855
"ITPRID2","ITPRID2",-1.59829459094466,8.18463016510694,-28.7369162946821,1.70847141459839e-16,7.92032984565873e-13,27.8611534180938
"PLEKHA7","PLEKHA7",2.2182276740762,2.62596950615094,28.1621041172731,2.439542662224e-16,7.92032984565873e-13,27.529203548096
"FGF1","FGF1",2.02273998134716,3.85361392365826,27.7763942697705,3.11043257063894e-16,7.92032984565873e-13,27.3019444666058
"NCOA7","NCOA7",-1.33052740088256,6.26561787191306,-27.7066654367932,3.25120924156011e-16,7.92032984565873e-13,27.2604650452601
"IGF2BP3","IGF2BP3",-1.57075395975252,6.21324221650096,-27.680551322418,3.30564684710297e-16,7.92032984565873e-13,27.2448991246477
"KLLN","KLLN",2.39688618749752,2.54984632015805,27.3872807798427,3.98744085217721e-16,8.18906424155709e-13,27.0689005131817
"SOX2","SOX2",3.53219391799956,6.1806056576192,27.0136404107039,5.07768029479769e-16,9.12459148975146e-13,26.841462433444
"TMEM47","TMEM47",3.7045971950806,5.16928959125162,26.6406403274197,6.48407110376116e-16,1.03572229097412e-12,26.6107477758379
"FAM129A","FAM129A",2.97760257339576,7.43391686739578,26.4319302268341,7.44528845742234e-16,1.07033466863904e-12,26.4800207919101
"HAS3","HAS3",-1.89508353945497,3.725381895891,-25.3328471534087,1.56913504211062e-15,2.05071685139838e-12,25.771546741763
"ATXN1","ATXN1",-1.88012551669713,4.5027901464925,-25.0287807853525,1.93905773615455e-15,2.32299116791315e-12,25.5693709989513
"SAMD11","SAMD11",4.20769576911083,4.17025969586372,24.4488927345239,2.92335291549366e-15,3.2327785779336e-12,25.1760392237841
"ST8SIA4","ST8SIA4",3.24578354321634,6.45850453152652,24.0833345368311,3.8048657704311e-15,3.53782763183238e-12,24.9226976210362
"KITLG","KITLG",3.20246228543061,3.40451530792875,23.984385340781,4.08886392858904e-15,3.53782763183238e-12,24.8533888723328
"PCDH10","PCDH10",2.10667246004982,6.65289950030117,23.9824257275317,4.09470888709392e-15,3.53782763183238e-12,24.8520130710787
"GAS1","GAS1",2.41442622082844,4.56942444149734,23.9529899946275,4.18357468984074e-15,3.53782763183238e-12,24.8313319163251
"MAP1LC3C","MAP1LC3C",5.12972729507785,1.80058875900047,23.5489379972467,5.63175081816787e-15,4.49789165344341e-12,24.5445820821494
"FHDC1","FHDC1",1.73692753931126,3.4596081467842,23.2157012647179,7.22255428392476e-15,5.40471483584013e-12,24.303989872233
"GRIN2A","GRIN2A",5.75632341537718,0.544111376788793,23.1073052247078,7.83701714390126e-15,5.40471483584013e-12,24.2249142007773
"PCDH7","PCDH7",2.70130259898927,6.23962125140453,23.0942721277065,7.91452520363675e-15,5.40471483584013e-12,24.2153792107449
"ZEB2","ZEB2",2.00919278465372,6.60070706457337,23.0360149683814,8.27098820175869e-15,5.40471483584013e-12,24.1726865383972
"STON1","STON1",3.01981459908917,4.46923377415846,22.9173752027786,9.05026254046969e-15,5.65680757746923e-12,24.0853788590226
"EFNB2","EFNB2",0.899082708049651,5.55067727179327,22.7422133996251,1.03452939961033e-14,6.19683110366585e-12,23.955574043054
"SLAIN1","SLAIN1",1.93652614789951,5.38413378233603,22.6535059227417,1.10743230957139e-14,6.36817875295935e-12,23.8894224737586
"CYP1B1","CYP1B1",3.05979008698552,4.21876921011407,22.6021259761089,1.15211663595635e-14,6.37031875327248e-12,23.8509786488778
"FOXD3","FOXD3",2.76148837364634,5.48287490053329,22.3956825790225,1.35173786617441e-14,7.19725317189753e-12,23.6955544191509
"GCNT1","GCNT1",1.96975451386419,4.61444269765902,22.1658175778939,1.61758973532494e-14,8.23028047014241e-12,23.5206695916089
"BMP5","BMP5",3.59669419107548,0.16165153942697,22.1326714710918,1.66025412934147e-14,8.23028047014241e-12,23.4952907887597
"LINC00511","LINC00511",1.23791267425961,6.09051115561596,22.0701472888957,1.74399292962584e-14,8.25568677336283e-12,23.447307025026
"ANK3","ANK3",2.56016881298687,7.1096569604083,22.0440627926389,1.78023295752816e-14,8.25568677336283e-12,23.4272455496589
"TLE4","TLE4",-1.22684853144924,5.82504597587831,-21.8301082579377,2.10918794942083e-14,9.4755268627731e-12,23.2617287843668
"ZNF536","ZNF536",1.93134126725601,3.9026324505671,21.7041476509222,2.33229267617316e-14,1.01428702928345e-11,23.1634724211435
"RGMA","RGMA",2.09656089435872,2.79467092695032,21.6690238837419,2.39884244543944e-14,1.01428702928345e-11,23.1359655160268
"ANTXR2","ANTXR2",-1.90557248782182,4.42591363963462,-21.6204048875553,2.49428157650848e-14,1.02450834125388e-11,23.0978115032974
"ZEB1","ZEB1",-1.50718228749537,5.30168506531548,-21.4845125857575,2.7828676807861e-14,1.11129182719391e-11,22.9906835724559
"CNTN1","CNTN1",1.92145405964842,3.98239775597988,21.3282867317272,3.15864240077545e-14,1.22726062577157e-11,22.866634112634
"FMN1","FMN1",-2.0034803228919,6.017439619662,-21.2922589939613,3.25266289785124e-14,1.22853473740338e-11,22.8378901251996
"FAM198B","FAM198B",3.39803351897248,3.91913824847242,21.2623935052676,3.33283630764689e-14,1.22853473740338e-11,22.8140235378487
"EHF","EHF",4.46039917838037,0.23162796914574,21.0086796450355,4.10402243976532e-14,1.47498566485166e-11,22.6098328528474
"ATP1B1","ATP1B1",1.75846891403016,6.96400967932804,20.9513069741749,4.30319618252758e-14,1.5088475200004e-11,22.5632987692574
"RAB11FIP4","RAB11FIP4",1.7530706949462,3.10531597545861,20.7671546239998,5.01425645691906e-14,1.69671093559238e-11,22.4130262251813
"PRELP","PRELP",4.2331197792528,3.88430623043275,20.7527122416169,5.07502575337176e-14,1.69671093559238e-11,22.4011818613314
