"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TLE4","TLE4",-1.70410941639327,5.82504597587831,-30.322319414029,6.61977581703271e-17,9.51658971456622e-13,28.6165390797361
"FLRT3","FLRT3",-1.05978772255421,6.17712766407896,-28.2970725885072,2.24240417438532e-16,1.61184012054817e-12,27.5096408679314
"KLLN","KLLN",2.29366302780322,2.54984632015805,26.2078331814225,8.64661026830078e-16,4.14345564056974e-12,26.2622968682569
"PCDH9","PCDH9",-1.87357099897485,4.09824046569377,-25.4638000998083,1.43347557750372e-15,4.22231854381827e-12,25.7894109359287
"CYP1B1","CYP1B1",3.44244742802893,4.21876921011407,25.4287477972374,1.46853037834525e-15,4.22231854381827e-12,25.7667371553658
"EPHA4","EPHA4",-1.9717735461365,3.48996650275211,-24.467815840363,2.88403417450947e-15,6.91014588212468e-12,25.1307277313658
"LURAP1L","LURAP1L",3.36306447949785,2.04084577228025,24.1055177362629,3.74409712477052e-15,7.68930575224299e-12,24.8834768124945
"FGF1","FGF1",1.71701616522232,3.85361392365826,23.5781753525338,5.51102410600611e-15,8.80359295705736e-12,24.5159682778168
"FOXD3","FOXD3",2.9072827508066,5.48287490053329,23.5780756044098,5.51143131702255e-15,8.80359295705736e-12,24.515897889435
"FHDC1","FHDC1",1.74906910221494,3.4596081467842,23.3779848896126,6.39575566207767e-15,9.19453833980286e-12,24.3740250185157
"INHBA","INHBA",-2.31562240094935,7.09843006228358,-23.1285465903714,7.71240370075381e-15,9.60919609568344e-12,24.1952476412425
"SOX2","SOX2",3.01739996704344,6.1806056576192,23.0765806117306,8.02103179940187e-15,9.60919609568344e-12,24.1577318024299
"DNAJB2","DNAJB2",1.09183310827849,5.85950645317917,22.7176083825896,1.05422937766714e-14,1.11983354013715e-11,23.8959864293613
"JUN","JUN",2.27987997692802,5.11929282928632,22.6448934112023,1.11479317409812e-14,1.11983354013715e-11,23.8424078730354
"BMP5","BMP5",3.67001796571454,0.16165153942697,22.5838777535534,1.16844067209636e-14,1.11983354013715e-11,23.7973028078343
"SAMD11","SAMD11",3.85415713066817,4.17025969586372,22.3946500508565,1.35282326958122e-14,1.15932089155788e-11,23.6565590720041
"TXNIP","TXNIP",3.09017236036877,7.06256519445438,22.377555224443,1.37092759853116e-14,1.15932089155788e-11,23.6437798340217
"TMEM47","TMEM47",3.09012100259524,5.16928959125162,22.2217957481757,1.54813885492897e-14,1.19853650914681e-11,23.5268453203927
"BMF","BMF",2.89976977736697,5.04302734661044,22.1925341190772,1.58404240913949e-14,1.19853650914681e-11,23.5047771565719
"ST8SIA4","ST8SIA4",2.97153532981148,6.45850453152652,22.0484448463706,1.7740898097303e-14,1.27521575523414e-11,23.3956428531607
"FAM129A","FAM129A",2.45952958182066,7.43391686739578,21.8330393983299,2.10427218315439e-14,1.44052461452512e-11,23.231031235254
"SEMA3C","SEMA3C",2.13543699721873,7.42712587637248,21.3560298564978,3.08819500720977e-14,2.01799506471125e-11,22.8601318774528
"ZEB2","ZEB2",1.84782526200994,6.60070706457337,21.1858865509268,3.54786371623186e-14,2.2175690775891e-11,22.7256646053095
"ETS1","ETS1",1.26934818418175,6.63139204649496,21.0814924045071,3.86513119058283e-14,2.31521358315912e-11,22.6425834641517
"ANK3","ANK3",2.43234420713294,7.1096569604083,20.9434425430699,4.33128173009533e-14,2.49066024607402e-11,22.5320370015146
"IGF2BP3","IGF2BP3",-1.17712344031303,6.21324221650096,-20.7438126131095,5.11285867444088e-14,2.82701755014469e-11,22.3707916955169
"MYO10","MYO10",-1.40452671351542,4.05569166357627,-20.4643519219076,6.46555334460705e-14,3.4419721655534e-11,22.1422642843027
"NA..570","NA..570",4.5156213616928,2.80646261304663,20.3522110470612,7.11007015366953e-14,3.4419721655534e-11,22.049628236521
"PRELP","PRELP",4.1505985368529,3.88430623043275,20.3481549206219,7.13461389067641e-14,3.4419721655534e-11,22.0462674720619
