"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TENT5A","TENT5A",-1.90642717634134,5.30081546468236,-28.8162613099128,1.62737213847556e-16,1.4702139637357e-12,27.8650142646589
"PLEKHA7","PLEKHA7",2.2405176561825,2.62596950615094,28.4450925607886,2.0453727931771e-16,1.4702139637357e-12,27.6539462752896
"IGF2BP3","IGF2BP3",-1.56726208711527,6.21324221650096,-27.6190159309922,3.4377595938354e-16,1.64737439736592e-12,27.172148690404
"NCOA7","NCOA7",-1.29866392249807,6.26561787191306,-27.0431460424042,4.98110551229525e-16,1.79020932111891e-12,26.8260756952392
"FGF1","FGF1",1.93251673256966,3.85361392365826,26.537442870454,6.94185368586482e-16,1.99592177175985e-12,26.5149682607355
"SOX2","SOX2",3.42279241704609,6.1806056576192,26.1769556544995,8.82751576437643e-16,2.11507277714459e-12,26.2889548623441
"FAM129A","FAM129A",2.89582257443241,7.43391686739578,25.7059759823478,1.21414093941062e-15,2.15051657827231e-12,25.9881859623673
"CYP1B1","CYP1B1",3.47345111162319,4.21876921011407,25.6577665019197,1.25480014759567e-15,2.15051657827231e-12,25.9570420171989
"TMEM47","TMEM47",3.55363343396169,5.16928959125162,25.5550239835474,1.34631672262457e-15,2.15051657827231e-12,25.8904445513127
"FHDC1","FHDC1",1.87364974364945,3.4596081467842,25.0431245626569,1.91968676064098e-15,2.53352245166018e-12,25.5540091604426
"KLLN","KLLN",2.19050650799418,2.54984632015805,25.0291470230983,1.93856058488188e-15,2.53352245166018e-12,25.5447131346488
"ITPRID2","ITPRID2",-1.37511530363747,8.18463016510694,-24.724211418879,2.40292188391411e-15,2.8787004169291e-12,25.34043226605
"PCDH10","PCDH10",2.09626785311248,6.65289950030117,23.8639793540063,4.46487880600045e-15,4.93746905500481e-12,24.7484916438424
"MAP1LC3C","MAP1LC3C",5.1647969316053,1.80058875900047,23.7099314865036,4.99985582422661e-15,5.13413766636299e-12,24.6399703878471
"ATXN1","ATXN1",-1.7488790942998,4.5027901464925,-23.2815900228894,6.87404314211626e-15,6.58808294740422e-12,24.3340571514181
"ANTXR2","ANTXR2",-2.03645373502067,4.42591363963462,-23.1053683695072,7.8484848700057e-15,7.0471803604532e-12,24.2063925034256
"STON1","STON1",3.03413798371343,4.46923377415846,23.0260753791758,8.33347705395829e-15,7.0471803604532e-12,24.1485981812042
"ZEB2","ZEB2",1.99395355070939,6.60070706457337,22.8612924509956,9.44522244693665e-15,7.20774953932037e-12,24.0277904767422
"GRIN2A","GRIN2A",5.69225355864472,0.544111376788793,22.8501129809112,9.52610192314184e-15,7.20774953932037e-12,24.0195598776244
"SAMD11","SAMD11",3.91436967573328,4.17025969586372,22.7445161382236,1.0327056700296e-14,7.42308835617277e-12,23.9415986934696
"DEPTOR","DEPTOR",-2.2368770743029,3.66187670155484,-22.5107921286228,1.23630310228794e-14,8.16816849133606e-12,23.767626645347
"LINC00511","LINC00511",1.26182992888004,6.09051115561596,22.4965564720271,1.24999796055505e-14,8.16816849133606e-12,23.7569667863668
"ST8SIA4","ST8SIA4",3.00032472592029,6.45850453152652,22.2620588007116,1.50013219247991e-14,9.37647843438744e-12,23.580308317295
"FOXD3","FOXD3",2.73686268510323,5.48287490053329,22.1959681390979,1.57978385721575e-14,9.46290530472231e-12,23.530153952129
"GAS1","GAS1",2.22733092548533,4.56942444149734,22.0968588365349,1.70768623056677e-14,9.47494406461278e-12,23.4546387187421
"SLAIN1","SLAIN1",1.88831316124438,5.38413378233603,22.0895098311167,1.71759499172071e-14,9.47494406461278e-12,23.4490246380944
"ATP1B1","ATP1B1",1.84652275572781,6.96400967932804,22.0004259281374,1.84264411664728e-14,9.47494406461278e-12,23.3808103398837
"ANK3","ANK3",2.55487922215125,7.1096569604083,21.9985173301927,1.84542594469364e-14,9.47494406461278e-12,23.3793456048946
"GCNT1","GCNT1",1.94198483397496,4.61444269765902,21.8533229729627,2.07058399821981e-14,1.02643846753131e-11,23.2675139202787
"HAS3","HAS3",-1.6300157990106,3.725381895891,-21.7895096623829,2.17853355926691e-14,1.0439532816007e-11,23.2181101396212
"BMF","BMF",2.75575596500566,5.04302734661044,21.0903668127648,3.83703284143603e-14,1.77939303640272e-11,22.6664599888215
"SIPA1L2","SIPA1L2",1.24153955675588,5.90295418950191,20.7427826977383,5.11725605460521e-14,2.29892728253139e-11,22.3849140906299
