"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FLRT3","FLRT3",-1.21501823860361,6.17712766407896,-32.4418358152547,2.00282275511532e-17,2.87925799275378e-13,29.610139265021
"CYP1B1","CYP1B1",3.75007509887446,4.21876921011407,27.7011387693376,3.26265079379636e-16,1.8464955670523e-12,27.1196167906069
"TLE4","TLE4",-1.54215621826841,5.82504597587831,-27.4405815652592,3.85328791121097e-16,1.8464955670523e-12,26.9675562679565
"PCDH9","PCDH9",-1.90986337023388,4.09824046569377,-25.9570515898205,1.02370686222962e-15,3.67920246285325e-12,26.0673390234578
"JUN","JUN",2.51227335111244,5.11929282928632,24.9531391263853,2.04467503117968e-15,5.87884964964783e-12,25.4228396465747
"EPHA4","EPHA4",-1.98249583145918,3.48996650275211,-24.6008691025782,2.62283861093483e-15,6.28432131179984e-12,25.1894850796007
"KLLN","KLLN",2.11701293847017,2.54984632015805,24.1893954176338,3.52341062663022e-15,7.236078738348e-12,24.9119775015754
"FOXD3","FOXD3",2.87749657555864,5.48287490053329,23.3365095951293,6.59709931164807e-15,1.01414106988409e-11,24.3191754264795
"FHDC1","FHDC1",1.74178092984954,3.4596081467842,23.2805714808367,6.87929360786365e-15,1.01414106988409e-11,24.2794391968919
"FGF1","FGF1",1.68922260267931,3.85361392365826,23.1965123812795,7.32751656224999e-15,1.01414106988409e-11,24.2195239188539
"BMF","BMF",3.02101093997723,5.04302734661044,23.1204176561999,7.75984402387658e-15,1.01414106988409e-11,24.1650741010555
"SOX2","SOX2",2.90114255359235,6.1806056576192,22.1874629599384,1.59035332148286e-14,1.90524327913646e-11,23.4807188736189
"LURAP1L","LURAP1L",3.05798892078772,2.04084577228025,21.9188203546874,1.96562783059225e-14,2.1736819763534e-11,23.2777200773187
"SEMA3C","SEMA3C",2.16028520513103,7.42712587637248,21.6045312502391,2.52630117523026e-14,2.55203661201212e-11,23.0367255511192
"PRKCD","PRKCD",0.855450056572388,7.33683665897578,21.4477462272931,2.86684809873849e-14,2.55203661201212e-11,22.9150645885578
"FAM129A","FAM129A",2.41306253027525,7.43391686739578,21.4205552490788,2.93067202725546e-14,2.55203661201212e-11,22.8938663621352
"ZEB2","ZEB2",1.8651400337942,6.60070706457337,21.3844057498026,3.01785075154466e-14,2.55203661201212e-11,22.8656385632024
"TXNIP","TXNIP",2.88755224955122,7.06256519445438,20.9102769659379,4.45186448021351e-14,3.55555576486385e-11,22.4905368510188
"NA..570","NA..570",4.61885669787321,2.80646261304663,20.8174996931115,4.80834309087733e-14,3.63814422497118e-11,22.4160609617936
"ANK3","ANK3",2.40539488544299,7.1096569604083,20.7113982589045,5.25318513277105e-14,3.77598947343583e-11,22.3304497294333
"PRELP","PRELP",4.19566239324226,3.88430623043275,20.5690788001515,5.91907303843173e-14,3.91153349059925e-11,22.2148716847285
"TMEM47","TMEM47",2.85844121762942,5.16928959125162,20.5557312619734,5.98593049479574e-14,3.91153349059925e-11,22.2039881272454
"IGF2BP3","IGF2BP3",-1.15153030212099,6.21324221650096,-20.2927985183634,7.47864355922642e-14,4.67447738293213e-11,21.9880380596585
"MAP1LC3C","MAP1LC3C",4.4004085705534,1.80058875900047,20.2008689019292,8.08912447207284e-14,4.84538555877163e-11,21.9118296654958
"INHBA","INHBA",-2.01605797732353,7.09843006228358,-20.1364828904318,8.54780748189083e-14,4.9153312143865e-11,21.8582344207712
"DNAJB2","DNAJB2",0.961971399277838,5.85950645317917,20.0155952025514,9.48459518759022e-14,5.05223811640618e-11,21.7571133142752
"DEPTOR","DEPTOR",-1.98691278251256,3.66187670155484,-19.9952787476184,9.65236386526014e-14,5.05223811640618e-11,21.7400552653959
"SAMD11","SAMD11",3.43738177166524,4.17025969586372,19.972969253148,9.84019666523184e-14,5.05223811640618e-11,21.7213026560406
"CLIP4","CLIP4",1.26066573605638,7.18293025820938,19.8957123786866,1.05209641918378e-13,5.21549590420206e-11,21.6561913253144
"STON1","STON1",2.61313939864458,4.46923377415846,19.8311168089471,1.11282198559643e-13,5.32245780774071e-11,21.6015452322111
"ETS1","ETS1",1.19050146191246,6.63139204649496,19.7719962415518,1.17163993376818e-13,5.32245780774071e-11,21.5513658257863
"MYLK","MYLK",2.00764043143779,5.01566518347919,19.7592516904695,1.1847429733424e-13,5.32245780774071e-11,21.5405279685821
