"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FGF1","FGF1",2.09819869605673,3.85361392365826,28.8125981467845,1.63102547309619e-16,2.34476222012309e-12,27.7336429560102
"TENT5A","TENT5A",-1.78913642576382,5.30081546468236,-27.0433738060932,4.98036759667404e-16,3.5798882284893e-12,26.7193904101859
"SOX2","SOX2",3.28878042439734,6.1806056576192,25.1520538897103,1.77907346876544e-15,5.8728885452156e-12,25.5426192945663
"PLEKHA7","PLEKHA7",1.96467910339295,2.62596950615094,24.9431102647412,2.05912699613979e-15,5.8728885452156e-12,25.4062320124974
"IGF2BP3","IGF2BP3",-1.41418709818047,6.21324221650096,-24.9214578181635,2.0906973976121e-15,5.8728885452156e-12,25.3920222641177
"NCOA7","NCOA7",-1.18595844869388,6.26561787191306,-24.6961873450361,2.45112209733539e-15,5.8728885452156e-12,25.2433273410608
"TMEM47","TMEM47",3.35717634962754,5.16928959125162,24.1422543225246,3.64569992912164e-15,7.48722602586466e-12,24.8709093158474
"KLLN","KLLN",2.0525071137985,2.54984632015805,23.4523395067468,6.05083786196353e-15,1.05493387829528e-11,24.3931068266244
"FAM129A","FAM129A",2.62873279196488,7.43391686739578,23.3350422124892,6.60434397931102e-15,1.05493387829528e-11,24.310280832502
"ATXN1","ATXN1",-1.71119992179203,4.5027901464925,-22.7799938579018,1.00503205918001e-14,1.44483408827719e-11,23.9118661600198
"FHDC1","FHDC1",1.65211202591531,3.4596081467842,22.0820606395053,1.7277006782006e-14,2.25794772271017e-11,23.395167915349
"ST8SIA4","ST8SIA4",2.92442903070478,6.45850453152652,21.6989216125894,2.34207010599906e-14,2.35250734000541e-11,23.1037614614338
"GRIN2A","GRIN2A",5.40111553400352,0.544111376788793,21.6814129770282,2.37514303688626e-14,2.35250734000541e-11,23.0903096904597
"GAS1","GAS1",2.17708293772547,4.56942444149734,21.5983596330061,2.53886694450125e-14,2.35250734000541e-11,23.0263374546328
"FOXD3","FOXD3",2.64568803860925,5.48287490053329,21.4565413641672,2.84651851777649e-14,2.35250734000541e-11,22.9164753535687
"HAS3","HAS3",-1.59500192654969,3.725381895891,-21.3214558479551,3.17624630518172e-14,2.35250734000541e-11,22.8110878553738
"ITPRID2","ITPRID2",-1.18484322192833,8.18463016510694,-21.3031694430948,3.22388289395677e-14,2.35250734000541e-11,22.7967656524682
"STON1","STON1",2.80197358338611,4.46923377415846,21.2641795751639,3.32798358642367e-14,2.35250734000541e-11,22.7661833592952
"GRIK2","GRIK2",1.13092222698907,4.66064664442907,21.2620087795837,3.3338825761623e-14,2.35250734000541e-11,22.7644788672889
"PCDH10","PCDH10",1.86604321076596,6.65289950030117,21.2430947644804,3.38574863141768e-14,2.35250734000541e-11,22.7496197009821
"SAMD11","SAMD11",3.65283980204108,4.17025969586372,21.22489205425,3.43646731636851e-14,2.35250734000541e-11,22.7353057346584
"LINC00511","LINC00511",1.18591420293037,6.09051115561596,21.1430916533113,3.67447125207883e-14,2.40109994181296e-11,22.6708154586264
"CNTN1","CNTN1",1.86835016614206,3.98239775597988,20.738829460247,5.13417203104415e-14,3.0953652634819e-11,22.3480759048512
"MAP1LC3C","MAP1LC3C",4.51590325622659,1.80058875900047,20.7310680792888,5.16755469696478e-14,3.0953652634819e-11,22.3418132992906
"PCDH7","PCDH7",2.41215903705261,6.23962125140453,20.6222943101018,5.66023719222603e-14,3.1783873427654e-11,22.2537777357001
"KITLG","KITLG",2.75109028031946,3.40451530792875,20.6038989719396,5.74833548357681e-14,3.1783873427654e-11,22.238840144852
"ZNF536","ZNF536",1.82557323409192,3.9026324505671,20.5155410346495,6.19208903196887e-14,3.2969434045772e-11,22.1668903616276
"EHF","EHF",4.32862258038924,0.23162796914574,20.3880059740943,6.89729063746917e-14,3.44059313864294e-11,22.0624500867518
"CYP1B1","CYP1B1",2.75905333901117,4.21876921011407,20.3806370274804,6.94053985953292e-14,3.44059313864294e-11,22.0563941720362
"SLAIN1","SLAIN1",1.72105233757595,5.38413378233603,20.1328907254437,8.57419154061469e-14,4.10875258626256e-11,21.8514189338267
"ANK3","ANK3",2.33144097819696,7.1096569604083,20.0746259621626,9.01433050192294e-14,4.18032307405304e-11,21.8028222549417
"ZEB2","ZEB2",1.74584324655962,6.60070706457337,20.0166312896283,9.47612214652671e-14,4.25714787432713e-11,21.7543015987555
"GCNT1","GCNT1",1.76095171785066,4.61444269765902,19.8161416900541,1.12742016173518e-13,4.91145219548633e-11,21.585406803462
"FAM198B","FAM198B",3.15415954067033,3.91913824847242,19.7364095903345,1.20861525430564e-13,5.11030967526409e-11,21.5177359678198
"EFNB2","EFNB2",0.772632276458608,5.55067727179327,19.5436615044869,1.43141195363947e-13,5.87942235586315e-11,21.3529459949228
"RGMA","RGMA",1.86305008839935,2.79467092695032,19.2555708592864,1.84854959414678e-13,7.21942011237989e-11,21.1034296264755
"TLE4","TLE4",-1.08183641029253,5.82504597587831,-19.2498139327493,1.85808670115509e-13,7.21942011237989e-11,21.0984037527159
"BMP5","BMP5",3.08061561046053,0.16165153942697,18.9569225552234,2.4186861402002e-13,9.15027156618898e-11,20.840614464949
"ATP1B1","ATP1B1",1.57956246127608,6.96400967932804,18.8197230824125,2.74016044005785e-13,1.01006529451979e-10,20.7184295852198
"PRELP","PRELP",3.80707617701655,3.88430623043275,18.6640493308898,3.16014104369124e-13,1.13575469110263e-10,20.5786699831896
"PRUNE2","PRUNE2",4.0231518980563,2.35741868933925,18.5851118836356,3.39851175492351e-13,1.19163426801903e-10,20.5073413898756
"DEPTOR","DEPTOR",-1.82746642403424,3.66187670155484,-18.3906917666865,4.07001544395386e-13,1.39310814338764e-10,20.3303229454962
"TXNIP","TXNIP",2.52910380842424,7.06256519445438,18.3145642188737,4.36980823894295e-13,1.46093868007079e-10,20.2604851622933
"ZEB1","ZEB1",-1.282969575053,5.30168506531548,-18.2884155493731,4.47807384268961e-13,1.46310885369331e-10,20.2364282926006
"GRM8","GRM8",3.10976020119896,4.95136967344362,18.2157646001052,4.79396096350811e-13,1.53151072914206e-10,20.1694039896248
"PPP2R2B","PPP2R2B",2.79509076716837,3.22757642231396,18.1823707631205,4.94694768639329e-13,1.54602869433891e-10,20.1385047190103
"SORBS1","SORBS1",1.39775091055584,4.11776405044823,18.0671063166351,5.51571818300686e-13,1.68710562976397e-10,20.0314040472379
"GRAMD2B","GRAMD2B",2.23792218419226,4.05586420362105,18.0235868969356,5.748017900136e-13,1.70741863085314e-10,19.9907858131009
"ANTXR2","ANTXR2",-1.58740708993333,4.42591363963462,-18.0105371089634,5.81966561712603e-13,1.70741863085314e-10,19.9785865287301
"FMN1","FMN1",-1.69228391023695,6.017439619662,-17.9849768906479,5.96273752035785e-13,1.71440629185329e-10,19.9546661015283
