"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FLRT3","FLRT3",-1.1851769349778,6.17712766407896,-31.6450521605054,3.11079418241164e-17,4.47207771663498e-13,29.2248343021844
"TLE4","TLE4",-1.56168639410942,5.82504597587831,-27.7880945972078,3.0874472990016e-16,2.21925711852235e-12,27.1697398517765
"KLLN","KLLN",2.28344560243889,2.54984632015805,26.0910869217295,9.35189539862236e-16,4.48142827501984e-12,26.1509694579535
"PCDH9","PCDH9",-1.8600717551189,4.09824046569377,-25.2803311801706,1.62728213632794e-15,5.84845199796262e-12,25.6360014282385
"LURAP1L","LURAP1L",3.37859779473025,2.04084577228025,24.216856251513,3.4541736258743e-15,8.57755331305696e-12,24.9305137945034
"CYP1B1","CYP1B1",3.2716896470035,4.21876921011407,24.1673903941419,3.57994712564982e-15,8.57755331305696e-12,24.8968329447438
"FHDC1","FHDC1",1.76179896813715,3.4596081467842,23.5481317481897,5.63511920379948e-15,1.10730906433644e-11,24.4683978434805
"FGF1","FGF1",1.70082026049264,3.85361392365826,23.3557721571278,6.50277012283591e-15,1.10730906433644e-11,24.3327010521643
"FOXD3","FOXD3",2.86933840606877,5.48287490053329,23.270346805503,6.93223537773228e-15,1.10730906433644e-11,24.2720334130735
"SOX2","SOX2",3.00567290574452,6.1806056576192,22.9868939681438,8.58469310434112e-15,1.23413548068008e-11,24.0689172922533
"EPHA4","EPHA4",-1.83192127988002,3.48996650275211,-22.7323835427111,1.04235272702341e-14,1.26055947223381e-11,23.8841302058529
"TXNIP","TXNIP",3.13747465256455,7.06256519445438,22.7200958766827,1.05221992673941e-14,1.26055947223381e-11,23.8751502492978
"SAMD11","SAMD11",3.76986797311453,4.17025969586372,21.9048863690712,1.98747729676199e-14,2.19784412448079e-11,23.2670153296276
"INHBA","INHBA",-2.1770427593019,7.09843006228358,-21.7444065436151,2.25839858923141e-14,2.31905272277077e-11,23.1443552610332
"BMP5","BMP5",3.49274329488134,0.16165153942697,21.4929976727746,2.7638569413207e-14,2.50207929016312e-11,22.9501859011864
"ST8SIA4","ST8SIA4",2.88351990054787,6.45850453152652,21.395380648116,2.99109830974448e-14,2.50207929016312e-11,22.8741239808035
"JUN","JUN",2.1508493249466,5.11929282928632,21.3632972787452,3.07001596485036e-14,2.50207929016312e-11,22.8490424086165
"FAM129A","FAM129A",2.40380527627836,7.43391686739578,21.3383793758028,3.13282048017086e-14,2.50207929016312e-11,22.8295342116333
"DNAJB2","DNAJB2",1.01520463337474,5.85950645317917,21.1232111522628,3.73489804816704e-14,2.81358232313951e-11,22.6600419694504
"TMEM47","TMEM47",2.92337908450845,5.16928959125162,21.0227149214793,4.05679201500859e-14,2.81358232313951e-11,22.5802363871948
"ZEB2","ZEB2",1.83129689912021,6.60070706457337,20.9963837725778,4.14587560933705e-14,2.81358232313951e-11,22.5592581493823
"ANK3","ANK3",2.43170885769072,7.1096569604083,20.9379719338943,4.35093226527666e-14,2.81358232313951e-11,22.512619273265
"NA..570","NA..570",4.62818318568966,2.80646261304663,20.8595348048192,4.64324324293206e-14,2.81358232313951e-11,22.4497697401188
"SEMA3C","SEMA3C",2.08440234049725,7.42712587637248,20.8456436198261,4.69713242594243e-14,2.81358232313951e-11,22.4386125422359
"BMF","BMF",2.69907546169118,5.04302734661044,20.6565792709016,5.49981474206363e-14,3.16261346927627e-11,22.2859578813909
"ETS1","ETS1",1.23889835121418,6.63139204649496,20.575777794108,5.88581483792061e-14,3.25440285038257e-11,22.2202584003162
"IGF2BP3","IGF2BP3",-1.15166998982388,6.21324221650096,-20.2952601595422,7.46297950617547e-14,3.97362197706587e-11,21.9900066643121
"STON1","STON1",2.61603885323819,4.46923377415846,19.8531207719803,1.09173198266132e-13,5.49788074015733e-11,21.6201230708834
"PRELP","PRELP",4.04592747270726,3.88430623043275,19.8350089225132,1.10906052771677e-13,5.49788074015733e-11,21.6047855292615
"MAP1LC3C","MAP1LC3C",4.27563799874768,1.80058875900047,19.6280870969094,1.32892322151556e-13,6.30291194626896e-11,21.4285033454088
"PLEKHA7","PLEKHA7",1.54401846879037,2.62596950615094,19.6025004039207,1.35914211417875e-13,6.30291194626896e-11,21.4065695194297
"GRM8","GRM8",3.33126673921654,4.95136967344362,19.5132636652604,1.47032364933563e-13,6.60542899464031e-11,21.3298365285943
"PLK2","PLK2",0.780879931138954,6.9757661666077,19.3658988935682,1.67540027670384e-13,7.29865284178618e-11,21.2023111041356
"ZNF467","ZNF467",3.4469735002341,2.16745061243729,19.2536748540958,1.85168487096792e-13,7.82935932501024e-11,21.1045127173917
"MYLK","MYLK",1.95289540117061,5.01566518347919,19.2204496147029,1.90754524194918e-13,7.83510582807468e-11,21.075444160222
"ADAMTS15","ADAMTS15",2.38195234393365,4.65326330947166,19.0277164426586,2.2685789838481e-13,8.92963094584467e-11,20.9057840600883
"GRIN2A","GRIN2A",4.73646450491461,0.544111376788793,19.0133394361903,2.2982494782711e-13,8.92963094584467e-11,20.8930566704843
"SLITRK6","SLITRK6",-1.8550754720089,5.4477167275059,-18.866291665179,2.62627591204824e-13,9.93561645042249e-11,20.7623051660891
"GPNMB","GPNMB",1.3563645730967,7.23164583588194,18.7281541947769,2.97952863683238e-13,1.09830009443852e-10,20.6385123451692
"RARB","RARB",1.93263975210456,2.38891178730745,18.6713474184371,3.13900980680386e-13,1.12816012456531e-10,20.5873308709989
"DEPTOR","DEPTOR",-1.83766479700354,3.66187670155484,-18.493323000472,3.69969603851225e-13,1.29723976218664e-10,20.4258909471651
"MYO10","MYO10",-1.26535339530931,4.05569166357627,-18.4365572673075,3.89991697496565e-13,1.3348858674311e-10,20.374077638084
