"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AKR1C4","AKR1C4",1.68932252539964,17.4666690154746,8.62933602217543,1.82841815482409e-10,1.4863211180565e-06,13.5292999381665
"MAP1B","MAP1B",-0.573294709651382,17.040692680434,-8.24681593711935,5.67858136596483e-10,2.3080593961964e-06,12.4921380851083
"FST","FST",0.630194856572334,15.6385016090885,8.01508291751826,1.13740410932336e-09,2.51904390573423e-06,11.8541305801627
"TMEM2","TMEM2",-0.557000138826893,17.1390856062445,-7.92107609619154,1.51014635095612e-09,2.51904390573423e-06,11.5933130970725
"ARID1A","ARID1A",-0.486246672385942,16.5213195969652,-7.91257722612534,1.54941807463048e-09,2.51904390573423e-06,11.5696778653738
"CLIP2","CLIP2",-0.534364975114464,15.2738122752666,-7.61568765275309,3.81660477924695e-09,5.17086337508308e-06,10.7384376698703
"IDH1","IDH1",0.444912186879581,18.0709339707187,7.30265781414997,9.96485963740346e-09,1.1572049141779e-05,9.8509005977567
"GPNMB","GPNMB",-0.570127892106141,15.2645129135377,-7.01139848920701,2.45225782631238e-08,2.49180048376167e-05,9.01590003352032
"AKR1C2","AKR1C2",1.16467502079657,16.7189638213102,6.91148000469833,3.34489943259198e-08,3.02118749861558e-05,8.72761863086478
"VCX3A","VCX3A",1.64714751623155,17.1558867306646,6.76133467442649,5.33980434744851e-08,3.33902073387761e-05,8.29284491193299
"VCX","VCX",1.64714751623155,17.1558867306646,6.76133467442649,5.33980434744851e-08,3.33902073387761e-05,8.29284491193299
"VCX3B","VCX3B",1.64714751623155,17.1558867306646,6.76133467442649,5.33980434744851e-08,3.33902073387761e-05,8.29284491193299
"VCX2","VCX2",1.64714751623155,17.1558867306646,6.76133467442649,5.33980434744851e-08,3.33902073387761e-05,8.29284491193299
"PREX1","PREX1",-0.362700195634339,15.4885250514345,-6.65231106533404,7.50606474485347e-08,4.20108946942942e-05,7.97605504111818
"KYNU","KYNU",0.406120518899769,17.5828164883255,6.64199866460496,7.7520410925626e-08,4.20108946942942e-05,7.94604608624275
"ZEB1","ZEB1",0.398009168312779,15.8046992822129,6.57117219011828,9.67525191600682e-08,4.91563267657622e-05,7.739746983498
"RPGR","RPGR",0.410063693674903,14.9564023868412,6.31112601122364,2.18735495688611e-07,0.000104594167320748,6.97970954778313
"UBE2L6","UBE2L6",0.659449799797176,17.3294098278645,6.22701597510154,2.8493293256868e-07,0.000128678878269489,6.73315165341617
"C4A","C4A",-0.948413595530722,13.879444884051,-6.18894969696183,3.21173240493047e-07,0.000130540863598399,6.62147031753708
"C4B, C4B_2","C4B, C4B_2",-0.948413595530722,13.879444884051,-6.18894969696183,3.21173240493047e-07,0.000130540863598399,6.62147031753708
"DEPTOR","DEPTOR",0.804381997083802,14.955462590115,5.88465612685677,8.37211250929759e-07,0.000324080488514667,5.72719675084568
"SSFA2","SSFA2",0.467804811145555,17.0079428344115,5.82999290959769,9.94541632326033e-07,0.000367483133144469,5.56637703220301
"TAGLN3","TAGLN3",-0.909215767072023,16.0815264344878,-5.78716749624315,1.1381872247238e-06,0.00040227495433825,5.44037319227245
"TES","TES",-0.368248003662039,16.5537325840095,-5.61983577893376,1.92786660224658e-06,0.000652984483735934,4.94809774896774
"SPRR2B","SPRR2B",0.457868454946386,16.5846887585146,5.51361748151706,2.69300788029861e-06,0.000875658442357895,4.63581875314185
"CSPG4","CSPG4",-0.36044281910668,18.6860216631852,-5.4840446381085,2.95548166967159e-06,0.000924042711260013,4.54892547851037
"TMEM9","TMEM9",0.402617986579376,16.591113636141,5.45814771826776,3.20618061633788e-06,0.00096529786037817,4.47285529859625
"TGFBI","TGFBI",-0.484834159597185,15.0098796550784,-5.36913227823484,4.24077755713678e-06,0.0012311885986416,4.21156550798094
"ZWINT","ZWINT",0.368091396608518,15.4996166629056,5.35726126318114,4.40181671962247e-06,0.00123387476254521,4.17674486478762
"LPCAT2","LPCAT2",-0.455650905569737,16.5114611467353,-5.33977202194018,4.65022385134576e-06,0.00126005565625299,4.12545635236447
"FTL","FTL",-0.549980077225442,16.9913059018984,-5.28009759124389,5.60756762569498e-06,0.00147044894287982,3.95057048683229
"CMBL","CMBL",0.426558661323021,16.6128865519378,5.22343902303389,6.69713005667696e-06,0.00166281411608277,3.78470399283911
"SORBS2","SORBS2",-0.416630395638016,15.8475382737969,-5.22091617303035,6.75026028179745e-06,0.00166281411608277,3.7773228768371
"HMGA2","HMGA2",0.595747023909521,17.0146176488001,5.20126601041863,7.17867779366666e-06,0.00171633740543283,3.71984602683491
"SH3PXD2A","SH3PXD2A",-0.451049548708497,16.5641104086209,-5.18387813599112,7.58023955749435e-06,0.00176056478179633,3.66900722664699
