"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NT5DC4","NT5DC4",2.0829801174536,15.1028087846921,19.7860307227442,1.56876927688068e-21,1.00884988852354e-17,38.271483351327
"Q58FG1","Q58FG1",1.22661850834915,19.3906410651077,19.5245551471666,2.48210084518032e-21,1.00884988852354e-17,37.8506347174591
"CPNE4","CPNE4",-3.50647973431368,15.8795978850975,-17.4550477489249,1.1313498022586e-19,3.06558084752005e-16,34.3093819943369
"MCPH1","MCPH1",0.984623017997183,17.1279710161245,15.8828519412137,2.63419135329082e-18,5.35333537772526e-15,31.3457415452748
"CCAR1","CCAR1",-1.18126041629377,16.746117251349,-15.2081981221124,1.0932607767252e-17,1.77742337079983e-14,29.9941678843602
"FGFR1OP","FGFR1OP",0.924209595490927,15.8927289693467,14.9522517192234,1.89869697885081e-17,2.20803104571757e-14,29.4681547363852
"FST","FST",-1.24689786671364,15.6385016090885,-14.9516039976066,1.90136761225526e-17,2.20803104571757e-14,29.4668141162501
"ZHX1","ZHX1",-3.23563602231691,15.0272391028433,-14.5946222246257,4.15350679779565e-17,4.22048209491011e-14,28.7206024268701
"FKRP","FKRP",0.87367563323728,16.4937285352779,14.3207004439382,7.63511012319007e-17,6.89620113237912e-14,28.137931118514
"NECTIN1","NECTIN1",-1.37131588026527,15.1966280864551,-14.0503938256301,1.40349085184349e-16,1.14089771346357e-13,27.5542046556818
"IQSEC3","IQSEC3",-1.31794652610848,16.8807929909964,-13.0860789771653,1.31697639492846e-15,9.73245555852134e-13,25.3988340530596
"NET1","NET1",-1.43429706646671,15.8182896923177,-12.7627665104496,2.85837780829077e-15,1.9363127669663e-12,24.6499302860114
"PRR5","PRR5",2.33821842326761,14.9714056549608,12.321207868999,8.40579562187584e-15,5.25620866232528e-12,23.6051862273848
"ITGB2","ITGB2",2.15508309740374,14.9735540476237,12.1918012295011,1.15833038247135e-14,6.72576262793545e-12,23.294139065888
"TYW1","TYW1",-0.97786653642796,15.4095452914967,-11.9236066938213,2.2662488228898e-14,1.22815577875141e-11,22.6423899626335
"ACOT1","ACOT1",0.698230720997518,15.5720253252653,11.1958473344197,1.46583316085147e-13,7.44734860285101e-11,20.8248997396534
"ZNF706","ZNF706",-1.47870061274257,15.5149973093942,-11.1071470878968,1.84889638933267e-13,8.8409874993443e-11,20.5984413285112
"RBM42","RBM42",-1.07944284173554,16.2655595332971,-11.0328751699399,2.24739007650102e-13,1.01494632954871e-10,20.4079884410683
"RNF11","RNF11",2.1662743438905,14.4155570705825,10.9035684713887,3.16223329061e-13,1.35293654838782e-10,20.0746017269447
"VPS37C","VPS37C",1.25072551937368,15.6201635137533,10.8644826346729,3.50760455094964e-13,1.39595392173889e-10,19.9733751276967
"BRPF1","BRPF1",-1.29506126555479,15.9342250884217,-10.8540392456068,3.60622860825646e-13,1.39595392173889e-10,19.9462926531792
"TEP1","TEP1",0.789632667156843,15.5039877801251,10.7558639163756,4.68341940327424e-13,1.73052346950983e-10,19.6909632831078
"ZFP36L1","ZFP36L1",-0.892074214434125,14.7664227804501,-10.5288381995334,8.61256931711091e-13,2.92239123051199e-10,19.0954367290995
"CENPI","CENPI",-0.645586310275968,15.6457483026554,-10.5281727801319,8.62804644264826e-13,2.92239123051199e-10,19.0936807751567
"TIMM17B","TIMM17B",-0.981947696548612,15.2777294386082,-10.4923453567947,9.50456662759762e-13,3.09050488462964e-10,18.9990467933503
"DENND6B","DENND6B",-1.66191471417807,15.3891448930633,-10.4423921298299,1.08802956856345e-12,3.40176629340474e-10,18.8668057465505
"CDC37","CDC37",-1.14238468198924,18.5561704201319,-10.3607998463387,1.35780414971035e-12,4.08799627147978e-10,18.6500670627601
"KLHL42","KLHL42",2.28238460280866,14.0780751299526,10.268828032004,1.74470781185113e-12,5.0652606437635e-10,18.4046572604006
"C17orf80","C17orf80",0.579774438393354,16.2244343304655,10.2531292266864,1.82119472613743e-12,5.10499721681764e-10,18.3626515763301
"SMIM4","SMIM4",1.12456320507237,15.7187502996984,10.1291029962517,2.55893644111686e-12,6.93386477661299e-10,18.0296003248944
"CYSTM1","CYSTM1",0.649654480708691,17.8068281547611,10.0981318781472,2.78662705652166e-12,7.30725527176277e-10,17.9461030523107
"POMK","POMK",-0.92622966328055,15.2477839306146,-9.89952172874006,4.82795167542798e-12,1.22645059904856e-09,17.4075330350512
"PDCD2","PDCD2",-1.20795952863873,15.9674449624172,-9.86053659318027,5.3811544648957e-12,1.32555771651931e-09,17.3011845199963
"NPEPL1","NPEPL1",-2.01955650126375,14.2675708847853,-9.77882190652155,6.7593236435552e-12,1.61607476171942e-09,17.077601603789
"TAF1B","TAF1B",-1.01675288429108,15.6135597381055,-9.47966539592579,1.56905398270303e-11,3.64423995011227e-09,16.2513563803322
"PHLDA2","PHLDA2",-2.15995276150873,14.7759054062878,-9.35937157519587,2.20856318439201e-11,4.98705836831184e-09,15.9157292261085
"RAB39B","RAB39B",-2.90850083886009,14.2444957105843,-9.24669892734719,3.0472005904376e-11,6.69478205396412e-09,15.5996235891593
"PRRX2","PRRX2",-0.925331421403373,14.6845819246997,-9.01652680774922,5.91062639838692e-11,1.26440742085493e-08,14.9486955857107
"ZFP64","ZFP64",-1.19356718253348,15.7435133212496,-8.91606620687048,7.90891745870753e-11,1.64850230825214e-08,14.6624430894974
