"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CPNE4","CPNE4",-4.26114041497392,15.8795978850975,-21.2117037724165,1.4003510336828e-22,1.09397833273861e-18,40.4715277042827
"Q58FG1","Q58FG1",1.30787252652431,19.3906410651077,20.8179063790219,2.69154467397863e-22,1.09397833273861e-18,39.8799854835831
"NT5DC4","NT5DC4",1.92245202789953,15.1028087846921,18.2611896140047,2.45213096467297e-20,6.64445753727553e-17,35.7359080775886
"FGFR1OP","FGFR1OP",1.00930470832115,15.8927289693467,16.3289562604021,1.05344954644114e-18,2.140872840755e-15,32.2132518124965
"IQSEC3","IQSEC3",-1.63287825829989,16.8807929909964,-16.2130810506417,1.33415591079455e-18,2.16907067976978e-15,31.990128155388
"MCPH1","MCPH1",0.943738801541315,17.1279710161245,15.2233528793068,1.05832988778692e-17,1.43386060963664e-14,30.0257240044812
"NECTIN1","NECTIN1",-1.39248112528801,15.1966280864551,-14.2672512486827,8.6063485509341e-17,9.99442962436333e-14,28.0237126227143
"CCAR1","CCAR1",-1.09905638739923,16.746117251349,-14.1498581145918,1.12076467961562e-16,1.13883701007442e-13,27.7705124822536
"ITGB2","ITGB2",2.3488125998096,14.9735540476237,13.2877736253998,8.1724061935685e-16,7.38149888305759e-13,25.8596420102841
"VPS37C","VPS37C",1.51156929795828,15.6201635137533,13.130313673456,1.18563808604622e-15,9.63805200146972e-13,25.5006185080605
"FKRP","FKRP",0.793821916277906,16.4937285352779,13.0117922903791,1.57190634506157e-15,1.08193271844326e-12,25.2282978705015
"TAF1B","TAF1B",-1.39487959982762,15.6135597381055,-13.0051186264284,1.59714511272225e-15,1.08193271844326e-12,25.212910717128
"TYW1","TYW1",-1.06239494677778,15.4095452914967,-12.9543030945252,1.80340564942162e-15,1.12768342493449e-12,25.0955604215819
"C17orf80","C17orf80",0.69805071277143,16.2244343304655,12.34480806822,7.93011417343373e-15,4.60456415113163e-12,23.661941383901
"PRR5","PRR5",2.27581796178377,14.9714056549608,11.9923895475741,1.90626223072141e-14,1.03306704490229e-11,22.8106860747902
"NET1","NET1",-1.33387873050132,15.8182896923177,-11.869216767333,2.59952976647325e-14,1.32072359197881e-11,22.5092515426242
"EIF2B1","EIF2B1",-0.714416096534947,17.7277572684445,-11.8163582353987,2.97138482486524e-14,1.4208463083135e-11,22.3792676598398
"ACP1","ACP1",-0.797687309938617,16.556324417193,-11.7821117041702,3.24085501404045e-14,1.46360613384082e-11,22.2948512294403
"DENND6B","DENND6B",-1.85096769217243,15.3891448930633,-11.630278194432,4.77069898378173e-14,2.04110589679798e-11,21.918677354161
"PPP1R14B","PPP1R14B",-1.84625718228912,15.8389482652098,-11.5809469167768,5.41269529810066e-14,2.19999000391301e-11,21.7957845766452
"ACOT1","ACOT1",0.709230289371815,15.5720253252653,11.3722209664581,9.26618153016747e-14,3.58689474565387e-11,21.2721477105668
"RNF11","RNF11",2.25331582986293,14.4155570705825,11.3416767861681,1.00293123890348e-13,3.70583092774836e-11,21.1950222081761
"PHLDA2","PHLDA2",-2.44873747824528,14.7759054062878,-10.6107153625883,6.90843226886231e-13,2.44168025711225e-10,19.3111079551967
"TOP1MT","TOP1MT",-1.01613308748052,17.0423977847044,-10.4876781316894,9.62524017869581e-13,3.26014905885909e-10,18.9867672620013
"LMNB2","LMNB2",-0.622927370032958,18.3397371178097,-10.3370916535296,1.44830320829819e-12,4.70930271210239e-10,18.5869635129543
"PHF1","PHF1",0.883656335369077,14.4803716058293,10.1485111496936,2.42598912022648e-12,7.58494829166195e-10,18.0818839631485
"RBM42","RBM42",-0.96553981394781,16.2655595332971,-9.86868394232497,5.26044539130052e-12,1.58378372540303e-09,17.3234261509313
"ZHX1","ZHX1",-2.1496097866567,15.0272391028433,-9.69600491224224,8.52412547332282e-12,2.47473628473718e-09,16.8500598657658
"LDLR","LDLR",-1.06670732086886,16.5491426692067,-9.6727683301073,9.09884347020821e-12,2.55049995066629e-09,16.78605261396
"TEP1","TEP1",0.701593707038361,15.5039877801251,9.55665431707779,1.26193453786233e-11,3.41942195276095e-09,16.4651143377329
"KLHL42","KLHL42",2.11031247330693,14.0780751299526,9.49464689496883,1.50384585019782e-11,3.94347190847035e-09,16.2929836040789
"CWF19L2","CWF19L2",0.535118971714622,15.8470670040367,9.47329203060014,1.59765875717224e-11,4.05855251157911e-09,16.2335838845356
"POMK","POMK",-0.882543239807859,15.2477839306146,-9.43260222101549,1.79320419592164e-11,4.41725966928697e-09,16.1202342513712
