"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FST","FST",-1.15126563489112,15.6385016090885,-15.293362647091,9.11179232392664e-18,7.40697598011996e-14,29.5251703948785
"APBA3","APBA3",1.22634739150141,15.1154094383417,13.914047797122,1.91384350434068e-16,7.77881692339269e-13,26.7658452768632
"FGFR1OP","FGFR1OP",0.68929253718124,15.8927289693467,12.3540753166321,7.75091705913744e-15,2.10024015912427e-11,23.3522097277185
"ZFP36L1","ZFP36L1",-0.894255978585694,14.7664227804501,-11.6926206424559,4.06893055683597e-14,8.26908412412991e-11,21.8046719791717
"ERRFI1","ERRFI1",-1.42568980936055,15.9253424856306,-10.30945000346,1.56160522477192e-12,2.14589901936683e-09,18.3671004091304
"TAGLN","TAGLN",2.13215780173767,14.5459456414064,10.3042554720779,1.58388413288239e-12,2.14589901936683e-09,18.3536701352251
"HIPK1","HIPK1",1.25721545185649,15.2320966789593,9.6624467570878,9.3666171298494e-12,1.0877318664078e-08,16.6643991855137
"SPRY2","SPRY2",-1.51705959598075,15.0813687260405,-9.41054664772882,1.90919034142303e-11,1.8366118248166e-08,15.985315670037
"IFFO1","IFFO1",1.31026697741718,14.7534122132763,9.38838825181663,2.03339973223636e-11,1.8366118248166e-08,15.9251521038008
"ZNF608","ZNF608",0.672934047146128,15.7476822931041,9.29677411445197,2.64050603155431e-11,2.1464673530505e-08,15.6756757967202
"USP33","USP33",-0.633648965427115,15.4513303646757,-9.00650357139411,6.08455350471784e-11,4.49648503998648e-08,14.8775512272634
"JMJD1C","JMJD1C",-0.484882354989651,16.4604461436488,-8.79604706785516,1.12184706243406e-10,7.59957897543873e-08,14.2916990645991
"SYTL5","SYTL5",-0.470242179934061,15.6313888067569,-8.72791670630688,1.36915974599939e-10,8.56146121171467e-08,14.1007737594172
"ARHGEF28","ARHGEF28",-0.866573822173093,14.8131099900303,-8.49652500928573,2.7046658203102e-10,1.57044488952154e-07,13.4477925720785
"FADS3","FADS3",-0.882186182849797,16.4605004202236,-8.42671955989212,3.32542850295557e-10,1.80216055336839e-07,13.2494497480029
"ITGB2","ITGB2",1.33932728079236,14.9735540476237,8.3938481742307,3.66596896652965e-10,1.86254135805747e-07,13.1558365109659
"DOCK11","DOCK11",1.09353554368456,14.2962539871394,8.20372252246152,6.45868001268172e-10,3.08838881312292e-07,12.6117463899734
"PFKFB3","PFKFB3",-1.74152271029746,16.2012041592074,-8.13304223228873,7.98051224821188e-10,3.47339184147216e-07,12.4083518253454
"ZFP36L2","ZFP36L2",-1.0366446382764,14.9587429711372,-8.12732780896076,8.1183964802523e-10,3.47339184147216e-07,12.3918814116651
"MELTF","MELTF",0.554031944661336,16.6256427027169,8.05578335307008,1.0063393921325e-09,4.09026645932256e-07,12.1853441710036
"ZEB2","ZEB2",0.919814129061875,15.0807143993901,8.01928496447075,1.12310848919194e-09,4.34749948030538e-07,12.0797472454155
"CWF19L2","CWF19L2",0.403067692916503,15.8470670040367,7.90494965231669,1.58554278940981e-09,5.85858060686926e-07,11.7479563432977
"CEMIP","CEMIP",-1.31601678715636,15.4201973473888,-7.82920810596587,1.99394780138889e-09,6.76401849919819e-07,11.5273451781611
"POLR2M","POLR2M",0.720289846065047,16.0426932896463,7.82870264545489,1.99700386247701e-09,6.76401849919819e-07,11.525870784903
"TRIM62","TRIM62",-0.656341096978414,15.5929700435891,-7.81117958236245,2.10593045716229e-09,6.84764347450891e-07,11.4747397853071
"NAA38","NAA38",0.847308984479454,14.4530479496702,7.77187957662118,2.37259271410399e-09,7.15896430607594e-07,11.3599426951163
"RTCA","RTCA",0.762538602485478,15.9737919842421,7.77115625298017,2.37780829455099e-09,7.15896430607594e-07,11.3578282540587
"NRP2","NRP2",-0.587951498885777,15.0530161730942,-7.65380156537426,3.39783088701983e-09,9.86463117163721e-07,11.0140295113188
"PDLIM2","PDLIM2",-0.884474099050733,14.9033158622448,-7.58571379063059,4.18230261802203e-09,1.14751220657215e-06,10.8138973556595
"Q9NPR2","Q9NPR2",0.850742621799048,15.2186699083992,7.58162325706339,4.23488328172771e-09,1.14751220657215e-06,10.8018587478798
"LIMD2","LIMD2",0.88296449667434,17.0841949858849,7.3739927473799,8.00111814400433e-09,2.09809965782617e-06,10.1886096417583
"EVA1B","EVA1B",-1.1377859771585,14.6824825646095,-7.34581446294009,8.72530316281346e-09,2.21649966907846e-06,10.1050639623785
"CIC","CIC",0.648278336641505,15.6535114272977,7.33201593294387,9.10370955321304e-09,2.24254711994148e-06,10.0641259200476
"LDLR","LDLR",-0.72856947952981,16.5491426692067,-7.3189204447206,9.47814832785943e-09,2.2661137575638e-06,10.0252575128721
"EDEM2","EDEM2",1.33905024950247,13.6187144148507,7.07054281484739,2.0413327386386e-08,4.72069259648455e-06,9.28520614202293
"KCTD10","KCTD10",-0.798110645254653,16.4294211612182,-7.05648572764455,2.13223345116354e-08,4.72069259648455e-06,9.24316875895992
"C11orf57","C11orf57",1.02887954218146,14.6620609598583,7.05400810968036,2.14867297416568e-08,4.72069259648455e-06,9.2357578841225
"GORAB","GORAB",-0.396531966885856,16.3590470531711,-7.03843887130025,2.25494257999069e-08,4.82379690335376e-06,9.18917726731566
"SDC2","SDC2",-1.90571213391331,15.9751430687371,-6.97325475431061,2.76055033597807e-08,5.64098070223115e-06,8.99395445504646
"CDC42EP3","CDC42EP3",-1.2334582209064,14.4413368646986,-6.97148905993973,2.77573167781088e-08,5.64098070223115e-06,8.98866183460792
"MCEE","MCEE",1.35445205409696,13.7934720302017,6.92494578415205,3.20771813659489e-08,6.22957303035733e-06,8.84906702469858
"TMEM230","TMEM230",0.89540571814311,16.2053200619362,6.92385408142016,3.21862550467472e-08,6.22957303035733e-06,8.84579085043159
"IRAK1","IRAK1",-0.833626080561658,15.4001343614143,-6.84741258516024,4.08306228784811e-08,7.71888682277147e-06,8.61618341882744
"RC3H2","RC3H2",-0.718444824002473,15.972487701228,-6.81546919649448,4.51034334177907e-08,8.33285932393683e-06,8.52011692602596
"EIF1","EIF1",-0.521660733189272,16.6470901985143,-6.80472153649521,4.66400529932585e-08,8.42526646182663e-06,8.48777930760226
"SLC25A17","SLC25A17",-1.33939816259199,14.6298345412528,-6.76901837865228,5.21331858493735e-08,9.21284060368602e-06,8.38030206244194
"ZNF691","ZNF691",0.505787706785433,15.1870385235493,6.74346712275478,5.64600372610059e-08,9.76518389137695e-06,8.30333583570412
"RARS2","RARS2",0.368864740043787,15.8476740393824,6.72923162229109,5.90256099273313e-08,9.99623298123492e-06,8.26043785755617
"KIF3C","KIF3C",0.681496759932299,15.9261466822418,6.7149502647569,6.17173484376266e-08,1.02387821520299e-05,8.21738940843122
"CDR2","CDR2",-1.25157531381754,14.7208640578866,-6.69226449856162,6.6249386991344e-08,1.07708253370527e-05,8.14898261016548
"MED16","MED16",0.371759656103933,16.132218422597,6.67510097584992,6.98994574892444e-08,1.11414252927464e-05,8.09720773744272
"EEF1AKMT1","EEF1AKMT1",0.739623602053095,15.7534412646938,6.61511832396983,8.43199191825124e-08,1.3181473519897e-05,7.91613657485768
"PLP1","PLP1",0.632282702623314,14.9342851886726,6.60350849709588,8.74391896543198e-08,1.34111919377352e-05,7.88106720235269
"CCPG1","CCPG1",-0.455230631159241,15.5979577116445,-6.56720059855992,9.79631296551445e-08,1.45529150283255e-05,7.77134825209683
"FOXP4","FOXP4",0.564730284221705,14.5383786685826,6.56557323410819,9.84635658208765e-08,1.45529150283255e-05,7.76642895045129
"KAT14","KAT14",1.29839908630911,16.0279837613975,6.54879083797508,1.03776691944558e-07,1.50642987288805e-05,7.71569040846164
"KIT","KIT",1.26457922545102,17.1122716703126,6.53367546362089,1.08808321790884e-07,1.5517593821721e-05,7.66998006746409
"RASSF8","RASSF8",-0.70787056776312,16.2108992721407,-6.48436824245687,1.26990316224345e-07,1.77983496653052e-05,7.52079590927765
"SLC20A1","SLC20A1",-0.839133890312157,15.7101675283013,-6.46737866672181,1.33938438602504e-07,1.84539926677925e-05,7.46936684824103
"NRAS","NRAS",1.12885831730628,16.2089754675071,6.41051246090087,1.60095706202356e-07,2.16902999286492e-05,7.29713909620164
"SPRY4","SPRY4",-0.643284206742258,16.6716223134606,-6.37367920907468,1.79718340953453e-07,2.37719554836357e-05,7.18551610947118
"SLITRK6","SLITRK6",-1.45142734118711,15.3521524859329,-6.36554571591783,1.843671176692e-07,2.37719554836357e-05,7.16086084504082
"MAPK13","MAPK13",0.698307804274002,16.2855956921182,6.35096292506488,1.93006404467949e-07,2.37719554836357e-05,7.1166497872018
"MYLK3","MYLK3",0.698307804274002,16.2855956921182,6.35096292506488,1.93006404467949e-07,2.37719554836357e-05,7.1166497872018
"MYLK4","MYLK4",0.698307804274002,16.2855956921182,6.35096292506488,1.93006404467949e-07,2.37719554836357e-05,7.1166497872018
"MYLK2","MYLK2",0.698307804274002,16.2855956921182,6.35096292506488,1.93006404467949e-07,2.37719554836357e-05,7.1166497872018
"GHITM","GHITM",0.506665605305891,16.9859686073806,6.29440250262046,2.30537484224621e-07,2.79707344665962e-05,6.94510661766929
"PDCD4","PDCD4",0.450931947716537,16.8560092756005,6.25476625535824,2.61125011361586e-07,3.1215959078799e-05,6.82483466417129
