"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FGFR1OP","FGFR1OP",0.682187539731682,15.8927289693467,12.2267336309448,1.06207072773221e-14,8.63357294573517e-11,23.0996746284734
"FST","FST",-0.845818551670733,15.6385016090885,-11.2358168717172,1.32066846682932e-13,5.36785698342778e-10,20.7308494907391
"ZNF608","ZNF608",0.79022042854527,15.7476822931041,10.9171186328985,3.05075768953143e-13,6.2882650358719e-10,19.9393502628152
"ZFP36L1","ZFP36L1",-0.834536569061234,14.7664227804501,-10.9117744224895,3.09423793129384e-13,6.2882650358719e-10,19.9259534877337
"HIPK1","HIPK1",1.3971754181263,15.2320966789593,10.7381221476574,4.9105934226717e-13,7.98364278657966e-10,19.4884103320337
"LDLR","LDLR",-0.98297787964534,16.5491426692067,-9.87460647498894,5.17442967041176e-12,7.01048979846286e-09,17.2482286037508
"APBA3","APBA3",0.863526768577998,15.1154094383417,9.79751154962588,6.41535424333548e-12,7.37706371367767e-09,17.043026749261
"JMJD1C","JMJD1C",-0.537649731318442,16.4604461436488,-9.75327787045919,7.25999627376324e-12,7.37706371367767e-09,16.9249091396842
"USP33","USP33",-0.678166916889914,15.4513303646757,-9.63926888897115,9.99749203553925e-12,8.77679975161086e-09,16.6191901634201
"CWF19L2","CWF19L2",0.490106267835484,15.8470670040367,9.61194717316853,1.07968996821391e-11,8.77679975161086e-09,16.5456528466973
"ITGB2","ITGB2",1.52085367146888,14.9735540476237,9.53151257098165,1.35485784964951e-11,1.00123995089099e-08,16.3285492387934
"CDR2","CDR2",-1.76178978909376,14.7208640578866,-9.42041851522122,1.85636216567496e-11,1.25753067039765e-08,16.0271969166184
"SMIM7","SMIM7",1.82803539535353,16.2848393576548,9.33434854867082,2.37189268813389e-11,1.48316274321849e-08,15.7925386591676
"ARHGEF28","ARHGEF28",-0.947555304049336,14.8131099900303,-9.29052682245507,2.68807463955924e-11,1.56081133892693e-08,15.6726687709452
"GORAB","GORAB",-0.503978058782433,16.3590470531711,-8.94560604299981,7.25886966295889e-11,3.93382343267952e-08,14.7199575490861
"IFFO1","IFFO1",1.17946722988912,14.7534122132763,8.45117558127092,3.09301171277917e-10,1.52439996051194e-07,13.3265582559216
"C11orf57","C11orf57",1.23117802702015,14.6620609598583,8.44096848173963,3.18794431402423e-10,1.52439996051194e-07,13.2974601983644
"TAGLN","TAGLN",1.71410828511739,14.5459456414064,8.28391297410551,5.08379257897589e-10,2.29589721524972e-07,12.8480923244155
"B3KU38","B3KU38",-0.991688732922734,14.9462787830381,-8.14889942971621,7.61017829835753e-10,3.25595470459728e-07,12.4593752596614
"PDLIM2","PDLIM2",-0.946776912031055,14.9033158622448,-8.12005539331533,8.29736755286649e-10,3.37246504186258e-07,12.376047028437
"ERMP1","ERMP1",0.758231294120367,15.5958250413242,8.04780928408691,1.03075513856e-09,3.99000405778773e-07,12.1669029062806
"ERRFI1","ERRFI1",-1.10748575430079,15.9253424856306,-8.00845242670928,1.16033693481821e-09,4.28744497415328e-07,12.0527131779204
"TSHZ1","TSHZ1",1.75563359203325,15.6685516280354,7.96433589141136,1.32531286361504e-09,4.6841166384029e-07,11.9245016388324
