"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ITGB2","ITGB2",2.57369175679614,14.9735540476237,16.1298721855611,1.58204939566995e-18,1.2860479537401e-14,31.1981213298298
"FST","FST",-1.07953495386335,15.6385016090885,-14.3404953985309,7.30449303634134e-17,2.96891119462094e-13,27.7258803919588
"FGFR1OP","FGFR1OP",0.646357037312638,15.8927289693467,11.584549504989,5.36296263781609e-14,1.4531841094269e-10,21.5905221404782
"KCTD10","KCTD10",-1.26956632304425,16.4294211612182,-11.2248554660005,1.3589567729832e-13,2.76173990189511e-10,20.7130342927092
"ARHGEF28","ARHGEF28",-1.04812451819692,14.8131099900303,-10.2765811219335,1.70814734543356e-12,2.77710595420588e-09,18.3109354496846
"B3KU38","B3KU38",-1.22042145978451,14.9462787830381,-10.0284407874041,3.37736452872736e-12,4.34046027042226e-09,17.6610451588689
"SPRY2","SPRY2",-1.6107614429785,15.0813687260405,-9.99179316202981,3.73763339807551e-12,4.34046027042226e-09,17.5643162725198
"CEMIP","CEMIP",-1.62621544501185,15.4201973473888,-9.67463277702173,9.05130993763801e-12,8.3524293520621e-09,16.7192001880499
"C1orf167","C1orf167",-2.05146404115269,17.4798827284102,-9.66700573743629,9.2473691928354e-12,8.3524293520621e-09,16.6987011815756
"ZFP36L1","ZFP36L1",-0.724541545180625,14.7664227804501,-9.47356196700456,1.59643655788394e-11,1.29774327790385e-08,16.1760473795968
"ZNF608","ZNF608",0.679438896294178,15.7476822931041,9.38664044449496,2.04353972995023e-11,1.51017586043322e-08,15.9394913531501
"GORAB","GORAB",-0.501660951507034,16.3590470531711,-8.90447740955263,8.17979887381681e-11,5.54113208710473e-08,14.6083746411781
"NAA38","NAA38",0.966051557728774,14.4530479496702,8.86103712931582,9.2817548710787e-11,5.8039527189999e-08,14.4869005539754
"EVA1B","EVA1B",-1.36189752358086,14.6824825646095,-8.7927314333291,1.13276178521747e-10,6.57730039430913e-08,14.2953867650991
"USP33","USP33",-0.613042340913017,15.4513303646757,-8.71360695606467,1.42776750400021e-10,7.33333101553403e-08,14.0727698300457
"TRIM62","TRIM62",-0.73185624071505,15.5929700435891,-8.7098926930153,1.44339151492858e-10,7.33333101553403e-08,14.0622995627697
"ERRFI1","ERRFI1",-1.1836149751724,15.9253424856306,-8.55895814767691,2.24940293748672e-10,1.07561155757821e-07,13.6353096127299
"SMARCB1","SMARCB1",0.456470341655296,16.1418810115921,8.52277332521906,2.50285654557827e-10,1.13031782550032e-07,13.5325080347701
"DYRK2","DYRK2",-1.29637367151697,15.2605477374288,-8.49444524500102,2.72134460478236e-10,1.16430580485662e-07,13.4519112215448
"LIMD2","LIMD2",1.00442714114709,17.0841949858849,8.3883762959746,3.72599540854378e-10,1.51443083380262e-07,13.1492328172904
"RAB11FIP5","RAB11FIP5",-0.677191205600673,15.9869212751213,-8.35269219517231,4.14264556298223e-10,1.60359837054679e-07,13.047088496821
"DOCK11","DOCK11",1.09415124189466,14.2962539871394,8.20834150106024,6.37011620748579e-10,2.353757938666e-07,12.6322935397917
"CCDC130","CCDC130",-0.523120293098433,15.9165690821108,-8.03988838825337,1.05560172380042e-09,3.73086365772767e-07,12.1450758120391
