"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ITGB2","ITGB2",2.89557657107551,14.9735540476237,18.1471925966357,3.03398277955652e-20,2.4663246015015e-16,34.6187766713085
"FGFR1OP","FGFR1OP",0.668806077319442,15.8927289693467,11.9868999093097,1.93272032510576e-14,7.85554176139236e-11,22.5245552005132
"C1orf167","C1orf167",-2.37033272808852,17.4798827284102,-11.1695938229508,1.56993541141901e-13,4.25400165314172e-10,20.5561270168704
"FST","FST",-0.814443344016427,15.6385016090885,-10.8190299771527,3.95793319734512e-13,8.04350974030462e-10,19.6825907073924
"CEMIP","CEMIP",-1.75345142693137,15.4201973473888,-10.4315813134969,1.12037879510755e-12,1.82151184508586e-09,18.696549142734
"ZNF608","ZNF608",0.743606272236287,15.7476822931041,10.2731308846515,1.72432003917589e-12,2.33616626641014e-09,18.2870611443925
"ZFP36L1","ZFP36L1",-0.746438973013882,14.7664227804501,-9.75987631416138,7.12716005885097e-12,8.07480915893441e-09,16.9358641129402
"EVA1B","EVA1B",-1.50567838046514,14.6824825646095,-9.72101453682821,7.94666911938434e-12,8.07480915893441e-09,16.8320223392858
"ZNF407","ZNF407",1.15671530368641,15.2928591921512,9.4619669356091,1.64980160758912e-11,1.49013747423244e-08,16.1343613203747
"SMIM7","SMIM7",1.78519102669169,16.2848393576548,9.11557583154847,4.44079763346702e-11,3.60992439624534e-08,15.1867869719379
"ARHGEF28","ARHGEF28",-0.906193208863986,14.8131099900303,-8.88498252006949,8.6568971455692e-11,6.39744699057564e-08,14.5468507379573
"KCTD10","KCTD10",-0.984735536146768,16.4294211612182,-8.70652746914175,1.4576969701565e-10,9.87468222533516e-08,14.0467113380634
"SPRY2","SPRY2",-1.38115928542985,15.0813687260405,-8.5675367783286,2.19322973398091e-10,1.37144342365622e-07,13.654277697092
"MAP3K3","MAP3K3",-1.47343652067872,15.1810492269038,-8.45865065627004,3.02531008616371e-10,1.7566246921732e-07,13.3451043086104
"TFAP2E","TFAP2E",-0.954434052305752,16.0663596946814,-8.38723561813848,3.73863353323664e-10,2.02609013277871e-07,13.1415109642676
"GORAB","GORAB",-0.469325941215722,16.3590470531711,-8.33053126562477,4.42485722012012e-10,2.11850274008768e-07,12.9794010898517
"ZNF131","ZNF131",0.710954691664771,15.2494526001569,8.33011212638894,4.43037846985982e-10,2.11850274008768e-07,12.9782013424754
"ATP6AP2","ATP6AP2",0.522402284022622,17.0125378774003,8.11609696484873,8.39645610670436e-10,3.79193287174443e-07,12.3628018545554
"GAS2L1","GAS2L1",0.543097241508994,14.7369212261141,8.08524744533121,9.21089697901019e-10,3.83376474062321e-07,12.2736408017656
"LDLR","LDLR",-0.803254194266238,16.5491426692067,-8.06917351042043,9.66649194947308e-10,3.83376474062321e-07,12.2271396076082
"ZBTB9","ZBTB9",-0.991931180156193,16.3161870640173,-8.05585689272713,1.00611696668498e-09,3.83376474062321e-07,12.1885922652502
"CWF19L2","CWF19L2",0.410240504347934,15.8470670040367,8.04562258201927,1.03755473359221e-09,3.83376474062321e-07,12.1589531262973
"MEOX1","MEOX1",-0.801852318718764,14.981639616246,-8.01845621983431,1.12591346352427e-09,3.97936980216904e-07,12.08021866572
"ING4","ING4",1.35192232274541,16.2407963371403,7.9204190576435,1.51314616578027e-09,5.12515215901158e-07,11.7953773878846
"PFKFB3","PFKFB3",-1.68437822924933,16.2012041592074,-7.86617320154996,1.78280426946844e-09,5.79696636260359e-07,11.6373008609276
