term,pvalue,odds_ratio,log_pval
4-1BB-dependent immune response,0.0009269333030963278,18.044270833333332,3.0329515141179826
AKT signaling pathway,0.019094116945460177,10.256106587712804,1.7191004218458774
ALK in cardiac myocytes,0.29870016632774776,2.893285037614935,0.5247645355639236
AP-1 transcription factor network,0.14103318301545478,3.1142149132687544,0.8506786922736902
APC/C-mediated degradation of cell cycle proteins,0.5396820113612119,1.3026778979129998,0.267862057563398
ATF2 transcription factor network,0.4290977120400973,1.8125109208457102,0.36744380113036623
ATM pathway,0.0011018905385513699,9.661431064572426,2.957861546014427
ATM-dependent DNA damage response,0.042181764664097544,4.0478515625,1.3748752556100694
ATM-mediated phosphorylation of repair proteins,0.0012555791358451974,53.88860103626943,2.90115590965134
Acetylation and deacetylation of RelA in the nucleus,0.010644492526031217,14.362694300518134,1.9728750386312826
Actin cytoskeleton regulation,0.35276723133235033,1.4356166294642858,0.45251176342823374
Actions of nitric oxide in the heart,0.07328527719249327,4.67650371705339,1.1349832651445075
Activation of BH3-only proteins,0.15463943668508345,6.303214069132808,0.8106797410087676
Activation of DNA fragmentation factor,0.0072536748679006766,17.955958549222796,2.13944191473865
Activation of NF-kappaB in B cells,0.0038936135177532133,6.682239226741845,2.4096471589888573
Activation of NMDA receptor upon glutamate binding and postsynaptic events,0.005237196297923356,9.272321428571429,2.280901147788941
Activation of PKC through G-protein coupled receptors,0.07192734969562722,15.315169366715757,1.1431059418369847
Activation of RAS in B cells,0.05444315184458716,21.443298969072167,1.2640567403921257
"Activation of mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",0.4183152540558909,1.8762886597938144,0.3784962983849177
Activation of pro-caspase 8,0.08908987638259896,11.910652920962198,1.050171643673199
Acute myeloid leukemia,0.00020160034670870568,10.3038728897716,3.695508725333912
Adaptive immune system,1.0343887883770847e-06,3.9363348746653686,5.98531619537085
Adherens junction cell adhesion,0.0326929949773319,4.499348958333333,1.4855452922508103
Adipocytokine signaling pathway,0.02542416039892387,4.985576923076923,1.5947533802001082
Adipogenesis,0.036465352576897224,3.330648409182441,1.4381195829659041
Adrenergic pathway,0.009409812323525623,4.090225563909774,2.0264190383867726
Aldosterone-regulated sodium reabsorption,0.06043749229653506,5.248072791608745,1.2186935639288283
Allograft rejection,0.29870016632774776,2.893285037614935,0.5247645355639236
Alpha-6 beta-1 and alpha-6 beta-4 integrin signaling,0.00947199285996942,7.372514204545454,2.023558637994155
Alpha-6 beta-4 integrin signaling pathway,0.2582571411207384,3.4542733621549715,0.5879476608772561
Alpha-M beta-2 integrin signaling,0.05797093317858551,5.379533678756477,1.2367897085813004
Alpha-V beta-3 integrin/OPN pathway,0.2582571411207384,3.4542733621549715,0.5879476608772561
Alzheimer's disease,0.7965616925593301,0.6294149942048436,0.09878058307623927
Amoebiasis,0.0031169022023920397,5.394476289734237,2.5062768241677547
Amyloids,0.38473717881258146,2.097634930260764,0.41483584391682066
Amyotrophic lateral sclerosis (ALS),0.39613880874818547,2.018284380470725,0.4021526087455021
Androgen receptor proteolysis and transcription regulation,0.11311685304958242,3.582901554404145,0.9464726856035061
Androgen receptor regulation of biosynthesis and transcription,0.0001433784212809019,11.147153598281418,3.8435162058775
"Androgen receptor signaling, proteolysis, and transcription regulation",0.00018195762826848645,7.925798431822527,3.7400297326280896
Angiopoietin receptor Tie2-mediated signaling,0.3731213970017703,2.18346307595203,0.42814984521447363
Angiotensin II-mediated activation of JNK pathway via Pyk2-dependent signaling,0.05314774888210563,5.66321243523316,1.2745151256615481
Angiotensin II-stimulated signaling through G-proteins and beta-arrestin,3.109471569179891e-05,11.162765671240248,4.507313409715464
"Antigen presentation: folding, assembly, and peptide loading of class I MHC proteins",0.09085316117313716,2.154959110924722,1.0416599571158223
Antigen-activated B-cell receptor generation of second messengers,7.274498051840306e-07,6.755737704918033,6.1381969680928
Antiviral mechanism by interferon-stimulated genes,5.148587197338522e-05,10.129426129426129,4.288311927575535
Apoptosis,0.0004635861766882992,4.253722084367246,3.3338695224010593
Apoptosis intrinsic pathway,0.2512945986406452,3.569587628865979,0.5998168460901644
Apoptosis modulation and signaling,0.5309784313225431,1.3353737113402064,0.27492311987493173
Apoptosis modulation by HSP70,0.17027981338656417,5.639175257731958,0.7688368344476252
Apoptotic execution  phase,0.08691566807931718,4.217007010057909,1.0609019272678846
Aquaporin-mediated transport,0.08137598510522023,4.38955271227662,1.0895037409961426
Attenuation of GPCR signaling,0.10593662000803392,9.744142455482663,0.9749538876896126
Atypical NF-kappaB pathway,0.15463943668508345,6.303214069132808,0.8106797410087676
Autoimmune thyroid disease,0.3904645155574521,2.0571966693100716,0.4084184275941422
Axon guidance,0.08414641253297508,2.0322420634920633,1.0749643948437655
BAD phosphorylation mediated by IGF1R signaling,6.622637833004164e-05,21.76439790575916,4.178968994225112
BAD phosphorylation regulation,0.002176754798724665,12.987499999999999,2.662190489451503
BARD1 signaling events,0.24426703891669443,3.692854603626022,0.6121351322175796
BDNF signaling pathway,0.22684168974928703,1.6678436624863022,0.6442771263037874
BMP receptor signaling,0.06043749229653506,5.248072791608745,1.2186935639288283
"BRCA1, BRCA2 and ATR roles in cancer susceptibility",0.1932021937817595,4.869493908153702,0.7139879465442134
BRCA1-dependent ubiquitin ligase activity,0.08054845139195692,13.400128865979383,1.093942804821335
Basal transcription factors,0.0044931452434492656,9.835227272727273,2.347449542366464
Base excision repair,0.0044931452434492656,9.835227272727273,2.347449542366464
Beta-arrestin-dependent recruitment of Src kinases in GPCR signaling,0.15463943668508345,6.303214069132808,0.8106797410087676
Binding of RNA by insulin-like growth factor 2 mRNA binding proteins (IGF2BPs/IMPs/VICKZs),0.08054845139195692,13.400128865979383,1.093942804821335
Bioactive peptide-induced signaling pathway,0.05797093317858551,5.379533678756477,1.2367897085813004
Bladder cancer,0.007406471260620362,8.111328125,2.1303886580203653
Bone remodeling,0.16249594749656032,5.952749140893471,0.7891574654655851
C-Myb transcription factor network,0.0012429135475967227,6.732943469785575,2.9055590782026295
C-Myc pathway,9.18318726091019e-05,19.78391242265588,4.037006559584694
CARM1 and regulation of the estrogen receptor,0.025857624592540072,8.613471502590674,1.5874113740316411
CARM1 transcriptional regulation by protein methylation,0.13062725901808753,7.65500736377025,0.8839661859564942
CBL-mediated ligand-induced downregulation of EGF receptors,0.1224733614426235,8.24425059476606,0.9119583622099636
CCR3 signaling in eosinophils,0.1932021937817595,4.869493908153702,0.7139879465442134
CD40/CD40L signaling,0.003207228804471694,11.193965517241379,2.4938700562939107
CD40L signaling pathway,0.14670960650197734,6.697487113402063,0.8335414477504198
CD8/T cell receptor downstream pathway,0.026402821620795294,4.909801136363636,1.5783496584006158
CDC42 signaling events,4.301352844461856e-06,12.06673869680851,5.366394930355132
CDO in myogenesis,0.24426703891669443,3.692854603626022,0.6121351322175796
CREB phosphorylation,0.0023152074475831256,35.92227979274611,2.6354100891798353
CREB transcription factor and its extracellular signals,0.02070430748301282,9.789448893075836,1.683939291186039
CTCF pathway,0.2300144462282104,3.9667812142038947,0.6382448869381769
CXCR4 signaling pathway,0.023729611813828867,3.834870036602882,1.624709366228131
Cadmium-induced DNA biosynthesis and proliferation in macrophages,0.0005804856208857005,21.65625,3.2362085336296937
Calcineurin-dependent NFAT signaling role in lymphocytes,1.3099126657759779e-05,13.177777777777777,4.88275765857014
Calcium regulation in the cardiac cell,0.0005140689390432265,5.379928582056242,3.288978636182867
Calcium signaling by HBx of hepatitis B virus,0.1387057762680982,7.144329896907217,0.8579054527758414
Calcium signaling pathway,0.8130771179857056,0.5973300127418046,0.0898682608914274
Cap-dependent translation initiation,5.685522572917652e-06,11.524769768180374,5.245229611872576
Capped intron-containing pre-mRNA processing,4.7754077340494615e-05,6.751520594358492,4.320989541548723
Carbohydrate metabolism,0.023157534833496158,2.8398895790200136,1.635307674011604
Caspase cascade in apoptosis,0.4290977120400973,1.8125109208457102,0.36744380113036623
Cdc25 and Chk1 regulatory pathway in response to DNA damage,0.09755235728328472,10.719072164948454,1.0107622317256026
Cell cycle,9.577995234304245e-09,5.364318630678078,8.018725383384023
Cell cycle progression regulation by PLK3,0.17027981338656417,5.639175257731958,0.7688368344476252
Cell cycle: G2/M checkpoint,0.0001239569102777855,18.13350785340314,3.906729257424942
Cell differentiation by G alpha (i/o) pathway inferred from mouse Neuro2A model,1.5312953554663107e-07,20.899367452558945,6.814941034724353
Cell differentiation pathway,0.17799170263297123,5.356958762886598,0.7496002425489997
Cell surface interactions at the vascular wall,0.5886302787914476,1.1357205527527965,0.23015740181196553
Cellular response to hypoxia,0.0017512800133600386,14.11820652173913,2.7566444087226123
Ceramide signaling pathway,6.714135289389414e-06,14.979076479076479,5.173009911994274
ChREBP regulation by carbohydrates and cAMP,0.18563227739757251,5.101620029455081,0.7313465072287818
Chagas disease,0.0029920010974098413,5.4486842105263165,2.524038251516483
Chemokine signaling pathway,0.0020341128786699222,4.19584931984653,2.6916249505168897
Chromatin remodeling by hSWI/SNF ATP-dependent complexes,0.011902493389174405,13.464378238341968,1.9243620510671358
Chromatin remodeling by nuclear receptors to facilitate initiation of transcription in carcinoma cells,0.002958536124989783,30.78904515173945,2.528923123433467
Chromosome maintenance,0.0004235952052305343,6.707806932296728,3.373048964413717
Chronic myeloid leukemia,0.0049999262715747575,6.2034405385190725,2.3010363996808456
Circadian rhythm,0.44489967185895996,1.7245593614898571,0.3517379145708936
Ck1/Cdk5 regulation by type 1 glutamate receptors,0.21549446391506416,4.284536082474227,0.6665638824499875
Class B GPCRs (secretin family receptors),0.5924674993432614,1.1237113402061856,0.22733546851282577
