term,pvalue,odds_ratio,log_pval
ADP signalling through P2Y purinoceptor 1,0.06825789234579517,16.494444444444444,1.1658471259126781
AKT phosphorylation of cytosolic targets,0.009679814030230929,15.293338240706662,2.0141329863300714
AKT phosphorylation of nuclear targets,0.09607250487889295,10.994708994708995,1.017400885878964
AKT signaling pathway,0.0015268100578325278,14.977644230769231,2.816214987806788
AMPK inhibition of chREBP transcriptional activation activity,0.05879835403491427,19.794285714285717,1.230634831127252
AMPK signaling,2.9595383307047704e-08,15.392821782178217,7.528776030854902
AP-1 transcription factor network,0.15978144828728746,2.873587129880036,0.7964736466376321
APC/C-mediated degradation of cell cycle proteins,0.5682114751539241,1.2024970963995354,0.24548999985330558
APOBEC3G-mediated resistance to HIV-1 infection,0.05879835403491427,19.794285714285717,1.230634831127252
ATF2 transcription factor network,0.12198253145014577,3.420392674476159,0.9137023581612838
ATM pathway,0.013123591209484912,6.503867056856187,1.88194730603896
ATM-dependent DNA damage response,0.0015024567283429154,6.44479711227284,2.823198027087294
ATR activation in response to replication stress,3.898444915901908e-07,45.84730803177405,6.4091085978775375
Abl role in Robo-Slit signaling,0.09607250487889295,10.994708994708995,1.017400885878964
Actin cytoskeleton regulation,0.00010472431193099714,4.71650961780957,3.97995248439766
Actions of nitric oxide in the heart,0.012410313023787832,6.648717948717948,1.9062172642072097
Activated AMPK stimulation of fatty-acid oxidation in muscle,0.0008604752211580153,18.725661057692307,3.0652616314018313
Activation of BH3-only proteins,0.1662701545700176,5.818487394957983,0.7791856994803751
Activation of DNA fragmentation factor,0.13187721709433686,7.610256410256412,0.8798302260217961
Activation of NF-kappaB in B cells,0.5023849518071255,1.4510504201680672,0.29896337772031356
Activation of PKC through G-protein coupled receptors,0.0027035126475499875,33.14673046251993,2.5680715943708345
Activation of Rac,0.009679814030230929,15.293338240706662,2.0141329863300714
Activation of Src by protein tyrosine phosphatase alpha,0.00015547791668420814,37.46574519230769,3.8083312873012174
Activation of TRKA receptors,0.002041124169629018,39.77799043062201,2.690130574635033
Activation of chaperones by IRE1 alpha,0.3906684086451852,2.0576388888888886,0.4081917065274246
