,Trametinib_10nM_WT_vs_vemurafenib_and_trametinib_WT
ABL1,0.832334274283677
AHR,0.0003923461877848959
AHRR,3.873940121377678e-05
AIRE,0.5871664769334378
AP1,0.001719779596789491
APEX1,0.745280622017084
AR,8.48354084607921e-08
ARID1A,0.09066962671606009
ARID3A,0.015903184236403915
ARID3B,0.26731361899452794
ARID4A,0.06940974269154636
ARID4B,0.8606835978177867
ARID5B,0.3794118900280852
ARNT,0.0004021159490009053
ARX,0.1350974518778732
ASCL1,0.6588060323997813
ASCL2,0.8642103188558681
ATF1,0.05574524744765946
ATF2,0.8800805920681597
ATF3,0.9465497528358282
ATF4,0.02140890976565904
ATF5,0.2554496549832486
ATF6,0.5290695730871902
ATOH1,0.17030183851658884
ATOH7,0.0058462922004418804
BACH1,0.5522896107448918
BACH2,0.5863318164074952
BARX1,0.5570784617562099
BARX2,0.6942966264260728
BATF,0.6719892813830504
BCL11A,0.750766557880069
BCL11B,0.25203384734242995
BCL3,0.5722526282862836
BCL6,0.42983329189236974
BCLAF1,0.06686620794216529
BCOR,0.4144444591272759
BHLHA15,0.7590589103793013
BHLHE40,0.25578299444762137
BHLHE41,0.8440407783131023
BMAL1,0.5941369787570498
BMAL2,0.33535098321170775
BRCA1,0.47831520485945356
BRD4,0.8510815763699959
BTG2,0.651420134502224
CDX1,0.8902941488009837
CDX2,0.4652235543835387
CEBPA,0.28054367675067926
CEBPB,0.08085905660426279
CEBPD,0.19613030121338637
CEBPE,0.53466796557934
CEBPG,0.09869472817467229
CEBPZ,0.058377435562868125
CIITA,0.5126140988479492
CLOCK,0.7026185426973617
CREB1,0.835466499571081
CREB3,0.32398485693503554
CREB3L1,0.6478765275596263
CREB5,0.0685396383511167
CREBBP,0.3034124805898778
CREBZF,0.5800179188716355
CREM,0.07445327942553874
CRX,0.7664832536131215
CTBP1,0.02237896458292194
CTBP2,0.5727089846547885
CTCF,0.3065015207207118
CTCFL,0.40230815096268924
CTNNB1,0.9747249992158551
CUX1,0.00016572807539835523
CXXC1,0.3545790863726993
DACH1,0.2149090555695775
DBP,0.06682880488690263
DDIT3,0.3133067342211404
DEAF1,0.698375196879377
DLX1,0.40215311914482266
DLX2,0.9391491735346573
DLX3,0.32333399368968285
DLX4,0.8525876078369923
DLX5,0.7915242692556176
DMTF1,0.0030948190067112847
DNMT1,0.31611379379541643
DNMT3A,0.42024351211826105
DNMT3B,0.5086577598315776
DOT1L,0.0001710487305983653
E2F1,4.521452194253792e-05
E2F2,3.2857234436393605e-05
E2F3,0.0001984885007960259
E2F4,0.02145645465594078
E2F5,0.21668040743168113
E2F6,0.9156824311497409
E2F7,0.038715394350157216
E4F1,0.9198875352344201
EBF1,0.8464392245822815
EGR1,0.006969406504249248
EGR2,0.9832607235419618
EGR3,0.740710240202225
EGR4,0.003989562553517449
EHF,0.21941308702164344
ELF1,0.7533407573158344
ELF2,0.35213293693846826
ELF3,0.14663865633620268
ELF4,0.057018987392357855
ELF5,0.9689089877299711
ELK1,0.20365137671215514
ELK3,0.7490730945723718
ELK4,0.8452129405516327
EMX2,0.7199007786997664
EN1,0.8445391343924743
ENO1,0.4596404669689945
EOMES,0.0014432900035910104
EP300,0.45235401585136426
EPAS1,0.17907493094367388
ERF,0.29103714854991036
ERG,0.0721988325786956
ESR1,3.1179194289395445e-05
ESR2,0.08131384920671611
ESRRA,0.6974756718789741
ESRRB,0.42929429675363495
ESRRG,0.30593594156788656
ETS1,0.7805522531735416
ETS2,0.8366413352067082
ETV1,0.13005306338865033
ETV2,0.23004997610206857
ETV3,0.24410421615661584
ETV4,0.8030274643324865
ETV5,0.0693443005716631
ETV6,0.22287429474133705
ETV7,0.884151794955005
EWSR1,0.8349596089737223
EZH2,0.7523768344786141
FEV,0.8499402020477875
FEZF1,0.14899429076994455
FEZF2,0.27793785845968383
FGF2,0.6852639056830634
FHL2,0.9566444228178588
FLI1,0.4927739848244138
FOS,0.04200171650187235
FOSB,0.13337073748064748
FOSL1,0.6124781702797502
FOSL2,0.19526075248698024
FOXA1,0.06843199211646718
FOXA2,0.7733917609552946
FOXC1,0.8304566288913581
FOXC2,0.8779991953199637
FOXD1,0.9455149809634263
FOXD3,0.8690997369448651
FOXF2,0.05269630694324163
FOXG1,0.5265873672584507
FOXH1,0.34038562330775
FOXI1,0.5683593130178572
FOXJ1,0.2411708138736687
FOXL2,0.1750542248082801
FOXM1,0.4810802691475553
FOXN1,0.14243914023454876
FOXO1,0.7303563657774725
FOXO3,0.2170880390158948
FOXO4,0.32093183576429335
FOXP1,0.424167727374009
FOXP2,0.20878273777120648
FOXP3,0.42031802258772744
FOXQ1,0.6889273644296752
GABPA,0.3185522995730828
GATA1,0.8022743364192743
GATA2,0.5289330855974801
GATA3,0.006055876988595262
GATA4,0.7113726692353305
GATA5,0.026532245199060674
GATA6,0.6506883264708629
GCM1,0.03628248845458061
GFI1,0.7520076644841396
GFI1B,0.10744141285177326
GLI1,0.6572341075066057
GLI2,0.0916931574834765
GLI3,0.40539275898313143
GLIS3,0.9179050385645755
GRHL2,0.3983617162316291
GRHL3,0.5619003935980658
GSC,0.28843896074774306
GTF2I,0.4298808609579887
GTF2IRD1,0.3106495160413612
GTF3A,0.8898947925250884
HAND1,0.963781343180149
HAND2,0.28416384378995857
HBP1,0.3561639436342885
HCFC1,0.2385455991414366
HDAC1,0.06908087036301044
HDAC3,0.07621364116106152
HDAC4,0.693413823347073
HDAC5,0.4768760967235087
HDAC7,0.036246025634272885
HDAC9,0.1585312984452684
HDGF,0.043951908444884606
HES1,0.06120289154142257
HESX1,0.4517435737239661
HEY1,0.6039755092781294
HEY2,0.007523179821321869
HEYL,0.7055017641804662
HHEX,0.019070343408589936
HIC1,0.9447738328167697
HIF1A,0.02910077163327683
HIF3A,0.6848875124506939
HINFP,0.9383764754578764
HIPK2,0.5336535489766143
HIVEP1,0.6820363210578486
HIVEP2,0.5645759550471555
HLF,0.3048234329525434
HLX,0.903724242166801
HMGA1,0.23871022497079655
HMGA2,0.5001620684178913
HMGB2,0.4431469306731325
HNF1A,0.5730763688758556
HNF1B,0.21722851042863606
HNF4A,0.01170101871751299
HNF4G,0.38438973251257846
HOPX,0.01101834962109254
HOXA1,0.5026918023477096
HOXA10,0.11541723081125432
HOXA11,0.3910494790790717
HOXA13,0.48607436279288385
HOXA2,0.48845851717562927
HOXA5,0.5590063935961986
HOXA7,0.3735850703802909
HOXA9,0.12799904535953263
HOXB1,0.7011297233863152
HOXB13,0.8148244217767604
HOXB2,0.19671525344710328
HOXB4,0.2557431552558209
HOXB7,0.19679334627396225
HOXB9,0.9457542892059039
HOXC6,0.9651820122734664
HOXC8,0.7248108347281346
HOXD1,0.7766819313626918
HOXD13,0.9955438655399234
HOXD3,0.43585328041428173
HR,0.6009621571529273
HSF1,0.03471693965153381
HSF2,0.0055511574298921975
HSF4,0.16067046943479216
HTATIP2,0.15463068014372738
ID1,0.32416122616108556
ID2,0.8928591338694443
ID3,0.10191912657271768
ID4,0.9401008597471534
IKZF1,0.7112965739688082
IKZF4,0.9091159624302455
ING4,0.41181533707317364
IRF1,0.5164688187890218
IRF2,0.19512462893720048
IRF3,0.6667906629384583
IRF4,0.5768864218862899
IRF5,0.9445409851062754
IRF6,0.44622747946222874
IRF7,6.819003983172987e-05
IRF8,0.19311774830758063
