,Untreated_ARID1A_KO_vs_Trametinib_10nM_ARID1A_KO
ABL1,0.001724015982463823
AHR,0.2500785219458697
AHRR,0.20120268474601874
AIRE,0.09317954568189739
AP1,3.7631653162995125e-12
APEX1,0.6273358200012971
AR,0.0002488007525152242
ARID1A,0.4695894040781693
ARID3A,0.32544166284652054
ARID3B,0.1777462199098595
ARID4A,0.25506475711060417
ARID4B,0.01996271285346614
ARID5B,0.18569942079632934
ARNT,0.02360172681242705
ARX,0.15450742366739403
ASCL1,0.5061769925787296
ASCL2,0.05140916048185338
ATF1,0.000494660549709527
ATF2,0.07566280426531238
ATF3,0.18822968861251752
ATF4,0.0044689625144348705
ATF5,0.013423356792430096
ATF6,1.0075829010986126e-05
ATOH1,0.10989653621039804
ATOH7,0.08522222413822492
BACH1,0.3250383843898291
BACH2,0.6353364296350925
BARX1,0.16962112340723703
BARX2,0.04467556256034341
BATF,0.020908801952730736
BCL11A,0.19042084529658626
BCL11B,0.8352992891970052
BCL3,0.08523878861091012
BCL6,0.2290191817758363
BCLAF1,0.5675246368278475
BCOR,0.933785772223628
BHLHA15,0.22655921380617983
BHLHE40,0.5786278940196039
BHLHE41,0.564425659431141
BMAL1,0.01922377962668579
BMAL2,0.001548399916996886
BRCA1,0.014457685587872965
BRD4,0.2705256093324777
BTG2,0.37808180577183903
CDX1,0.9073196361051457
CDX2,0.2977725347270729
CEBPA,0.4961226098802781
CEBPB,0.0030591650498079425
CEBPD,0.3435000273033255
CEBPE,0.4001053865925366
CEBPG,0.2504821425061169
CEBPZ,0.40324704205624395
CIITA,0.4812129596555075
CLOCK,0.002031341396938837
CREB1,1.0907667256969124e-05
CREB3,0.017884418526648512
CREB3L1,0.20525850786721386
CREB5,0.9161060415060963
CREBBP,0.8684978968516401
CREBZF,0.2285151526839408
CREM,0.6863334364555579
CRX,0.8889293261096625
CTBP1,0.0548727696839482
CTBP2,0.0354079498487676
CTCF,0.9998338019214668
CTCFL,0.2699810895512985
CTNNB1,1.081843256142544e-07
CUX1,0.18906684138679358
CXXC1,0.09592296583107818
DACH1,0.010500053617799522
DBP,0.02790328716530101
DDIT3,0.18041163550516254
DEAF1,0.8125224247045486
DLX1,0.1699858732130847
DLX2,0.01835389428272405
DLX3,0.11149602048142776
DLX4,0.08542140798916373
DLX5,0.05342240529880231
DMTF1,0.0008367064196895036
DNMT1,0.8400234234726965
DNMT3A,0.40075065911643526
DNMT3B,0.27480334367277276
DOT1L,0.3563777373633056
E2F1,0.0002067500775160953
E2F2,0.06415398719259609
E2F3,0.007475932403558171
E2F4,0.08426410845827723
E2F5,0.8505405580592555
E2F6,0.3581871176356072
E2F7,0.20785914745212877
E4F1,0.17103274040861602
EBF1,0.7670179721471024
EGR1,3.7346066591878146e-06
EGR2,0.027364006264448203
EGR3,0.27490504566792406
EGR4,0.8887146812977831
EHF,0.08526868044611509
ELF1,0.003893900687767152
ELF2,0.862028255297314
ELF3,0.280538310357403
