,Untreated_ARID1A_KO_vs_Vermurafenib_1uM_ARID1A_KO
ABL1,2.5095904
AHR,0.8375192
AHRR,0.2788737
AIRE,-1.3577583
AP1,-6.254011
APEX1,-0.06648289
AR,-3.5170314
ARID1A,0.7133475
ARID3A,0.613087
ARID3B,-1.4774555
ARID4A,-1.271755
ARID4B,2.4378335
ARID5B,-1.4951292
ARNT,1.8628397
ARX,-1.3093061
ASCL1,-0.6065924
ASCL2,-1.4458567
ATF1,-2.860964
ATF2,-0.8785665
ATF3,-0.7806062
ATF4,-1.6059473
ATF5,-2.1565807
ATF6,-4.2548923
ATOH1,1.5528202
ATOH7,2.064696
BACH1,-1.348324
BACH2,-0.53822863
BARX1,-0.9820023
BARX2,-1.651777
BATF,2.3891356
BCL11A,1.3232771
BCL11B,0.014838615
BCL3,-1.3828902
BCL6,-0.64894015
BCLAF1,-0.78609174
BCOR,0.03374571
BHLHA15,1.323881
BHLHE40,0.028891519
BHLHE41,0.28643718
BMAL1,-1.4753278
BMAL2,-2.3398504
BRCA1,2.2975137
BRD4,-1.2097694
BTG2,0.84697527
CDX1,-0.29813313
CDX2,1.2349242
CEBPA,-0.37248898
CEBPB,-2.3995864
CEBPD,-0.5644835
CEBPE,1.343673
CEBPG,-0.9030027
CEBPZ,0.8278311
CIITA,0.69558144
CLOCK,-2.6033328
CREB1,-3.265158
CREB3,-1.9587775
CREB3L1,-1.3158027
CREB5,-0.12161301
CREBBP,-0.34245774
CREBZF,-1.6494681
CREM,0.63329333
CRX,-0.21009766
CTBP1,1.7942332
CTBP2,-2.075275
CTCF,0.07867498
CTCFL,-1.0407488
CTNNB1,-4.4118648
CUX1,-1.6997254
CXXC1,-1.9651992
DACH1,-3.1559744
DBP,-2.0327878
DDIT3,-0.70314974
DEAF1,-0.12092163
DLX1,1.3894324
DLX2,-2.1347873
DLX3,-1.4669653
DLX4,-1.5449687
DLX5,-1.758879
DMTF1,-3.5285969
DNMT1,0.07922003
DNMT3A,-0.8964236
DNMT3B,-1.6787263
DOT1L,-0.97523654
E2F1,-3.8224382
E2F2,-2.0728571
E2F3,-2.8560774
E2F4,-2.4119668
E2F5,0.10315745
E2F6,-0.98972726
E2F7,-0.92826474
E4F1,-0.9544638
EBF1,-0.5417913
EGR1,-3.7912266
EGR2,-2.1590436
EGR3,1.1024599
EGR4,0.14506248
EHF,-0.88197654
ELF1,-2.596978
ELF2,-0.30116767
ELF3,-0.318247
ELF4,-0.7843807
ELF5,0.30305055
ELK1,-1.4636936
ELK3,2.1132934
ELK4,-2.7783163
EMX2,-1.1140271
EN1,0.6890636
ENO1,0.610944
EOMES,-1.7463629
EP300,-0.96764183
EPAS1,0.76122105
ERF,-0.42941287
ERG,0.21576394
ESR1,-4.453666
ESR2,2.2291288
ESRRA,-0.70960194
ESRRB,0.0867634
ESRRG,0.46138686
ETS1,-3.5286047
ETS2,0.18105954
ETV1,-1.0044961
ETV2,0.7292655
ETV3,3.3939185
ETV4,-0.9386534
ETV5,-1.8132277
ETV6,0.92522675
ETV7,-0.026331607
EWSR1,0.010991083
EZH2,-1.0777584
FEV,0.7279898
FEZF1,2.3738537
FEZF2,-1.0302278
FGF2,-1.2698121
FHL2,1.5116628
FLI1,0.14694574
FOS,-4.1873055
FOSB,-0.9367488
FOSL1,0.72076744
FOSL2,-0.17103705
FOXA1,-1.700203
FOXA2,2.1743705
FOXC1,-2.050886
FOXC2,-3.1379707
FOXD1,-1.9872764
FOXD3,-0.44724524
FOXF2,-1.0188233
FOXG1,-1.810662
FOXH1,0.43103266
FOXI1,1.0472168
FOXJ1,0.41466752
FOXL2,-2.4015822
FOXM1,1.0362426
FOXN1,0.34448782
FOXO1,-0.09597818
FOXO3,0.30744213
FOXO4,-0.113219544
FOXP1,-0.9080646
FOXP2,0.34785625
FOXP3,1.2523987
FOXQ1,1.046359
GABPA,-0.44984537
GATA1,-0.2543206
GATA2,-0.19364862
GATA3,-1.3475101
GATA4,-0.90670896
GATA5,-0.8393729
GATA6,0.031408448
GCM1,-0.9182392
GFI1,0.89886844
