,Untreated_ARID1A_KO_vs_vemurafenib_and_trametinib_ARID1A_KO
ABL1,2.9244251
AHR,0.67552817
AHRR,0.3668511
AIRE,-1.5631182
AP1,-6.7085943
APEX1,-0.20849244
AR,-3.8591273
ARID1A,0.5248786
ARID3A,0.5990841
ARID3B,-1.2415302
ARID4A,-0.9412909
ARID4B,2.3616414
ARID5B,-1.3942574
ARNT,1.6311461
ARX,-1.9079579
ASCL1,-0.63149685
ASCL2,-1.864692
ATF1,-3.541156
ATF2,-1.5649782
ATF3,-1.1352806
ATF4,-1.8986017
ATF5,-2.0973182
ATF6,-4.1546016
ATOH1,1.5510999
ATOH7,2.0929594
BACH1,-1.435493
BACH2,-0.79132336
BARX1,-1.29166
BARX2,-2.1069121
BATF,2.2983835
BCL11A,1.4489704
BCL11B,0.5123546
BCL3,-1.5601261
BCL6,-0.8899194
BCLAF1,-0.6052876
BCOR,0.02590802
BHLHA15,1.2353551
BHLHE40,0.46571338
BHLHE41,0.6415377
BMAL1,-2.0546453
BMAL2,-2.7304802
BRCA1,2.09471
BRD4,-1.0942591
BTG2,0.9623017
CDX1,-0.4425509
CDX2,0.8064039
CEBPA,-0.38463777
CEBPB,-3.1131663
CEBPD,-1.2487831
CEBPE,1.0432945
CEBPG,-1.2341179
CEBPZ,0.68172634
CIITA,-0.23718469
CLOCK,-3.020529
CREB1,-3.962218
CREB3,-2.2447882
CREB3L1,-1.0835727
CREB5,-0.034101445
CREBBP,-0.3127398
CREBZF,-1.6095843
CREM,0.5964541
CRX,-0.08878333
CTBP1,1.855219
CTBP2,-1.8710805
CTCF,-0.09925442
CTCFL,-0.99472165
CTNNB1,-5.400439
CUX1,-1.664493
CXXC1,-1.6540543
DACH1,-2.3208
DBP,-1.6855208
DDIT3,-1.5041623
DEAF1,-0.26698822
DLX1,1.6463195
DLX2,-2.3647544
DLX3,-1.7809657
DLX4,-1.9703264
DLX5,-2.0870097
DMTF1,-3.6351218
DNMT1,0.09510809
DNMT3A,-0.78769916
DNMT3B,-1.2796303
DOT1L,-0.9754727
E2F1,-4.077536
E2F2,-1.9368846
E2F3,-2.7879198
E2F4,-1.9802969
E2F5,0.33732897
E2F6,-0.90660346
E2F7,-1.1356426
E4F1,-1.2465123
EBF1,-0.35382417
EGR1,-4.1583734
EGR2,-2.0676486
EGR3,1.0551171
EGR4,-0.016463885
EHF,-1.6180667
ELF1,-2.614591
ELF2,0.055102628
ELF3,-0.85975426
ELF4,-1.1286176
ELF5,-0.23697574
ELK1,-1.5953627
ELK3,2.6359136
ELK4,-3.3684046
EMX2,-0.79578525
EN1,0.85129446
ENO1,0.5628631
EOMES,-1.5916313
EP300,-0.9510807
EPAS1,0.45008552
ERF,-0.08578312
ERG,0.2303909
ESR1,-4.374859
ESR2,2.2214096
ESRRA,-0.81567824
ESRRB,-0.22657958
ESRRG,0.25611365
ETS1,-4.5057297
ETS2,-0.49160177
ETV1,-1.2016948
ETV2,0.54702806
ETV3,3.8585095
ETV4,-1.6529273
ETV5,-2.4668348
ETV6,0.8093415
ETV7,-0.14015417
EWSR1,-0.09417946
EZH2,-0.9232276
FEV,0.7836068
FEZF1,2.165292
FEZF2,-0.96957
FGF2,-1.5230142
FHL2,1.6306667
FLI1,0.06329457
FOS,-4.635682
FOSB,-1.1510959
FOSL1,0.280785
FOSL2,-0.2342612
FOXA1,-1.5802844
FOXA2,1.9211228
FOXC1,-1.9462119
FOXC2,-3.4520242
FOXD1,-2.1742356
FOXD3,-0.79313505
FOXF2,-0.9461287
FOXG1,-1.4860184
FOXH1,0.3115564
FOXI1,0.9359767
FOXJ1,0.42264476
FOXL2,-2.577891
FOXM1,0.37114754
FOXN1,0.7133997
FOXO1,-0.26626718
FOXO3,-0.12769812
FOXO4,0.35434002
FOXP1,-1.4624192
FOXP2,0.2765234
FOXP3,1.279801
FOXQ1,0.7931568
GABPA,-0.64204174
GATA1,-0.5415439
GATA2,-0.35393533
GATA3,-1.467959
GATA4,-1.0677824
GATA5,-1.0031525
GATA6,-0.38536832
GCM1,-0.8871443
GFI1,0.81846285
GFI1B,-1.4359281
GLI1,-3.3216152
GLI2,-3.461375
GLI3,-0.21504903
GLIS3,-0.473629
GRHL2,1.8767844
GRHL3,0.904497
GSC,-1.5737467
GTF2I,-1.4510099
GTF2IRD1,0.8693172
GTF3A,-1.6684904
HAND1,-0.92302257
HAND2,-2.3113725
HBP1,-0.3275345
HCFC1,-0.3341872
HDAC1,1.119625
HDAC3,-0.6311907
HDAC4,-1.2762644
HDAC5,-0.2381634
HDAC7,3.2417667
HDAC9,1.1139297
HDGF,0.10617847
HES1,0.4585792
HESX1,-1.6938173
HEY1,-0.30076033
HEY2,2.1936016
HEYL,2.4512565
HHEX,-0.92250186
HIC1,-0.0076926756
HIF1A,-3.7803152
HIF3A,-0.026714984
HINFP,-2.1073463
HIPK2,1.4077611
HIVEP1,0.18915506
HIVEP2,0.599856
HLF,1.228244
HLX,1.8498296
HMGA1,-2.1938605
HMGA2,-1.3914844
HMGB2,1.9798285
HNF1A,0.34949973
HNF1B,0.33347908
HNF4A,-1.4354697
HNF4G,0.06595296
HOPX,-1.5858365
HOXA1,-2.1532605
HOXA10,-0.4226389
HOXA11,-0.2803148
HOXA13,2.3622172
HOXA2,0.5758109
HOXA5,-1.5628988
HOXA7,-0.06190967
HOXA9,0.491258
HOXB1,-3.6666517
HOXB13,0.0900739
HOXB2,-0.8640969
HOXB4,-1.6804987
HOXB7,-2.8850315
HOXB9,-1.5337098
HOXC6,0.6212013
HOXC8,-1.6896377
HOXD1,0.4661956
HOXD13,1.4982562
HOXD3,-3.5838976
HR,-0.7022787
HSF1,-3.1014097
HSF2,-0.66343427
HSF4,1.054998
HTATIP2,1.005555
ID1,0.2157266
ID2,0.2638577
ID3,0.34052017
ID4,0.6062116
IKZF1,-0.9689561
IKZF4,0.8104948
ING4,3.4036276
IRF1,0.47831517
IRF2,-0.51039195
IRF3,-0.56769836
IRF4,0.30428192
