,Untreated_WT_vs_Trametinib_10nM_WT
ABL1,3.4718683
AHR,1.1774054
AHRR,-0.1662838
AIRE,-1.7086326
AP1,-5.4393554
APEX1,-0.5986741
AR,-2.1253722
ARID1A,0.7899898
ARID3A,0.28094807
ARID3B,-1.8004236
ARID4A,-0.4346568
ARID4B,2.7578888
ARID5B,-2.0707164
ARNT,2.925468
ARX,-0.37073985
ASCL1,-0.5366884
ASCL2,-2.6768842
ATF1,-3.0962808
ATF2,-1.0424893
ATF3,-0.65269405
ATF4,-2.6606777
ATF5,-2.194432
ATF6,-3.816316
ATOH1,1.8596839
ATOH7,0.8362874
BACH1,-1.4122584
BACH2,0.7116224
BARX1,-1.0508014
BARX2,-2.1662247
BATF,2.5132532
BCL11A,1.6923896
BCL11B,0.0010133681
BCL3,-2.6044
BCL6,-1.0451145
BCLAF1,-0.3436364
BCOR,0.5757155
BHLHA15,0.69795084
BHLHE40,0.7165878
BHLHE41,0.67847466
BMAL1,-1.6747158
BMAL2,-1.7274772
BRCA1,2.338508
BRD4,-0.91471916
BTG2,0.92314094
CDX1,-0.21723124
CDX2,0.7226411
CEBPA,0.299439
CEBPB,-2.0285802
CEBPD,-0.8769128
CEBPE,1.2352437
CEBPG,-0.5268204
CEBPZ,0.57262045
CIITA,-0.4142235
CLOCK,-2.0324109
CREB1,-3.4598262
CREB3,-2.4295337
CREB3L1,-0.6707341
CREB5,-0.8413382
CREBBP,-0.59109616
CREBZF,-0.61673826
CREM,0.8011582
CRX,-0.05108416
CTBP1,1.7081211
CTBP2,-0.9407747
CTCF,0.38895604
CTCFL,-1.0808975
CTNNB1,-4.0134263
CUX1,0.073247835
CXXC1,-1.504145
DACH1,-1.8020251
DBP,-2.1886802
DDIT3,-1.4658518
DEAF1,-0.0073004197
DLX1,1.6332114
DLX2,-2.346419
DLX3,-1.7117796
DLX4,-2.6620538
DLX5,-1.4697988
DMTF1,-2.7450614
DNMT1,0.20399976
DNMT3A,-0.5608118
DNMT3B,-0.9349222
DOT1L,-1.3801068
E2F1,-4.579932
E2F2,-1.9523132
E2F3,-3.1605697
E2F4,-2.563343
E2F5,0.06626252
E2F6,-1.1412454
E2F7,-0.66785073
E4F1,-1.1177931
EBF1,0.37699205
EGR1,-4.149319
EGR2,-1.8516469
EGR3,1.9157945
