,Untreated_WT_vs_Untreated_ARID1A_KO
ABL1,0.5308615222382296
AHR,0.17950079858416115
AHRR,0.48392722791350873
AIRE,0.39437750921625714
AP1,6.302780036513749e-07
APEX1,0.28445261599520494
AR,0.14583238354037723
ARID1A,0.09565393762489738
ARID3A,0.23579707929454177
ARID3B,0.6777081826327389
ARID4A,0.2059888871466135
ARID4B,0.8000878924854672
ARID5B,0.13720779113355203
ARNT,0.5614925833233076
ARX,0.01632120939613966
ASCL1,0.39455992023606234
ASCL2,0.8581135100823875
ATF1,0.5472225325870682
ATF2,0.20252406637311074
ATF3,0.02108494949022088
ATF4,0.21336141824862284
ATF5,0.7839809247312561
ATF6,0.8313818198460539
ATOH1,0.459732623754856
ATOH7,0.36037504665407327
BACH1,2.1691789071121627e-05
BACH2,0.5042007990153002
BARX1,0.08685883546590054
BARX2,0.5000379583175278
BATF,0.07865364001769622
BCL11A,0.6919298609616205
BCL11B,0.5078702201123884
BCL3,0.002840928228485019
BCL6,0.47596997026463717
BCLAF1,0.7267598077660463
BCOR,0.4530140506000191
BHLHA15,0.45387042937997035
BHLHE40,0.6212561361314547
BHLHE41,0.8391685314977861
BMAL1,0.015822481394517623
BMAL2,0.9036415125768312
BRCA1,0.10230085560089035
BRD4,0.9987831753795144
BTG2,0.047452109180463185
CDX1,0.22635093788576896
CDX2,0.015439591104311009
CEBPA,0.04538285853602186
CEBPB,0.013458932833901776
CEBPD,0.42265496895651333
CEBPE,0.0642668912444392
CEBPG,0.050060611195336606
CEBPZ,0.21616534627232764
CIITA,2.548692102347854e-13
CLOCK,0.4879487952921642
CREB1,0.00017789197483039152
CREB3,0.12052802584070314
CREB3L1,0.9433206111111552
CREB5,0.31203972997512275
CREBBP,0.8916551267673878
CREBZF,0.24953927110235302
CREM,0.819972610764082
CRX,0.23702753029109044
CTBP1,0.40872968453283787
CTBP2,0.13701099109030743
CTCF,0.004558895311521805
CTCFL,0.8581864881621115
CTNNB1,0.00021975441402052913
CUX1,0.9186915236208328
CXXC1,0.0007699618019519795
DACH1,0.0006547535197931606
DBP,0.3144277778146863
DDIT3,0.06372284378984938
DEAF1,0.7526196457050589
DLX1,0.07571047984136033
DLX2,0.04869692950738187
DLX3,0.5043861141055779
DLX4,0.26179875074890724
DLX5,0.004126335580620869
DMTF1,0.38779528647833017
DNMT1,0.4093990740702329
DNMT3A,0.6251718844506975
DNMT3B,0.27696834276636484
DOT1L,0.9532116535635189
E2F1,0.6572771841892275
E2F2,0.24098409212239955
E2F3,0.9895831580397809
E2F4,0.6494520745033652
E2F5,0.5170836020238416
E2F6,0.24400263905400335
E2F7,0.2612568272381438
E4F1,0.2008921492697101
EBF1,0.04550015684393937
EGR1,0.04540412914867465
EGR2,0.15392529769288177
EGR3,0.4936591108692321
EGR4,0.03787450882957577
EHF,8.122367871990021e-13
ELF1,0.9508039909665796
ELF2,3.1132549795199437e-06
ELF3,0.7618056311062205
ELF4,0.1737715950354835
ELF5,0.22549561077861605
ELK1,0.18770693036467018
ELK3,0.061047829023083186
ELK4,0.9042851655690258
EMX2,0.1825874720455096
EN1,0.047429673757190115
ENO1,0.6795275685934703
EOMES,0.04579691494234756
EP300,0.6819184986008329
EPAS1,0.003964636593645671
ERF,0.11395713939447652
ERG,0.0013633396160346793
ESR1,0.0001281496568097689
ESR2,0.010046745498880407
ESRRA,0.0027253044374692757
ESRRB,0.5808248205902544
ESRRG,0.0016752275495698168
ETS1,0.01713919584145722
ETS2,0.49562229759701903
ETV1,0.007858264820642032
ETV2,0.00031616795878159325
ETV3,0.00020461507275906576
ETV4,0.05190021846548459
ETV5,0.21554296858964211
ETV6,0.950264486139085
ETV7,0.03532484314419261
EWSR1,0.003743904872680989
EZH2,0.06300490785953368
FEV,0.14552036847464467
FEZF1,0.35751549539956473
FEZF2,0.44605742370887447
FGF2,0.49696314116127227
FHL2,0.5925647638313202
FLI1,0.14726862923034695
FOS,1.4687827944702323e-06
FOSB,0.9223668934926135
FOSL1,0.020018823404737734
FOSL2,0.08476737578884055
FOXA1,0.20354998850129502
FOXA2,0.7602246435328593
FOXC1,0.0025421684597518117
FOXC2,0.4477920835750746
FOXD1,0.2063349671387204
FOXD3,0.2958116982639361
FOXF2,0.34024295027272367
FOXG1,0.15787752228596333
FOXH1,0.5790440357611473
FOXI1,0.5384869506038008
FOXJ1,0.5716973906991554
FOXL2,0.1967502663223738
FOXM1,0.00047097262760388835
FOXN1,0.0013764023400219887
FOXO1,0.29045184784656575
FOXO3,0.7593016602252041
FOXO4,0.0027123718409931947
FOXP1,0.4570257263253853
FOXP2,0.044184593931371766
FOXP3,0.042801328312435244
FOXQ1,0.4354200113236597
GABPA,0.9528976121126771
GATA1,0.27065251124664624
GATA2,0.16559969751452583
GATA3,0.5717433501187241
GATA4,0.06184346934623293
GATA5,0.15935223776691046
GATA6,0.3657505955423562
GCM1,0.03815483502928723
GFI1,0.8596108029667326
GFI1B,0.31856988167948663
GLI1,9.952630112102773e-05
GLI2,0.3174745008695527
GLI3,0.9372711903906389
GLIS3,0.028185114630652614
GRHL2,0.00029281569775646636
GRHL3,0.35577466162541915
GSC,0.9100755775536172
GTF2I,0.3940890386923134
GTF2IRD1,0.17987850463444516
GTF3A,0.2948021680850423
HAND1,0.10036888737287543
HAND2,0.5209129036308067
HBP1,0.33887756342380015
HCFC1,0.17692689274137524
HDAC1,0.13936410372356683
HDAC3,0.9580899560153551
HDAC4,0.4201068152137257
HDAC5,0.367599734304939
HDAC7,0.5148508694169516
HDAC9,0.044997468867005785
HDGF,0.6240237201529208
HES1,0.3556354623850899
HESX1,0.02057815028899963
HEY1,0.21731558843370502
HEY2,0.38571003592559083
HEYL,0.4480074468265829
HHEX,0.2594881171461739
HIC1,0.02241299563866254
HIF1A,0.1123953011944737
HIF3A,0.020690657820360343
HINFP,0.25066937271983736
HIPK2,0.443400935553772
HIVEP1,0.016759457298348896
HIVEP2,0.01046049027859724
HLF,0.5160089140730373
HLX,0.7227135745032529
HMGA1,0.09826767715488345
HMGA2,0.4863773841216742
HMGB2,0.6051952051478542
HNF1A,0.3505945826444933
HNF1B,0.03852343109029382
HNF4A,0.4412599611385134
HNF4G,0.34387438209956667
HOPX,3.2965700875233654e-08
HOXA1,0.4683836795880808
HOXA10,0.8399301592697701
HOXA11,0.001733363081199122
HOXA13,0.6061380459143257
HOXA2,0.2788348039800339
HOXA5,0.9415857369290659
HOXA7,8.184549188522805e-06
HOXA9,0.5382079678414802
HOXB1,0.04102140530427462
HOXB13,0.42885441822850734
HOXB2,0.029752106559284938
HOXB4,0.4567354198869342
HOXB7,0.7708073287884428
HOXB9,0.00048306750439573856
HOXC6,1.6159628899032185e-05
HOXC8,0.34684113645988124
HOXD1,0.7180654218571837
HOXD13,0.22511167029095874
HOXD3,0.17313229881219175
HR,0.31972506779971865
HSF1,0.41044974194173445
HSF2,0.8709360884866584
HSF4,0.3050806361883389
HTATIP2,0.17635054125432864
ID1,0.2521524153224753
ID2,0.025861102949814384
ID3,0.3510165958618914
ID4,0.573280596176349
IKZF1,0.10523574351474882
IKZF4,0.6460302421976487
ING4,0.13319628386038437
IRF1,0.010367822748448672
IRF2,0.044292430355425724
IRF3,0.46824245206453075
IRF4,0.09736822056192601
IRF5,0.41430461757462755
IRF6,0.19982295575210013
IRF7,0.4717520885271207
IRF8,0.653575732362492
IRF9,0.011822900134289091
IRX1,0.6048207404615855
ISL1,0.5231524126432583
JARID2,0.21200026263832894
JDP2,0.8980846549483148
JUN,0.0005750814878301618
JUNB,0.04473853434054195
JUND,0.017455366068303335
KAT2B,0.07750967884394608
KAT5,0.0524294550709474
KAT6A,0.8973681965080887
KAT6B,0.26311937653866263
KAT7,0.06939383005161753
KCNIP3,0.1259439174386479
KDM2A,0.19070464590541708
KDM5A,0.5067874497915985
KDM5B,0.059308384291021476
KDM5C,0.2899336705952414
KDM5D,0.7223223874492737
KLF1,0.9006744208166816
KLF10,0.25150703133183666
KLF11,0.48023472451035565
KLF12,0.45656970576667977
KLF13,0.7655413102320302
KLF15,0.3100654743966508
KLF17,0.3195147829762748
KLF2,0.6141435624478879
KLF3,0.795823104217326
KLF4,0.3252116680825603
KLF5,0.09513264744984547
KLF6,0.001326969428803344
KLF7,0.08515823967129839
KLF8,0.001068667750716917
KLF9,0.4112089442535479
KMT2A,0.31778757337733304
KMT2B,0.43106424443543656
LEF1,0.751005068330459
LHX1,0.0720614569042442
LHX2,0.6497021175600984
LHX3,0.03659782795524997
LHX8,0.01911292125388368
LITAF,0.7770245654850564
LMO2,0.1675117030068172
