,Untreated_WT_vs_Vermurafenib_1uM_WT
ABL1,0.00302569054400033
AHR,0.535183739157991
AHRR,0.3282284268518242
AIRE,0.049317658462193666
AP1,1.1218687790275179e-08
APEX1,0.4940955373058703
AR,0.003461246649096462
ARID1A,0.6056639627611522
ARID3A,0.6405533204848664
ARID3B,0.09670088908397308
ARID4A,0.6320101274066607
ARID4B,0.01044104132217226
ARID5B,0.07837080867114733
ARNT,0.026865394028920655
ARX,0.6085277987628852
ASCL1,0.6071346688790755
ASCL2,0.02660406357824051
ATF1,0.001808492353445365
ATF2,0.16031356384505135
ATF3,0.5512915578368913
ATF4,0.035499397220232876
ATF5,0.040449441419870544
ATF6,6.749579369358429e-05
ATOH1,0.06848648533894808
ATOH7,0.1871431639501779
BACH1,0.09274065120579887
BACH2,0.6988833338814276
BARX1,0.20510394779795446
BARX2,0.043696321887718735
BATF,0.00794195893236514
BCL11A,0.06824020260164655
BCL11B,0.9868625464652435
BCL3,0.02706944447874109
BCL6,0.4254551839364875
BCLAF1,0.578133134220245
BCOR,0.5476614790909899
BHLHA15,0.5202038006429751
BHLHE40,0.5125169629934094
BHLHE41,0.5856897755710087
BMAL1,0.07590869001863651
BMAL2,0.13592781919247765
BRCA1,0.030216966055552755
BRD4,0.42295902685790476
BTG2,0.2684754086350077
CDX1,0.7523930105737884
CDX2,0.6306908862547982
CEBPA,0.5478966793377674
CEBPB,0.03542108172289725
CEBPD,0.3131611628870391
CEBPE,0.16097862097377566
CEBPG,0.503205697717527
CEBPZ,0.8558306852880434
CIITA,0.953622922087638
CLOCK,0.055947795260326595
CREB1,0.0015193508361813748
CREB3,0.01915521511875617
CREB3L1,0.4919742048163779
CREB5,0.3556130831984241
CREBBP,0.41880260447947704
CREBZF,0.5152916500858042
CREM,0.6292061409355361
CRX,0.9884762999652124
CTBP1,0.056435810904995685
CTBP2,0.46141583884026416
CTCF,0.9470168675021584
CTCFL,0.22457457451834315
CTNNB1,0.0004387748197373541
CUX1,0.6904370424503002
CXXC1,0.11334193752292064
DACH1,0.04664782708490824
DBP,0.024540446140689384
DDIT3,0.06349993480397899
DEAF1,0.9911162501518971
DLX1,0.08553513906268957
DLX2,0.06282490968030299
DLX3,0.09816358601395074
DLX4,0.01386381359181134
DLX5,0.19738761869730267
DMTF1,0.003288946493882644
DNMT1,0.9290676147248691
DNMT3A,0.7776866802777824
DNMT3B,0.26860974761184014
DOT1L,0.2823195692513478
E2F1,1.3718887286708675e-07
E2F2,0.006517306436341878
E2F3,5.943220055754824e-05
E2F4,0.0006109202899011517
E2F5,0.7600302108608461
E2F6,0.28813463798555083
E2F7,0.7417236601743158
E4F1,0.2667940326285994
EBF1,0.6444845912903869
EGR1,1.812159308033358e-05
EGR2,0.053553302062997514
EGR3,0.12297171674793307
EGR4,0.7533126021780463
EHF,0.08601856070430168
ELF1,0.036328935096572604
ELF2,0.8507765477369873
ELF3,0.40193998381545804
ELF4,0.32582880281653315
ELF5,0.7721006196944232
ELK1,0.19310314984960508
ELK3,0.002854143871369854
ELK4,0.0018720230398043022
EMX2,0.9209978589716246
EN1,0.21323384254951228
ENO1,0.2610877048718947
EOMES,0.24063914274038573
EP300,0.4745556895245625
EPAS1,0.6973077843601448
ERF,0.7673491122882626
ERG,0.885827259869834
ESR1,0.0019912661075538406
ESR2,0.01309644253603716
ESRRA,0.669002331859919
ESRRB,0.6860328131443731
ESRRG,0.1395266256188824
ETS1,9.200292803431296e-05
ETS2,0.893684429515227
ETV1,0.3523210994801975
ETV2,0.5984220011335267
ETV3,0.00017208233440610342
ETV4,0.30795806102130696
ETV5,0.01582092937198638
ETV6,0.5144205894774132
ETV7,0.940322949216989
EWSR1,0.9921418036037467
EZH2,0.39199736134755314
FEV,0.8062185957534937
FEZF1,0.018943107070420004
FEZF2,0.4970354507187851
FGF2,0.43405984737739756
FHL2,0.08317252087841816
FLI1,0.9028232607718358
FOS,0.0006679210896911364
FOSB,0.22973375238445362
FOSL1,0.7560717281152375
FOSL2,0.6856765693934271
FOXA1,0.17939542930175134
FOXA2,0.03182888702203837
FOXC1,0.31585065882206254
FOXC2,0.016904104404229552
FOXD1,0.01748369747100883
FOXD3,0.821398753475341
FOXF2,0.6538379483443802
FOXG1,0.2329348587129587
FOXH1,0.9992200668830427
FOXI1,0.22450124808154837
FOXJ1,0.345322245282473
FOXL2,0.00944724436532508
FOXM1,0.5693733075486176
FOXN1,0.14352789698615623
