,Untreated_WT_vs_vemurafenib_and_trametinib_WT
ABL1,3.4022257
AHR,0.42170367
AHRR,-1.0035998
AIRE,-1.6845332
AP1,-5.82493
APEX1,-0.62461126
AR,-3.2068877
ARID1A,0.38260272
ARID3A,-0.22680312
ARID3B,-1.4603322
ARID4A,-0.82141405
ARID4B,2.6025524
ARID5B,-2.130597
ARNT,2.0945506
ARX,-0.6169259
ASCL1,-0.4846048
ASCL2,-2.4622803
ATF1,-3.2980347
ATF2,-1.0281444
ATF3,-0.64248127
ATF4,-2.1132703
ATF5,-2.38368
ATF6,-3.7919283
ATOH1,1.9445503
ATOH7,1.3524828
BACH1,-1.4790928
BACH2,0.6198539
BARX1,-1.2012949
BARX2,-2.1347187
BATF,2.4923413
BCL11A,1.685787
BCL11B,0.24881448
BCL3,-2.3966198
BCL6,-0.85782164
BCLAF1,-0.6540035
BCOR,0.42644146
BHLHA15,0.68318707
BHLHE40,0.48920366
BHLHE41,0.5388048
BMAL1,-1.6805828
BMAL2,-1.6233467
BRCA1,2.0191174
BRD4,-0.9061059
BTG2,0.9838271
CDX1,-0.19457686
CDX2,0.60711527
CEBPA,0.5013732
CEBPB,-2.349585
CEBPD,-1.1140474
CEBPE,1.2945031
CEBPG,-0.833926
CEBPZ,0.16876984
CIITA,-0.54803795
CLOCK,-2.0196905
CREB1,-3.2254272
CREB3,-2.470072
CREB3L1,-0.5558414
CREB5,-1.1432302
CREBBP,-0.8408081
CREBZF,-0.7372329
CREM,0.3048776
CRX,-0.080686755
CTBP1,2.121781
CTBP2,-1.0494982
CTCF,0.10477267
CTCFL,-1.189648
CTNNB1,-3.838463
CUX1,-0.7473345
CXXC1,-1.1843022
DACH1,-2.1803706
DBP,-2.48872
DDIT3,-1.6406274
DEAF1,-0.12722786
DLX1,1.7159127
DLX2,-2.103192
DLX3,-1.437863
DLX4,-2.5859601
DLX5,-1.4755076
DMTF1,-3.1938434
DNMT1,0.015854804
DNMT3A,-0.3818926
DNMT3B,-0.99827397
DOT1L,-0.65208423
E2F1,-5.196979
E2F2,-2.7011392
E2F3,-3.792103
E2F4,-2.8777525
E2F5,-0.20321143
E2F6,-1.0505985
E2F7,-0.24502261
E4F1,-1.1431059
EBF1,0.384859
EGR1,-4.5228524
EGR2,-1.7937196
EGR3,1.7845583
EGR4,0.3681028
EHF,-1.8199182
ELF1,-2.1196232
ELF2,-0.005610256
ELF3,-1.1863265
ELF4,-1.114839
ELF5,-0.64103943
ELK1,-1.5470526
ELK3,3.1872966
ELK4,-3.320426
EMX2,-0.13153645
EN1,1.0809734
ENO1,1.4238758
EOMES,-1.5727664
EP300,-0.62613785
EPAS1,0.2842602
ERF,0.5102452
ERG,0.46651676
ESR1,-3.3344836
ESR2,2.3721979
ESRRA,0.020805694
ESRRB,-0.6595833
ESRRG,1.2758957
ETS1,-3.8870997
ETS2,-0.027160939
ETV1,-0.8724958
ETV2,0.78367805
ETV3,3.8363402
ETV4,-1.0264149
ETV5,-2.7260444
ETV6,0.96099365
ETV7,0.2525565
EWSR1,0.010602173
EZH2,-0.5970984
FEV,0.52953094
FEZF1,2.4202938
FEZF2,-0.50772667
FGF2,-0.9894917
FHL2,1.6773665
FLI1,0.129476
FOS,-3.5496445
FOSB,-0.9890655
FOSL1,-0.2067148
FOSL2,-0.12664182
FOXA1,-1.4994487
FOXA2,1.9463215
FOXC1,-0.78080887
FOXC2,-2.1948106
FOXD1,-2.2650316
FOXD3,-0.43277517
FOXF2,-0.75098014
FOXG1,-1.2370908
FOXH1,-0.1263949
FOXI1,1.0889786
FOXJ1,0.6698647
FOXL2,-2.6016893
FOXM1,-0.3372791
FOXN1,1.5395781
FOXO1,0.0046359054
FOXO3,-0.30281907
FOXO4,1.1841327
FOXP1,-1.2516533
FOXP2,1.3672954
FOXP3,0.4160946
FOXQ1,0.4112311
GABPA,-0.55444735
GATA1,-1.0211389
GATA2,-1.3198241
GATA3,-1.5260061
GATA4,-0.7135303
GATA5,-1.0780122
GATA6,-0.4362033
GCM1,-1.5401744
GFI1,0.99606735
GFI1B,-0.6243095
GLI1,-2.931865
