,Vermurafenib_1uM_WT_vs_vemurafenib_and_trametinib_WT
ABL1,2.665237
AHR,-1.3757081
AHRR,-0.3139833
AIRE,1.1795317
AP1,-1.0054492
APEX1,0.430908
AR,-1.3007201
ARID1A,-0.73588234
ARID3A,1.1082659
ARID3B,1.0466295
ARID4A,-1.881872
ARID4B,0.31496638
ARID5B,-1.7765882
ARNT,-0.7882412
ARX,-1.063115
ASCL1,1.0464326
ASCL2,-2.5724583
ATF1,-1.6217743
ATF2,1.6900853
ATF3,-1.172964
ATF4,-0.3194421
ATF5,-2.0306358
ATF6,0.4053893
ATOH1,1.5203918
ATOH7,0.3168365
BACH1,0.61108637
BACH2,1.263028
BARX1,0.9494287
BARX2,-0.9056516
BATF,-1.1001055
BCL11A,-0.4855694
BCL11B,1.3826072
BCL3,-1.2256283
BCL6,-0.69631445
BCLAF1,-0.7211949
BCOR,-1.6312323
BHLHA15,0.29440996
BHLHE40,-1.3484591
BHLHE41,0.1304914
BMAL1,0.60426944
BMAL2,-0.34427574
BRCA1,-0.14258511
BRD4,-0.5248289
BTG2,-0.63498145
CDX1,0.66124356
CDX2,0.5226802
CEBPA,-0.33971933
CEBPB,-1.8769455
CEBPD,-0.4739035
CEBPE,-0.4572401
CEBPG,-1.0929765
CEBPZ,-0.33665308
CIITA,-2.6765866
CLOCK,-0.36946604
CREB1,-0.7442312
CREB3,-1.1121744
CREB3L1,0.024812927
CREB5,-1.3592262
CREBBP,-0.17450991
CREBZF,0.19799802
CREM,-0.65869135
CRX,-0.8330499
CTBP1,1.2487686
CTBP2,-1.8836607
CTCF,0.6491512
CTCFL,-0.04851175
CTNNB1,-2.0364327
CUX1,-1.7292057
CXXC1,1.8116947
DACH1,-0.07169827
DBP,-1.5176144
DDIT3,0.7511898
DEAF1,-0.6086441
DLX1,0.097490914
DLX2,-2.0131927
DLX3,1.1953992
DLX4,-1.0438634
DLX5,-1.2162668
DMTF1,-2.4406972
DNMT1,-0.6074369
DNMT3A,-0.25047144
DNMT3B,0.49297678
DOT1L,2.9972396
E2F1,0.4892708
E2F2,0.03419245
E2F3,1.0490749
E2F4,2.7673125
E2F5,0.4374325
E2F6,-0.02757505
E2F7,0.9036962
E4F1,-0.28129956
EBF1,-0.9129493
EGR1,-1.7897764
EGR2,0.5325821
EGR3,1.5810184
EGR4,0.32466134
EHF,-0.7711504
ELF1,-0.4069692
ELF2,1.0818247
ELF3,-2.0264938
ELF4,-1.0466136
ELF5,-1.8686532
ELK1,-1.2934066
ELK3,2.1606846
ELK4,-1.4873192
EMX2,0.820103
EN1,-0.72870314
ENO1,1.637433
EOMES,-2.420048
EP300,0.50032324
EPAS1,-1.0523151
ERF,0.89658445
ERG,1.7313075
ESR1,-2.205917
ESR2,-0.3961632
ESRRA,-2.362188
ESRRB,-1.846775
ESRRG,-0.90387833
ETS1,-0.05461286
ETS2,-1.4737157
ETV1,0.0790278
ETV2,1.3160425
ETV3,0.8032916
ETV4,-0.20782131
ETV5,-2.1484053
ETV6,1.7867124
ETV7,1.1400186
EWSR1,0.10931899
EZH2,1.0473274
FEV,1.4668523
FEZF1,-0.4572238
FEZF2,1.3786914
FGF2,-0.7371685
FHL2,-0.12851687
FLI1,-0.089660905
FOS,-1.087192
FOSB,1.0490386
FOSL1,0.48154378
FOSL2,1.4643364
FOXA1,-1.2285848
FOXA2,-1.2527508
FOXC1,1.6001091
FOXC2,0.7731458
FOXD1,-0.055478584
FOXD3,-0.74451697
FOXF2,-1.8427117
FOXG1,-0.20520154
FOXH1,-0.774588
FOXI1,-0.7064887
FOXJ1,-1.6794894
FOXL2,-0.3030252
FOXM1,0.8839457
FOXN1,0.6638292
FOXO1,0.9469446
FOXO3,-1.7008615
FOXO4,0.55081254
FOXP1,-0.51466113
FOXP2,0.6800168
FOXP3,0.28919935
FOXQ1,1.1358858
GABPA,-0.5245535
GATA1,-0.6924098
GATA2,0.042581454
GATA3,-2.424839
GATA4,-1.4690509
GATA5,-0.26169813
GATA6,-0.1120389
GCM1,-0.0899848
GFI1,-0.8507702
GFI1B,-0.68178403
GLI1,-0.83427656
GLI2,0.8277674
GLI3,-0.1423224
GLIS3,0.56375104
GRHL2,-0.31204033
GRHL3,-0.85726696
GSC,-1.0762677
GTF2I,0.022029592
GTF2IRD1,-1.0465667
GTF3A,0.31163418
HAND1,0.15408203
HAND2,-0.82537675
HBP1,0.6164761
HCFC1,1.711343
HDAC1,1.6576202
HDAC3,0.47607976
HDAC4,1.0122063
HDAC5,0.5113134
HDAC7,-0.072214946
HDAC9,-0.8201237
HDGF,1.2490991
HES1,1.2895228
HESX1,0.78833103
HEY1,0.13252375
HEY2,2.60189
HEYL,0.15134364
HHEX,-0.4795281
HIC1,-0.124719486
HIF1A,1.5361823
HIF3A,-0.5929819
HINFP,0.6502131
HIPK2,0.21770193
HIVEP1,-0.96491563
HIVEP2,-1.0812632
HLF,-0.93817586
HLX,5.8876486
HMGA1,-0.10001008
HMGA2,2.1768587
HMGB2,1.196499
HNF1A,-0.40683082
HNF1B,0.3810262
HNF4A,-1.1607172
HNF4G,0.9654922
HOPX,0.32243127
HOXA1,-0.294893
HOXA10,0.74227816
HOXA11,0.42788118
HOXA13,0.49010515
HOXA2,0.38893193
HOXA5,-1.1903332
HOXA7,-0.83895713
HOXA9,1.1948098
HOXB1,1.0255067
HOXB13,0.923262
HOXB2,-1.0210391
HOXB4,-0.8169564
HOXB7,-0.7847292
HOXB9,-0.35256472
HOXC6,-1.1138288
HOXC8,0.8530447
HOXD1,0.38712257
HOXD13,1.6304582
HOXD3,0.18242036
HR,0.39914602
HSF1,-0.08112048
HSF2,0.3961787
HSF4,1.2853103
HTATIP2,0.41357642
ID1,-0.47222498
ID2,-0.39143738
ID3,1.3610584
ID4,-1.042479
IKZF1,0.3480704
IKZF4,-1.5748018
ING4,0.32632062
IRF1,-3.2270296
IRF2,-0.24373089
IRF3,1.0305198
IRF4,-2.0968473
IRF5,-1.8701999
IRF6,-0.13916628
IRF7,1.0477275
IRF8,-1.4365126
IRF9,-1.5214672
IRX1,1.7149804
ISL1,-0.6278273
JARID2,0.15934248
JDP2,-1.3888406
JUN,-0.5618432
JUNB,-0.105287574
JUND,0.5812207
KAT2B,-0.058124542
KAT5,-1.5973
KAT6A,-0.918992
KAT6B,-0.71526515
KAT7,0.03729971
KCNIP3,0.8036194
KDM2A,-1.0719705
KDM5A,1.919356
KDM5B,-1.1321568
KDM5C,-1.6557727
KDM5D,-2.5704207
KLF1,0.8653767
KLF10,-0.55686563
KLF11,0.33931828
KLF12,-0.7643849
KLF13,0.4812595
KLF15,-1.6769444
KLF17,0.57018274
KLF2,0.6018875
KLF3,0.82128066
KLF4,0.7950259
KLF5,0.8122398
KLF6,0.5291013
KLF7,-0.6393167
KLF8,-1.9907833
KLF9,1.3502498
KMT2A,-2.4089599
KMT2B,1.2390503
LEF1,-0.5771469
LHX1,1.9464797
LHX2,-2.9112484
LHX3,-0.25578618
LHX8,-0.791544
LITAF,-0.52533245
LMO2,0.61893576
LMX1B,0.64096266
LRRFIP1,1.0534604
LYL1,-0.47640395
MAF,-1.2177004
MAFA,-0.0039527114
MAFB,0.29317915
MAFG,0.61955535
MAFK,0.7461415
MAML1,-2.5692523
MAX,-0.7763464
MAZ,0.12158694
MBD1,0.69041437
MBD2,-0.78808314
MECOM,1.8486049
MECP2,-1.1043532
MED1,-0.31217912
MEF2A,0.79435706
MEF2B,1.9949613
MEF2C,0.75361437
MEF2D,1.3606898
MEIS1,-2.2286842
MEOX1,-0.16355684
MEOX2,0.27563134
MESP2,-1.0570889
MITF,-0.20749141
MIXL1,-0.260488
MKX,-1.3557016
MLXIPL,-1.2253096
MNT,-0.23707172
MSC,-0.8412434
MSX1,1.9505433
MSX2,-0.29360926
MTA1,0.4276626
MTA3,-0.8265349
MTF1,0.34220612
MTF2,-0.06974785
MXD1,-0.54139453
MXI1,-0.092813686
MYB,0.2269203
MYBL1,-0.9187379
MYBL2,0.5495652
MYC,1.7373255
MYCN,-0.78627706
MYF5,-0.11806339
MYF6,0.55160564
MYOCD,1.9393173
MYOD1,0.5912535
MYOG,-0.83050585
MYRF,-2.079212
MYT1,0.5928971
MZF1,-0.24185123
NAB2,2.5967135
NANOG,0.20336425
NCOA1,-0.49760085
NCOA2,-1.4191896
NCOA3,-1.8023329
NCOR1,-0.38791135
NCOR2,-0.8299125
NEUROD1,0.7968736
NEUROD2,-1.0693338
NEUROD6,0.88903904
NEUROG1,1.0687042
NEUROG2,1.3083574
NEUROG3,0.863485
NFAT5,-0.9939618
NFATC1,-1.5500983
NFATC2,-1.9193597
NFATC3,0.4262871
NFATC4,-1.3440926
NFE2,0.6792555
NFE2L1,-1.2345587
NFE2L2,1.4543054
NFE2L3,0.345611
NFIA,1.3147993
NFIB,-0.07484324
NFIC,0.71205807
NFIL3,0.7215253
NFIX,0.74263567
NFKB,-0.13511865
NFKB1,-0.24260932
NFKB2,-1.0121624
NFKBIB,-0.6109769
NFX1,-0.34659207
NFYA,-1.1341722
NFYB,-0.8630132
NFYC,-1.8889598
NKRF,0.024372192
NKX2-1,0.18722937
NKX2-2,-0.7237664
NKX2-5,-0.7315626
NKX3-1,-0.6934043
NKX3-2,3.3279138
NKX6-1,-0.33677492
NONO,-1.8543752
NOTCH1,1.6746317
NOTO,0.00028221367
NPAS2,1.0868471
NPM1,0.13828602
NR0B1,-1.7634999
NR0B2,-0.20112003
NR1D1,0.62479055
NR1H2,0.58402884
NR1H3,-1.0765882
NR1H4,0.0149785215
NR1I2,-0.426772
NR1I3,-0.34047556
NR2C1,-1.0163922
NR2C2,2.3404415
NR2E1,-0.051031284
NR2E3,-2.0593808
NR2F1,-0.89971334
NR2F2,0.7930558
NR3C1,1.3699974
NR3C2,0.45339307
NR4A1,-0.28561592
NR4A2,-0.15282817
NR4A3,-0.8582918
NR5A1,0.3023218
NR5A2,-0.5747034
NR6A1,0.2693946
NRF1,0.14405744
NRG1,0.2908301
NRL,-1.1037067
NSD2,-0.4865514
NUPR1,-0.0033820726
OLIG1,-0.21417905
OLIG2,2.5105796
ONECUT1,-0.69204724
OTX2,-2.0399184
OVOL1,1.4165862
PARK7,-1.4253006
PATZ1,-1.6610708
PAWR,-1.0794225
PAX1,1.0046988
PAX2,-0.34409153
PAX3,-0.36625853
PAX5,-0.8000785
