"","WT__WT","WT__WT.1","WT__WT.2","WT__ARID1A_KO","WT__ARID1A_KO.1","WT__ARID1A_KO.2","WT__MED12_KO","WT__MED12_KO.1","WT__MED12_KO.2","Vermurafenib_1uM__WT","Vermurafenib_1uM__WT.1","Vermurafenib_1uM__WT.2","Vermurafenib_1uM__ARID1A_KO","Vermurafenib_1uM__ARID1A_KO.1","Vermurafenib_1uM__ARID1A_KO.2","Vermurafenib_1uM__MED12_KO","Vermurafenib_1uM__MED12_KO.1","Vermurafenib_1uM__MED12_KO.2","Trametinib_10nM__WT","Trametinib_10nM__WT.1","Trametinib_10nM__WT.2","Trametinib_10nM__ARID1A_KO","Trametinib_10nM__ARID1A_KO.1","Trametinib_10nM__ARID1A_KO.2","Trametinib_10nM__MED12_KO","Trametinib_10nM__MED12_KO.1","Trametinib_10nM__MED12_KO.2","vemurafenib+trametinib__WT","vemurafenib+trametinib__WT.1","vemurafenib+trametinib__WT.2","vemurafenib+trametinib__ARID1A_KO","vemurafenib+trametinib__ARID1A_KO.1","vemurafenib+trametinib__ARID1A_KO.2","vemurafenib+trametinib__MED12_KO","vemurafenib+trametinib__MED12_KO.1","vemurafenib+trametinib__MED12_KO.2","vemurafenib+trametinib__WT.3","Vermurafenib_1uM__WT.3","Trametinib_10nM__WT.3","vemurafenib+trametinib__ARID1A_KO.3","Vermurafenib_1uM__ARID1A_KO.3","Trametinib_10nM__ARID1A_KO.3","vemurafenib+trametinib__MED12_KO.3","Vermurafenib_1uM__MED12_KO.3","Trametinib_10nM__MED12_KO.3","WT__WT.3","Vermurafenib_1uM__WT.4","Trametinib_10nM__WT.4","WT__ARID1A_KO.3","Vermurafenib_1uM__ARID1A_KO.4","Trametinib_10nM__ARID1A_KO.4","WT__MED12_KO.3","Vermurafenib_1uM__MED12_KO.4","Trametinib_10nM__MED12_KO.4","WT__WT.4","Vermurafenib_1uM__WT.5","Trametinib_10nM__WT.5","WT__ARID1A_KO.4","Vermurafenib_1uM__ARID1A_KO.5","Trametinib_10nM__ARID1A_KO.5","WT__MED12_KO.4","Vermurafenib_1uM__MED12_KO.5","Trametinib_10nM__MED12_KO.5"
"A1A4S6;S591;",-0.225784446465862,-0.280099080493867,-0.310194712659863,-0.280559218262887,-0.740943081234998,-0.313616122765494,0.0830130391918869,-0.797651753143097,-1.12829011481939,0.682393255993797,0.56507596607797,0.341433556231365,0.724580093181827,0.237611883066944,0.314880883058314,0.159519258838888,0.738199156494209,0.504891777608672,0.544744851381754,0.623963013970116,0.360691253428951,0.570088546467889,0.519714229736778,0.305363646515092,0.260541431788853,0.813671890905472,0.720290924940539,-0.979936166052196,-0.043008365792233,-1.08031738338636,-1.19901872962925,-1.21539349521379,-1.60411224143547,-0.786904486915952,-0.59660940330319,-0.786489665457013,-1.37591346085825,0.414379572609033,0.0918631683073217,-0.882352921226076,0.435457133063648,0.959181415377802,-0.459688101558636,0.636730701066432,0.361581534861603,-0.774774908593366,0.344393791326295,0.631198438206048,-0.726426757666838,0.194190774539574,0.673831293498034,-0.818402688224541,0.754943559397899,0.843958744515485,-0.297785258227392,0.116524718604463,0.367047898628204,-0.261746391354105,0.157671675067812,0.409119769530595,0.0406198054121842,1.06734390884276,0.395312393005612
"A1L020;S338;",-2.20947765431916,-1.1606058889332,-2.93604170764078,-2.23299575581883,-1.26898453699036,-0.600464559382969,-1.23348820304303,-1.87056795340851,-1.50317034588913,1.06826176241499,0.763715450640493,1.09543350299899,0.787723252973846,0.654326326131893,0.791223281484362,0.80569526952418,0.755419892542235,0.857609756801567,0.864759514974439,0.930062215596007,0.504768489178089,0.617649149703611,0.80750824454295,0.840020364051876,0.573473421268663,0.616052471312749,0.346559716423368,-0.177273707673032,-0.363962528195635,-0.335748999149077,0.0658886828480627,0.10922627836508,-0.151437173213638,-0.31821138846323,-0.482993456577375,-0.261525798974983,-0.261259823840417,0.763110405366333,0.782550263304877,-0.244690213472935,0.764675304154861,0.793932970862383,-0.0870094873397471,0.723334581732101,0.744801931695137,-2.49745044963069,0.875074274015685,0.646559304588423,-1.1682362417821,1.16661206872892,0.515172198149708,-2.40737563636269,0.983018614711018,0.398825361097933,-0.99618347771061,1.13865586375768,0.813863566066204,-0.926934212640623,0.31128397583773,0.724886199928348,-1.75621298221558,0.750382351820327,0.700185903073239
"A1L170;T/SNA;",-0.114555823226172,0.0042655727950523,0.0115435844978964,-0.0235840760560888,-0.0620313850197362,-0.425166553054005,0.102323725949043,-0.0996857964795181,-0.0258754291138939,0.134212353853078,0.232852790279877,0.0157096372502318,-0.302562172495097,-0.328276694673506,0.338058166441058,0.437077104125002,-0.275633375568338,-0.31433373158831,0.0655045024799413,-0.121076530498856,-0.294542849550327,-1.34573354756407,-0.743270644550003,-0.535494526437248,-0.944220456658098,-0.233469882718182,-0.32297248043878,0.568859282337302,1.05434771937446,0.667147442724403,0.803634107027038,1.36255867748526,0.753115033344786,0.815935633335611,1.12307267578769,0.576664273480192,0.630553318319709,0.180505191474118,0.067470569770047,0.725371691419991,-0.626667751379089,-0.731175294481892,1.16336480793861,0.164509167921606,-0.545702642435392,-0.604137510154653,0.215634947346923,-0.358277694008365,-0.0379839046960957,-0.132619720368438,-0.825663916824946,0.409897363355255,-0.122565939534979,-0.420136151835076,0.158879065682877,0.0316597353720132,-0.363070435251082,-0.247154336036755,-0.116993930913659,-1.20387752447675,-0.0796088932140743,0.189738741219409,-0.0763452810870173
"A1X283;S291;",0.0243255247154459,-0.327425886511809,-0.0438622677663528,-0.14339915630938,-0.0624631693902848,-0.546403978796787,0.0170190880523808,-0.0927252645192763,-0.224505673330876,0.0780189983466122,0.264618983670739,0.0490308277738012,-0.0722924056681488,-0.152613323916059,0.127630387496117,0.0352414508515286,-0.0819452113662275,-0.0856657179809875,0.102690399237413,-0.00713809058444451,-0.0624893765141558,-0.0338407360043961,0.409368237927273,0.219342819151109,0.177145760168745,0.145881754161185,0.338920745569708,-0.11535068976918,0.121184217027578,-0.0983020730952567,-0.180374537547987,0.10841369515,-0.114382222043712,-0.0634797993634918,-0.144871573242361,0.000879542888041661,0.0346358477328981,0.0573323110228854,0.244161909160856,-0.0226614183647908,0.163978543341671,-0.052780523898215,-0.146411414794329,0.236401781684943,-0.129234983327051,-0.219420985239062,-0.253325491562855,0.196034593168569,-0.170312487012645,0.111663066515139,0.193671811857014,-0.237787768844576,0.319860132637978,0.0735701853094409,-0.0449679265442242,0.0734522246369704,0.408486952053262,-0.0343765588370031,-0.118872277471506,0.312592348853657,-0.148896133911487,-0.326684154459645,-0.0862908621743973
"A2A2Y4;S416;",0.0375544156142388,-0.200093534353389,0.179182907729019,-0.157617305401116,-0.787128283085139,-0.32414696761169,-0.251294229130187,-0.421273831964082,-0.909823084809968,0.0594269917172122,-0.420652680061746,-0.147080797288108,-0.350374993856235,-0.275018137915392,-0.536070187809323,-0.138661916045566,-0.166466160556306,-0.196456711255576,0.0736662109776365,0.277051707583602,0.260429481264532,0.174485566671391,-0.399322481714515,-0.20705665105015,0.343493703321574,0.123376232934764,0.653397593625546,0.733705374268657,0.840821873929455,0.516389895845663,0.591923699696041,0.487939559810634,0.330875602801832,0.541480691058274,1.13810010121803,0.350956560214036,0.524780947852772,-0.466061861077954,-1.49663869751839,0.564002279405824,-0.380645223967176,0.798316228700446,0.756458449329841,-0.0491337145395683,0.765702951738993,-0.252314297584756,-0.404189250444426,0.665075917908606,0.000316529710988071,-0.402448057844302,0.0196412361501352,-0.446605557759193,-0.554887636651545,-0.158299332588933,-0.32375823398119,-0.00490107610903661,-0.09481424826099,-0.365206629347395,0.203066844136974,0.271712467178977,-0.514894728861457,0.0410575553289891,-0.521053077279882
"A2A2Y4;S429;",-0.140304569914472,-0.0535474083721337,0.0946028408090006,0.0376765899829305,0.0234286011740381,-0.244202330507346,0.135531168544403,0.120793678423021,0.087589291929074,0.167797816027671,0.202970108268516,0.189737364675259,-0.142146601081168,0.0125268074272267,-0.00386528720650569,0.220322686690219,-0.212527684775611,0.0621025599582066,-0.166458027723731,-0.0538758272788878,-0.0907219955173666,0.0212109929794231,0.0869079833947178,-0.00333995753819382,0.0412481809192252,-0.0433141213567764,0.00480092418741834,-0.0464244011109933,-0.0463332590173386,-0.169936581242845,-0.0146854837196861,0.167667767301019,-0.189573225038583,-0.0509695734937878,-0.047913216368452,0.032431660666262,-0.148396328914799,0.192301726270923,0.128338858558151,-0.118618333528557,-0.0413876354597775,-0.142227400174184,0.172233417353122,0.0618362304832346,-0.140821097836487,-0.0226529409764904,0.0283333264681378,-0.0589584244229112,-0.00714274332090625,-0.0075436579517119,-0.0575499744836567,-0.0162934751375508,0.0802225225472532,0.0883673612778313,0.0608428854491742,-0.0282981579322094,-0.0399834716392644,0.0494213592214388,-0.0067614822141401,0.0592356093722136,0.00172165761119294,-0.0519863539807853,-0.0234409487329947
"A3KN83;S/TNA;",-0.221961989110465,-0.309114360608762,-0.0433258804888577,-0.161995125516002,-0.266151400827338,-0.333466152012445,0.114190905396748,0.146476560720944,0.0568470093523459,0.418589082303455,-0.0134461387820556,-0.0974184345440562,0.067807421016035,-0.231256308505709,0.310720142108881,0.132825089480873,0.012849149710643,-0.126049460328418,0.261215449365022,0.466826840577783,0.224164135714732,0.511050329699627,0.276405475143529,0.00626843339738033,-0.267531296835937,0.620984380068942,0.284813518847846,-0.375279374900292,-0.349600289488355,-1.10500143540884,-0.223057566595601,0.13730972444354,0.354500021345392,-1.12998259901175,0.0402741766512449,-0.35368147768313,-0.197019913947443,0.472475397218609,0.413891505548722,0.0712341565627815,-0.0027363914199325,0.161032082901891,-0.791167149520816,-0.397653445395396,0.267485307004504,0.237407535233385,-0.273381305989711,0.132258900694935,0.102152964830248,0.343120978667472,0.302063043005069,-0.204040218135906,0.030382960969607,-0.00423021977176413,-0.364300138064344,0.497043798354748,-0.0690190654899087,-0.378254386158201,-0.0179734092567817,0.619896596293843,0.0728084174839212,-0.331504945341183,0.472228389024695
"A6NDB9;S143;",-1.1925904160807,-1.18760378737618,-1.31200788613909,-0.932356001946216,-0.781336339521163,-1.24845950497615,-1.43725920417274,-1.57883272690656,-1.46433774459657,0.942200485681525,0.91394002589031,1.04957751481345,0.998934988549468,1.10687089383542,0.981536310518509,0.973980315366499,0.932328698958633,0.903784384677796,0.408921896784959,0.332608598772855,0.323633428657757,0.0071634753413337,0.190429098099791,0.0359270308570083,0.308900835830372,0.222553567254834,0.267161580657411,-0.179746334561198,-0.506352004961137,-0.136139299200835,-0.340038497334979,-0.2517834885678,-0.576621959125506,-0.393679744994918,-0.243948439547007,-0.216765289524307,-0.272813626041765,0.956254100918967,0.251884913770646,-0.262029211664498,1.0061773000358,-0.0896991488693752,-0.403065878065795,1.24386291693783,0.276194835117196,-0.709475003719031,1.39931797278434,0.369088412988094,-1.61146012069615,0.462508135932551,0.117867094377422,-1.39898305199827,1.16746994573508,0.405522413477821,-1.16757629183201,1.15181962138309,0.17267739216336,-1.19502874998041,0.854560770058933,-0.0146211580988686,-0.801112450039775,0.862295597840283,0.307768806469644
"A6NDB9;S375;",-0.398128565633657,-0.0712703349064243,-0.0658933839632335,0.864752515984734,0.802769939746401,0.820975675367668,0.12212788946876,-0.0265806758389248,0.0105084067977261,-0.452017388123273,-0.322688827117915,-0.23937283288977,0.109721430603919,-0.16825556893764,-0.102554464261936,-0.58790319291867,-0.846301474118846,-0.973337594848174,-0.354214108859147,-0.185343533212757,-0.291836620692818,-0.0447379248483635,-0.339919769636954,-0.353795415128338,-0.234543080734837,-0.242342913034144,-0.456700987870536,0.790870600248937,0.585855553142548,0.760541433465501,0.786048525939152,1.27522789955544,0.877801774661849,0.531556532798428,0.511265493575351,0.367079458600343,0.584557931549852,-0.427036782952605,-0.565380193500084,1.06706289776958,0.136708495916846,-0.400175349233183,0.515660376873395,-0.229557384297492,-0.541127283416405,0.289409493079004,-0.390949598627951,-0.287573088792431,0.749088717700899,-0.487599250473904,-0.0938929955699261,0.242856870104512,-1.1831537394676,-0.593844688997458,-0.0436659432947182,-0.238185734609956,-0.172886531363713,0.105692114984567,0.156722443571166,0.0530796348251429,-0.0293033095571306,-0.311649021266233,-0.364222553334571
"A6NKF1;S402;",0.308203799816556,-0.158034618363614,-0.0360754505398451,0.0239440276529279,0.00791531335832473,0.0621082251214841,-0.0261877828810061,-0.0638661747772318,-0.198908384554459,0.0342755767379838,0.00334453561019547,-0.00899225980011537,0.0702748496444757,-0.0706159586270064,-0.0593501553970789,-0.0775788415471843,0.141502422979662,-0.0311972512378172,-0.10056116162424,-0.0041026931425745,0.338796734227212,0.085778371428744,0.132990865725751,0.0355284702433923,0.116054691118314,0.0399554749346729,-0.0577462127284751,-0.203891593211377,0.0316608949398085,-0.22456896132716,0.064400739080422,0.00379293213463144,-0.0413404214567755,-0.472435021727794,-0.067748060876696,0.0228970424667041,-0.00924302137256783,0.0557484352247661,0.0546378471532757,-0.0895821259912049,0.138346959701581,-2.67320510601595e-05,-0.213773248335102,-0.0183390884265337,0.0111864547889967,0.0159663828381352,0.16339254665064,0.139921267148157,-0.217151679981124,-0.00268111457487417,0.193102592294518,0.16347221667998,-0.247519862819908,0.038886295027461,0.0185994390583544,0.041206216621894,-0.0346463879684523,0.0272606334261531,0.0658775070760652,0.00767115163698471,0.0612102263765231,0.0383880654652853,-0.022134939048755
