"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TTF1;S65;","TTF1;S65;",-1.97107542665418,-1.47534101337837e-16,-5.10900856216669,6.64770195554208e-06,0.00631531685776497,3.35243157891117
"MICALL2;S153;","MICALL2;S153;",-1.41668799729079,5.70145782437711e-16,-3.64073189221584,0.000708939213713057,0.181018387989063,-0.508477580998865
"TNIK;S707;","TNIK;S707;",-1.57961788454933,2.36252816252079e-17,-3.62739965560638,0.000737670086697051,0.181018387989063,-0.541263819314536
"TLE3;S203;","TLE3;S203;",-1.62810297116557,1.94619452828636e-16,-3.55418415551167,0.000916471393199928,0.181018387989063,-0.720276962181879
"NDRG1;S333;","NDRG1;S333;",-1.23923576948806,-5.07860949062162e-16,-3.54102595960044,0.000952728357837173,0.181018387989063,-0.752259282680129
"SRRM2;S1152;","SRRM2;S1152;",-1.27624411587609,-7.79386475992437e-17,-3.45524494613513,0.00122498729569148,0.193956321817818,-0.959292275686988
"RIF1;S2196;","RIF1;S2196;",0.929712187312283,-3.7313075909463e-16,3.13009318416369,0.00309280848573861,0.419738294493097,-1.71899266888482
"LMO7;S1510;","LMO7;S1510;",-1.59532098057195,2.28653075309705e-16,-3.05265747814757,0.00383042772529377,0.42486052409993,-1.89353377384892
"ERBB3;S982;","ERBB3;S982;",-1.03745073850946,1.75454888713083e-16,-3.03457861952924,0.00402499443884144,0.42486052409993,-1.93390416933319
"FAM21C;S333;","FAM21C;S333;",-1.6068384241272,-1.69538242571805e-16,-2.96451083845017,0.00487013343735363,0.462662676548595,-2.08897201613528
"PHF10;S327;","PHF10;S327;",-1.06212479584867,-5.41109815685051e-16,-2.92753231372553,0.00538048366452297,0.464678134663347,-2.16989778366179
"VCX3A;S27;","VCX3A;S27;",1.46768331055598,4.41280609936576e-16,2.87272312756891,0.00622940028457202,0.493160855861952,-2.28865660309803
"PALM3;S375;","PALM3;S375;",0.816324192250385,3.7150961870339e-16,2.74908885338494,0.00862189228548542,0.612794678164822,-2.55115797286164
"RPS8;T130;","RPS8;T130;",1.21755842160832,3.12704558014772e-16,2.73122637197878,0.00903065841506054,0.612794678164822,-2.5884486268344
"SORBS1;S350;","SORBS1;S350;",-0.97841137193026,-1.47864524857071e-16,-2.67868822009518,0.0103388744239594,0.64281905870927,-2.69717433053757
"CTDSPL2;S165;","CTDSPL2;S165;",0.872062911861356,5.91871128827325e-17,2.59739540969221,0.0127099039579172,0.64281905870927,-2.86253519591116
"HUWE1;S2362;","HUWE1;S2362;",0.966040518626526,1.13004843577918e-16,2.57433443913431,0.013467904159845,0.64281905870927,-2.90879543973512
"PRPF3;S619;","PRPF3;S619;",1.30440295966194,-1.43155989707991e-16,2.56935013158511,0.0136370707903067,0.64281905870927,-2.91875569179356
"AHDC1;S1187;","AHDC1;S1187;",-1.36674716897775,5.15501992944441e-16,-2.55264417363739,0.0142183177672085,0.64281905870927,-2.95203981942043
"POLA1;S186;","POLA1;S186;",-1.22429956058337,4.75809867696496e-17,-2.5481709956423,0.0143777428702435,0.64281905870927,-2.96092578683623
"THOC2;S1419;","THOC2;S1419;",-1.09357380084539,9.99531145681875e-17,-2.54794769987343,0.0143857437418625,0.64281905870927,-2.96136907331746
"PDE8A;S457;","PDE8A;S457;",0.973771762630769,-5.38900108400176e-17,2.47246733316783,0.0173348111338208,0.64281905870927,-3.10961288294019
"KIF20B;S1658;","KIF20B;S1658;",0.901425041223666,-1.91645641155533e-16,2.45847096224478,0.0179384694938797,0.64281905870927,-3.13674713167792
"BCL9L;S1017;","BCL9L;S1017;",-0.895002387929215,-5.33799195322006e-16,-2.45073608786573,0.0182801817775256,0.64281905870927,-3.15169424785528
"ERBIN;S1015;","ERBIN;S1015;",-1.23225088618143,1.3481279584734e-16,-2.44739016161054,0.018429815988057,0.64281905870927,-3.15814935645834
"LRRC47;S520;","LRRC47;S520;",-1.08264230722403,3.87421576301487e-17,-2.44470752949553,0.0185505865065416,0.64281905870927,-3.16332014846876
"HSP90AB1;S226;","HSP90AB1;S226;",1.24525356977457,9.86933749011091e-17,2.42313496755477,0.0195480986316205,0.64281905870927,-3.20475010852597
"EIF2A;S506;","EIF2A;S506;",1.04700199884354,1.21678460957802e-16,2.39058636091179,0.0211449953551239,0.64281905870927,-3.26674648999992
"PPP1R12C;S407;","PPP1R12C;S407;",-1.11663668046337,-5.22647401547869e-16,-2.37365153539937,0.0220215100659431,0.64281905870927,-3.29875660934353
"U2SURP;S485;","U2SURP;S485;",-1.11461242352599,-3.01335923806138e-16,-2.37104274952617,0.022159403783203,0.64281905870927,-3.30367264842962
"ABLIM1;S431;","ABLIM1;S431;",1.18301145121308,1.52986089405193e-16,2.37026465053337,0.0222006821753903,0.64281905870927,-3.30513812989138
"TCF20;S1522;","TCF20;S1522;",0.866542982920464,-1.31425954775195e-16,2.36005916116023,0.0227485230878511,0.64281905870927,-3.32432599862149
"RANBP2;S955;","RANBP2;S955;",-1.11996255016788,1.11187514222133e-16,-2.34582924449618,0.0235326732725843,0.64281905870927,-3.35097685477709
"ZNF800;S426;","ZNF800;S426;",-0.925319355267516,1.33449798830502e-16,-2.32988741827972,0.0244398954016137,0.64281905870927,-3.38068996944833
"CDK12;S423;","CDK12;S423;",0.835743122736605,7.88060093372321e-17,2.3263577258144,0.0246449537877405,0.64281905870927,-3.38724812412267
"KMT2D;S4822;","KMT2D;S4822;",-1.0478726541811,-1.46955860179178e-16,-2.32059818148892,0.0249828667187946,0.64281905870927,-3.39793321150164
"API5;S464;","API5;S464;",1.22289884252497,-4.71782831055835e-17,2.31969703544458,0.0250361107076242,0.64281905870927,-3.39960320360311
"MIA3;S727;","MIA3;S727;",-1.119390874108,9.47179669353289e-17,-2.28820490714096,0.0269617775824692,0.674044439561729,-3.45765481246985
"SNTB2;S233;","SNTB2;S233;",-0.92044550124499,-3.16215307906629e-16,-2.25720935333304,0.0289850998538792,0.706047304132955,-3.51419962608855
"SERBP1;S392;","SERBP1;S392;",1.12611907433206,4.34630836611999e-16,2.24297133347534,0.0299590244925017,0.711526831696916,-3.53997545144315
"AFDN;S1083;","AFDN;S1083;",-0.976700651834998,1.89663100040131e-16,-2.21494823722016,0.0319612074159453,0.737644618082465,-3.59033916391036
"FBXO28;S344;","FBXO28;S344;",0.885657396852277,-1.90489158838215e-16,2.20617917315485,0.0326116567994353,0.737644618082465,-3.60599829122912
