"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CENPC;S73;","CENPC;S73;",-2.5905755292773,-3.29184431036551e-17,-11.5253634538867,6.53719378187836e-15,3.15243823144099e-12,23.7532244105962
"GSS;S415;","GSS;S415;",2.68554762755458,-2.47528518845929e-16,11.5201520811013,6.63671206619156e-15,3.15243823144099e-12,23.7386063430319
"SHARPIN;S165;","SHARPIN;S165;",-2.35246951888586,4.41115398176959e-17,-10.0824529544576,4.90181830279613e-13,1.55224246255211e-10,19.56241006598
"KIAA1217;S1568;","KIAA1217;S1568;",-2.7583573950113,1.53316512924426e-16,-9.90593961846524,8.46563367698705e-13,2.01058799828442e-10,19.0302892492885
"SASH1;S90;","SASH1;S90;",2.61853853405134,-5.20995283951701e-16,9.69814069991018,1.61875381254609e-12,3.07563224383757e-10,18.3985962238765
"CCZ1B;S266;","CCZ1B;S266;",-2.65238015463373,-3.99482034753516e-16,-9.61442222419566,2.10500443856916e-12,3.33292369440117e-10,18.1425130881209
"OSBPL3;S265;","OSBPL3;S265;",2.50820002784536,-1.00779173366272e-17,9.56393403559349,2.46732315055506e-12,3.34850999003901e-10,17.9876415162655
"TMEM115;S320;","TMEM115;S320;",-2.00597625719998,-9.10316795488782e-17,-9.36720555165918,4.59467726963453e-12,5.45617925769101e-10,17.3810944045341
"HEATR1;S1190;","HEATR1;S1190;",2.37296761091293,-7.10410566352407e-17,9.23777141494431,6.93436942722567e-12,6.87193549959045e-10,16.9793891375398
"FAM133B;S246;","FAM133B;S246;",-2.31102539512187,2.44843827752155e-16,-9.22452020149987,7.23361631535837e-12,6.87193549959045e-10,16.9381469689176
"C17orf49;S110;","C17orf49;S110;",2.24603142683259,-1.33160678251172e-16,9.18918605817042,8.09701377526264e-12,6.99287553318137e-10,16.8280706497013
"SLAIN2;S391;","SLAIN2;S391;",-2.60881594923788,-1.81898147338139e-16,-9.06964171158641,1.18704126790716e-11,9.39741003759836e-10,16.4545345824862
"TP53BP1;S771;","TP53BP1;S771;",-2.42108620954603,5.73801092619233e-17,-8.83806695900594,2.50212169814162e-11,1.82847354864195e-09,15.7261276235334
"LRRFIP1;S733;","LRRFIP1;S733;",-2.62807717502712,1.62372182498424e-17,-8.73665870482225,3.47482446989753e-11,2.35791660457333e-09,15.4052097023496
"YTHDC2;S1090;","YTHDC2;S1090;",-2.63441175747596,-2.56243439165717e-16,-8.70191517984616,3.8896328669745e-11,2.46343414908385e-09,15.2949945143145
